,garment,zone,trajectory,x,y,error
,A,GZ,1,0,0,0.003
,A,GZ,1,12.5,0,0.01
,A,GZ,1,25,0,0.038
,A,GZ,1,37.5,0,0.244
,A,GZ,1,0,12.5,0.011
,A,GZ,1,12.5,12.5,0.019
,A,GZ,1,25,12.5,0.097
,A,GZ,1,0,25,0.061
,A,GZ,1,12.5,25,0.019
,A,GZ,1,25,25,0.06
,A,GZ,1,0,37.5,0.193
,A,HZ,1,2,0,0.025
,A,HZ,1,14.5,0,0.023
,A,HZ,1,27,0,0.025
,A,HZ,1,39.5,0,0.319
,A,HZ,1,2,12.5,0.015
,A,HZ,1,14.5,12.5,0.019
,A,HZ,1,27,12.5,0.074
,A,HZ,1,2,25,0.014
,A,HZ,1,14.5,25,0.023
,A,HZ,1,27,25,0.149
,A,HZ,1,2,37.5,0.043
,A,GZ,2,0,0,0
,A,GZ,2,12.5,0,0
,A,GZ,2,25,0,0.109
,A,GZ,2,37.5,0,0.313
,A,GZ,2,0,12.5,0.009
,A,GZ,2,12.5,12.5,0.004
,A,GZ,2,25,12.5,0.055
,A,GZ,2,0,25,0.085
,A,GZ,2,12.5,25,0.018
,A,GZ,2,25,25,0.039
,A,GZ,2,0,37.5,0.267
,A,HZ,2,2,0,0
,A,HZ,2,14.5,0,0
,A,HZ,2,27,0,0.109
,A,HZ,2,39.5,0,0.479
,A,HZ,2,2,12.5,0.001
,A,HZ,2,14.5,12.5,0.001
,A,HZ,2,27,12.5,0.01
,A,HZ,2,2,25,0
,A,HZ,2,14.5,25,0.001
,A,HZ,2,27,25,0.032
,A,HZ,2,2,37.5,0.022
