,error_stdev,garment,trajectory,x,y,error,
,Std_dev,A,1,0,0,0.028,0.014
,Std_dev,A,1,12.5,0,0.02,0.004
,Std_dev,A,1,25,0,0.035,0.003
,Std_dev,A,1,37.5,0,0.355,0.072
,Std_dev,A,1,0,12.5,0.015,0.002
,Std_dev,A,1,12.5,12.5,0.022,0.003
,Std_dev,A,1,25,12.5,0.136,0.051
,Std_dev,A,1,0,25,0.06,0.026
,Std_dev,A,1,12.5,25,0.021,0
,Std_dev,A,1,25,25,0.164,0.059
,Std_dev,A,1,0,37.5,0.125,0.009
,Et,A,1,0,0,0.013,
,Et,A,1,12.5,0,0.016,
,Et,A,1,25,0,0.031,
,Et,A,1,37.5,0,0.282,
,Et,A,1,0,12.5,0.013,
,Et,A,1,12.5,12.5,0.019,
,Et,A,1,25,12.5,0.085,
,Et,A,1,0,25,0.034,
,Et,A,1,12.5,25,0.021,
,Et,A,1,25,25,0.106,
,Et,A,1,0,37.5,0.116,
,Std_dev,A,2,0,0,0,0
,Std_dev,A,2,12.5,0,0,0
,Std_dev,A,2,25,0,0.203,0.095
,Std_dev,A,2,37.5,0,0.44,0.042
,Std_dev,A,2,0,12.5,0.013,0.008
,Std_dev,A,2,12.5,12.5,0.004,0.002
,Std_dev,A,2,25,12.5,0.05,0.024
,Std_dev,A,2,0,25,0.027,0.001
,Std_dev,A,2,12.5,25,0.017,0.008
,Std_dev,A,2,25,25,0.062,0.026
,Std_dev,A,2,0,37.5,0.174,0.033
,Et,A,2,0,0,0.001,
,Et,A,2,12.5,0,0.001,
,Et,A,2,25,0,0.109,
,Et,A,2,37.5,0,0.398,
,Et,A,2,0,12.5,0.005,
,Et,A,2,12.5,12.5,0.001,
,Et,A,2,25,12.5,0.026,
,Et,A,2,0,25,0.026,
,Et,A,2,12.5,25,0.009,
,Et,A,2,25,25,0.036,
,Et,A,2,0,37.5,0.14,
