,error_stdev,garment,trajectory,x,y,error
,Std_dev,B,1,0,0,0
,Std_dev,B,1,12.5,0,0
,Std_dev,B,1,25,0,0
,Std_dev,B,1,37.5,0,0.019
,Std_dev,B,1,0,12.5,0.052
,Std_dev,B,1,12.5,12.5,0
,Std_dev,B,1,25,12.5,0.007
,Std_dev,B,1,0,25,0.102
,Std_dev,B,1,12.5,25,0.066
,Std_dev,B,1,25,25,0.026
,Std_dev,B,1,0,37.5,0.128
,Et,B,1,0,0,0.001
,Et,B,1,12.5,0,0.001
,Et,B,1,25,0,0.001
,Et,B,1,37.5,0,0.013
,Et,B,1,0,12.5,0.028
,Et,B,1,12.5,12.5,0.001
,Et,B,1,25,12.5,0.003
,Et,B,1,0,25,0.055
,Et,B,1,12.5,25,0.027
,Et,B,1,25,25,0.015
,Et,B,1,0,37.5,0.073
,Std_dev,B,2,0,0,0.008
,Std_dev,B,2,12.5,0,0.002
,Std_dev,B,2,25,0,0
,Std_dev,B,2,37.5,0,0.03
,Std_dev,B,2,0,12.5,0.012
,Std_dev,B,2,12.5,12.5,0.005
,Std_dev,B,2,25,12.5,0
,Std_dev,B,2,0,25,0.01
,Std_dev,B,2,12.5,25,0.007
,Std_dev,B,2,25,25,0.096
,Std_dev,B,2,0,37.5,0.04
,Et,B,2,0,0,0.003
,Et,B,2,12.5,0,0.001
,Et,B,2,25,0,0.001
,Et,B,2,37.5,0,0.025
,Et,B,2,0,12.5,0.005
,Et,B,2,12.5,12.5,0.004
,Et,B,2,25,12.5,0.001
,Et,B,2,0,25,0.005
,Et,B,2,12.5,25,0.006
,Et,B,2,25,25,0.039
,Et,B,2,0,37.5,0.035
