,garment,error_stdev,trajectory,x,y,error
,B,Std_dev,1,0,0,0.01
,B,Std_dev,1,12.5,0,0.011
,B,Std_dev,1,25,0,0.008
,B,Std_dev,1,37.5,0,0.102
,B,Std_dev,1,0,12.5,0.061
,B,Std_dev,1,12.5,12.5,0.012
,B,Std_dev,1,25,12.5,0.016
,B,Std_dev,1,0,25,0.112
,B,Std_dev,1,12.5,25,0.075
,B,Std_dev,1,25,25,0.03
,B,Std_dev,1,0,37.5,0.212
,B,Et,1,0,0,0.009
,B,Et,1,12.5,0,0.01
,B,Et,1,25,0,0.007
,B,Et,1,37.5,0,0.05
,B,Et,1,0,12.5,0.036
,B,Et,1,12.5,12.5,0.007
,B,Et,1,25,12.5,0.013
,B,Et,1,0,25,0.062
,B,Et,1,12.5,25,0.032
,B,Et,1,25,25,0.019
,B,Et,1,0,37.5,0.14
,B,Std_dev,2,0,0,0.009
,B,Std_dev,2,12.5,0,0.015
,B,Std_dev,2,25,0,0.011
,B,Std_dev,2,37.5,0,0.107
,B,Std_dev,2,0,12.5,0.012
,B,Std_dev,2,12.5,12.5,0.014
,B,Std_dev,2,25,12.5,0.011
,B,Std_dev,2,0,25,0.036
,B,Std_dev,2,12.5,25,0.012
,B,Std_dev,2,25,25,0.1
,B,Std_dev,2,0,37.5,0.114
,B,Et,2,0,0,0.008
,B,Et,2,12.5,0,0.011
,B,Et,2,25,0,0.01
,B,Et,2,37.5,0,0.077
,B,Et,2,0,12.5,0.011
,B,Et,2,12.5,12.5,0.011
,B,Et,2,25,12.5,0.005
,B,Et,2,0,25,0.02
,B,Et,2,12.5,25,0.01
,B,Et,2,25,25,0.044
,B,Et,2,0,37.5,0.057
