,garment,zone,trajectory,x,y,error
,C,GZ,1,0,0,0.011
,C,GZ,1,12.5,0,0.023
,C,GZ,1,25,0,0.112
,C,GZ,1,37.5,0,0.195
,C,GZ,1,0,12.5,0.161
,C,GZ,1,12.5,12.5,0.147
,C,GZ,1,25,12.5,0.196
,C,GZ,1,0,25,0.301
,C,GZ,1,12.5,25,0.194
,C,GZ,1,25,25,0.171
,C,GZ,1,0,37.5,0.416
,C,HZ,1,2,0,0.002
,C,HZ,1,14.5,0,0.02
,C,HZ,1,27,0,0.052
,C,HZ,1,39.5,0,0.131
,C,HZ,1,2,12.5,0.005
,C,HZ,1,14.5,12.5,0.035
,C,HZ,1,27,12.5,0.164
,C,HZ,1,2,25,0.011
,C,HZ,1,14.5,25,0.075
,C,HZ,1,27,25,0.04
,C,HZ,1,2,37.5,0.029
,C,GZ,2,0,0,0.036
,C,GZ,2,12.5,0,0.027
,C,GZ,2,25,0,0.145
,C,GZ,2,37.5,0,0.344
,C,GZ,2,0,12.5,0.045
,C,GZ,2,12.5,12.5,0.043
,C,GZ,2,25,12.5,0.091
,C,GZ,2,0,25,0.12
,C,GZ,2,12.5,25,0.058
,C,GZ,2,25,25,0.078
,C,GZ,2,0,37.5,0.291
,C,HZ,2,2,0,0.065
,C,HZ,2,14.5,0,0.065
,C,HZ,2,27,0,0.179
,C,HZ,2,39.5,0,0.522
,C,HZ,2,2,12.5,0.07
,C,HZ,2,14.5,12.5,0.077
,C,HZ,2,27,12.5,0.072
,C,HZ,2,2,25,0.053
,C,HZ,2,14.5,25,0.078
,C,HZ,2,27,25,0.11
,C,HZ,2,2,37.5,0.1
