,error_stdev,garment,trajectory,x,y,error
,Std_dev,C,1,0,0,0.01
,Std_dev,C,1,12.5,0,0.029
,Std_dev,C,1,25,0,0.119
,Std_dev,C,1,37.5,0,0.22
,Std_dev,C,1,0,12.5,0.102
,Std_dev,C,1,12.5,12.5,0.112
,Std_dev,C,1,25,12.5,0.24
,Std_dev,C,1,0,25,0.162
,Std_dev,C,1,12.5,25,0.16
,Std_dev,C,1,25,25,0.155
,Std_dev,C,1,0,37.5,0.226
,Et,C,1,0,0,0.005
,Et,C,1,12.5,0,0.022
,Et,C,1,25,0,0.081
,Et,C,1,37.5,0,0.162
,Et,C,1,0,12.5,0.078
,Et,C,1,12.5,12.5,0.089
,Et,C,1,25,12.5,0.18
,Et,C,1,0,25,0.15
,Et,C,1,12.5,25,0.132
,Et,C,1,25,25,0.103
,Et,C,1,0,37.5,0.215
,Std_dev,C,2,0,0,0.001
,Std_dev,C,2,12.5,0,0
,Std_dev,C,2,25,0,0.047
,Std_dev,C,2,37.5,0,0.287
,Std_dev,C,2,0,12.5,0.078
,Std_dev,C,2,12.5,12.5,0.073
,Std_dev,C,2,25,12.5,0.184
,Std_dev,C,2,0,25,0.177
,Std_dev,C,2,12.5,25,0.131
,Std_dev,C,2,25,25,0.258
,Std_dev,C,2,0,37.5,0.245
,Et,C,2,0,0,0
,Et,C,2,12.5,0,0.001
,Et,C,2,25,0,0.036
,Et,C,2,37.5,0,0.27
,Et,C,2,0,12.5,0.057
,Et,C,2,12.5,12.5,0.028
,Et,C,2,25,12.5,0.175
,Et,C,2,0,25,0.157
,Et,C,2,12.5,25,0.048
,Et,C,2,25,25,0.103
,Et,C,2,0,37.5,0.211
