Label,Class,M1,M2,M3,M4
o1_gr_can ,Z,0.044,0.039,0.043,0.038
o1_gr_e10 ,B,0.188,0.193,0.113,0.085
o1_gr_e11 ,B,0.209,0.214,0.123,0.09
o1_gr_e12 ,C,0.172,0.203,0.098,0.07
o1_gr_e1 ,C,0.187,0.158,0.151,0.082
o1_gr_e2 ,B,0.187,0.156,0.103,0.09
o1_gr_e3 ,C,0.214,0.216,0.156,0.12
o1_gr_e4 ,B,0.211,0.192,0.082,0.079
o1_gr_e5 ,C,0.226,0.168,0.129,0.072
o1_gr_e6 ,B,0.207,0.173,0.113,0.077
o1_gr_e7 ,B,0.231,0.259,0.124,0.129
o1_gr_e8 ,C,0.356,0.272,0.113,0.087
o1_gr_e9 ,C,0.339,0.144,0.134,0.097
o1_plg_can,Z,0.098,0.095,0.091,0.088
o1_plg_e10,A,0.233,0.234,0.35,0.442
o1_plg_e11,A,0.178,0.213,0.38,0.454
o1_plg_e12,A,0.274,0.254,0.354,0.392
o1_plg_e1,C,0.394,0.28,0.12,0.158
o1_plg_e2,B,0.369,0.372,0.111,0.177
o1_plg_e3,B,0.359,0.364,0.156,0.292
o1_plg_e4,E,0.365,0.43,0.101,0.294
o1_plg_e5,C,0.356,0.3,0.283,0.189
o1_plg_e6,E,0.334,0.34,0.371,0.389
o1_plg_e7,E,0.31,0.285,0.376,0.375
o1_plg_e8,E,0.279,0.223,0.285,0.271
o1_plg_e9,A,0.237,0.245,0.367,0.296
o1_pl_can,Z,0.085,0.084,0.1,0.089
o1_pl_e10,E,0.05,0.098,0.076,0.09
o1_pl_e11,E,0.021,0.038,0.06,0.227
o1_pl_e12,E,0.032,0.146,0.075,0.216
o1_pl_e2,E,0.067,0.06,0.359,0.448
o1_pl_e3,C,0.033,0.071,0.32,0.32
o1_pl_e4,E,0.071,0.094,0.293,0.37
o1_pl_e5,E,0.072,0.039,0.282,0.459
o1_pl_e6,E,0.058,0.078,0.106,0.334
o1_pl_e7,E,0.072,0.091,0.373,0.388
o1_pl_e8,E,0.062,0.07,0.282,0.258
o1_pl_e9,E,0.085,0.052,0.216,0.127
o2_gr_e10,C,0.685,0.897,0.622,0.617
o2_gr_e11,D,0.72,0.882,0.214,0.172
o2_gr_e1,C,0.727,0.761,0.571,0.86
o2_gr_e24,C,0.787,0.818,0.579,0.789
o2_gr_e2,C,0.699,0.948,0.648,0.615
o2_gr_e3,D,0.484,0.523,0.189,0.443
o2_gr_e5,C,0.575,1,0.689,0.8
o2_gr_e6,C,0.674,0.981,0.648,0.75
o2_gr_e7,D,0.874,0.226,0.129,0.308
o2_gr_e9,C,0.525,0.917,0.71,0.771
o2_gr_can,Z,0.066,0.07,0.062,0.058
o2_plg_e10,C,0.432,0.642,0.19,0.449
o2_plg_e11,E,0.3,0.239,0.376,0.301
o2_plg_e1,C,0.287,0.259,0.151,0.279
o2_plg_e24,E,0.438,0.877,0.417,0.609
o2_plg_e2,C,0.146,0.949,0.475,0.854
o2_plg_e3,E,0.288,0.371,0.177,0.298
o2_plg_e5,E,0.224,0.699,0.303,0.457
o2_plg_e6,E,0.357,0.752,0.261,0.497
o2_plg_e7,E,0.428,0.451,0.324,0.285
o2_plg_e9,E,0.249,0.481,0.243,0.331
o2_plg_can,Z,0.095,0.084,0.074,0.109
o2_pl_e10,C,-0.094,0.13,0.127,0.576
o2_pl_e11,E,-0.209,-0.07,-0.019,0.293
o2_pl_e1,E,-0.01,-0.001,0.373,0.634
o2_pl_e24,E,-0.021,0.573,-0.055,0.447
o2_pl_e2,C,-0.233,0.603,0.861,0.8
o2_pl_e3,D,-0.179,-0.147,0.442,0.661
o2_pl_e5,C,-0.222,0.156,0.566,0.639
o2_pl_e6,C,-0.028,0.304,0.466,0.564
o2_pl_e7,E,-0.036,0.013,0.153,0.424
o2_pl_e9,C,-0.118,-0.042,0.369,0.09
o2_pl_can,Z,0.08,0.033,0.035,0.02
