Filename,Object,Layers,Grasp,Edge,NonGraspedEdgeSize,GraspedEdgeSize,Area,Stiffness,Friction,Elasticity
check_12l_long_me,check,12l,long,me,12,25,300,83.1,88.4,4
check_12l_long_se,check,12l,long,se,12,25,300,83.1,88.4,4
check_12l_short_me,check,12l,short,me,25,12,300,83.1,88.4,7
check_12l_short_se,check,12l,short,se,25,12,300,83.1,88.4,7
check_16l_long_me,check,16l,long,me,13,18,234,100,88.4,4
check_16l_long_se,check,16l,long,se,13,18,234,100,88.4,4
check_16l_short_me,check,16l,short,me,18,13,234,100,88.4,7
check_16l_short_se,check,16l,short,se,18,13,234,100,88.4,7
check_4l_long_me,check,4l,long,me,25,35,875,41.1,88.4,4
check_4l_long_se,check,4l,long,se,25,35,875,41.1,88.4,4
check_4l_short_me,check,4l,short,me,35,25,875,41.1,88.4,7
check_4l_short_se,check,4l,short,se,35,25,875,41.1,88.4,7
check_6l_long_me,check,6l,long,me,24,25,600,49.2,88.4,4
check_6l_long_se,check,6l,long,se,24,25,600,49.2,88.4,4
check_6l_short_me,check,6l,short,me,25,24,600,49.2,88.4,7
check_6l_short_se,check,6l,short,se,25,24,600,49.2,88.4,7
check_8l_long_me,check,8l,long,me,18,25,450,70.2,88.4,4
check_8l_long_se,check,8l,long,se,18,25,450,70.2,88.4,4
check_8l_short_me,check,8l,short,me,25,18,450,70.2,88.4,7
check_8l_short_se,check,8l,short,se,25,18,450,70.2,88.4,7
cotnap_12l_long_me,cotnap,12l,long,me,9,25,225,74.5,80,2
cotnap_12l_long_se,cotnap,12l,long,se,9,25,225,74.5,80,2
cotnap_12l_short_me,cotnap,12l,short,me,25,9,225,74.5,80,1
cotnap_12l_short_se,cotnap,12l,short,se,25,9,225,74.5,80,1
cotnap_16l_long_me,cotnap,16l,long,me,13,13,169,100,80,2
cotnap_16l_long_se,cotnap,16l,long,se,13,13,169,100,80,2
cotnap_16l_short_me,cotnap,16l,short,me,13,13,169,100,80,1
cotnap_16l_short_se,cotnap,16l,short,se,13,13,169,100,80,1
