Filename,Object,NumberLayers,GraspLocation,EdgeType,NonGraspedEdgeSize,GraspedEdgeSize,Area,Stiffness,Friction,Elasticity,ClusterLabel,Elasticity2
check_12l_long_me,check,12l,long,me,12,25,300,83.1,82,0,1,1
check_12l_long_se,check,12l,long,se,13,25,325,83.1,82,0,2,3
check_12l_short_me,check,12l,short,me,26,12,312,83.1,82,0,0,3
check_12l_short_se,check,12l,short,se,25,12,300,83.1,82,0,0,3
check_16l_long_me,check,16l,long,me,14,18,252,100,80,0,1,1
check_16l_long_se,check,16l,long,se,13,17,221,100,80,0,1,1
check_16l_short_me,check,16l,short,me,17,13,221,100,80,0,0,1
check_16l_short_se,check,16l,short,se,18,13,234,100,80,0,1,2
check_4l_long_me,check,4l,long,me,26,36,936,41.1,88.4,4,2,4
check_4l_long_se,check,4l,long,se,25,35,875,41.1,88.4,4,0,4
check_4l_short_me,check,4l,short,me,35,25,875,41.1,88.4,4,0,4
check_4l_short_se,check,4l,short,se,35,26,910,41.1,88.4,4,0,4
check_6l_long_me,check,6l,long,me,36,17,612,49.2,87,3,0,3
check_6l_long_se,check,6l,long,se,35,16,560,49.2,87,3,0,3
check_6l_short_me,check,6l,short,me,17,24,408,49.2,87,4,0,4
check_6l_short_se,check,6l,short,se,16,35,560,49.2,87,4,0,4
check_8l_long_me,check,8l,long,me,18,26,468,70.2,84,4,2,2
check_8l_long_se,check,8l,long,se,17,25,425,70.2,84,4,2,2
check_8l_short_me,check,8l,short,me,24,18,432,70.2,84,4,0,4
check_8l_short_se,check,8l,short,se,26,17,442,70.2,84,4,0,4
cotnap_12l_long_me,cotnap,12l,long,me,9,25,225,74.5,74,0,2,1
cotnap_12l_long_se,cotnap,12l,long,se,9,25,225,74.5,74,0,2,1
cotnap_12l_short_me,cotnap,12l,short,me,25,9,225,74.5,74,0,0,0
cotnap_12l_short_se,cotnap,12l,short,se,26,9,234,74.5,74,0,0,0
cotnap_16l_long_me,cotnap,16l,long,me,13,13,169,100,74,0,1,0
cotnap_16l_long_se,cotnap,16l,long,se,12,13,156,100,74,0,1,0
cotnap_16l_short_me,cotnap,16l,short,me,13,12,156,100,74,0,1,0
cotnap_16l_short_se,cotnap,16l,short,se,13,13,169,100,74,0,1,0
cotnap_4l_long_me,cotnap,4l,long,me,25,25,625,61.8,80,1,0,2
cotnap_4l_long_se,cotnap,4l,long,se,26,25,650,61.8,80,1,0,2
cotnap_4l_short_me,cotnap,4l,short,me,24,25,600,61.8,80,1,0,1
cotnap_4l_short_se,cotnap,4l,short,se,25,25,625,61.8,80,1,0,1
cotnap_6l_long_me,cotnap,6l,long,me,17,25,425,73.9,78,2,1,2
cotnap_6l_long_se,cotnap,6l,long,se,17,26,442,73.9,78,2,2,2
cotnap_6l_short_me,cotnap,6l,short,me,26,17,442,73.9,75,1,0,1
cotnap_6l_short_se,cotnap,6l,short,se,25,17,425,73.9,75,1,0,1
cotnap_8l_long_me,cotnap,8l,long,me,13,25,325,74.5,74,1,2,1
cotnap_8l_long_se,cotnap,8l,long,se,13,25,325,74.5,74,1,2,1
cotnap_8l_short_me,cotnap,8l,short,me,24,13,312,74.5,74,0,0,0
cotnap_8l_short_se,cotnap,8l,short,se,25,13,325,74.5,74,0,0,0
linenap_12l_long_me,linenap,12l,long,me,9,25,225,74.5,81,2,2,2
linenap_12l_long_se,linenap,12l,long,se,9,25,225,74.5,81,2,2,2
linenap_12l_short_me,linenap,12l,short,me,25,9,225,74.5,81,1,1,2
linenap_12l_short_se,linenap,12l,short,se,26,9,234,74.5,81,0,0,2
linenap_16l_long_me,linenap,16l,long,me,13,13,169,100,80,0,1,0
linenap_16l_long_se,linenap,16l,long,se,12,13,156,100,80,0,1,0
linenap_16l_short_me,linenap,16l,short,me,13,13,169,100,80,0,1,2
linenap_16l_short_se,linenap,16l,short,se,13,13,169,100,80,0,1,2
linenap_4l_long_me,linenap,4l,long,me,25,25,625,61.8,85.5,2,0,2
linenap_4l_long_se,linenap,4l,long,se,25,24,600,61.8,85.5,2,0,2
linenap_4l_short_me,linenap,4l,short,me,24,25,600,61.8,85.5,2,0,2
linenap_4l_short_se,linenap,4l,short,se,25,25,625,61.8,85.5,2,0,2
linenap_6l_long_me,linenap,6l,long,me,17,25,425,73.9,84,2,2,2
linenap_6l_long_se,linenap,6l,long,se,17,25,425,73.9,84,2,2,2
linenap_6l_short_me,linenap,6l,short,me,25,17,425,73.9,84,1,0,2
linenap_6l_short_se,linenap,6l,short,se,25,17,425,73.9,84,1,0,2
linenap_8l_long_me,linenap,8l,long,me,13,25,325,74.5,82,1,2,2
linenap_8l_long_se,linenap,8l,long,se,13,25,325,74.5,82,1,2,2
linenap_8l_short_me,linenap,8l,short,me,25,13,325,74.5,82,2,0,2
linenap_8l_short_se,linenap,8l,short,se,25,13,325,74.5,82,2,0,2
pillowc_12l_long_me,pillowc,12l,long,me,15,28,420,70,82,2,1,2
pillowc_12l_long_se,pillowc,12l,long,se,16,28,448,70,76,0,2,2
pillowc_12l_short_me,pillowc,12l,short,me,28,15,420,70,76,2,1,1
pillowc_12l_short_se,pillowc,12l,short,se,27,15,405,70,76,0,0,1
pillowc_16l_long_me,pillowc,16l,long,me,14,23,322,87.1,78,2,1,2
pillowc_16l_long_se,pillowc,16l,long,se,15,23,345,87.1,78,2,1,2
pillowc_16l_short_me,pillowc,16l,short,me,23,14,322,87.1,74,0,0,1
pillowc_16l_short_se,pillowc,16l,short,se,23,14,322,87.1,74,1,0,1
pillowc_4l_long_me,pillowc,4l,long,me,28,45,1260,24.4,82.7,3,2,2
pillowc_4l_long_se,pillowc,4l,long,se,28,45,1260,24.4,82.7,3,2,2
pillowc_4l_short_me,pillowc,4l,short,me,45,28,1260,24.4,82.7,1,0,1
pillowc_4l_short_se,pillowc,4l,short,se,45,28,1260,24.4,82.7,1,0,1
pillowc_6l_long_me,pillowc,6l,long,me,19,46,874,28.3,80,2,2,2
pillowc_6l_long_se,pillowc,6l,long,se,19,46,874,28.3,80,2,2,2
pillowc_6l_short_me,pillowc,6l,short,me,46,19,874,28.3,78,1,0,1
pillowc_6l_short_se,pillowc,6l,short,se,46,19,874,28.3,78,1,0,1
pillowc_8l_long_me,pillowc,8l,long,me,23,28,644,60.1,78,2,0,2
pillowc_8l_long_se_2,pillowc,8l,long,se,23,28,644,60.1,79,2,2,2
pillowc_8l_short_me,pillowc,8l,short,me,28,23,644,60.1,78,1,0,1
pillowc_8l_short_se,pillowc,8l,short,se,28,23,644,60.1,78,1,0,1
towel_12l_long_me,towel,12l,long,me,15,25,375,100,78,0,1,4
towel_12l_long_se,towel,12l,long,se,15,25,375,100,78,0,1,4
towel_12l_short_me,towel,12l,short,me,24,15,360,100,76,0,1,4
towel_12l_short_se,towel,12l,short,se,25,15,375,100,76,0,1,4
towel_4l_long_me,towel,4l,long,me,26,45,1170,37.8,80,4,2,4
towel_4l_long_se,towel,4l,long,se,26,45,1170,37.8,80,4,2,4
towel_4l_short_me,towel,4l,short,me,45,25,1125,37.8,80,3,0,4
towel_4l_short_se,towel,4l,short,se,45,25,1125,37.8,80,3,0,4
towel_6l_long_me,towel,6l,long,me,17,46,782,57.7,76,3,0,4
