Name,human GT,3x3 class,10x10 class,Object,Layers,Grasp,,Non grasped edge size,Grasped edge size,Exp,Fold Stiffness,Friction,Area
towel_short_se_16l,,,,Towel,16layers,"Short, Single edge",,,,100,,,0
towel_long_se_16l,,,,Towel,16layers,"Long, Single edge",,,,98,,,0
towel_short_me_16l,,,,Towel,16layers,"Mult. edges, Short",,,,99,,,0
towel_long_me_16l,,,,Towel,16layers,"Long, Mult. edges",,,,97,,,0
towel_short_se_4l,B,B,B,Towel,4layers,"Short, Single edge",,45,25,4,,,1125
towel_short_me_4l,B,B,B,Towel,4layers,"Mult. edges, Short",,45,25,3,,,1125
towel_long_se_4l,C,C,B,Towel,4layers,"Long, Single edge",,25,45,2,,,1125
towel_long_me_4l,C,C,C,Towel,4layers,"Long, Mult. edges",,25,45,1,37.8,80,1125
towel_short_se_8l,B,B,B,Towel,8layers,"Short, Single edge",,25,23,52,,,575
towel_short_me_8l,B,A,A,Towel,8layers,"Mult. edges, Short",,25,23,51,,,575
towel_long_se_8l,B,B,B,Towel,8layers,"Long, Single edge",,23,25,50,,,575
towel_long_me_8l,B,A,A,Towel,8layers,"Long, Mult. edges",,23,25,49,99.9,,575
towel_short_se_6l,B,A,B,Towel,6layers,"Short, Single edge",,30,25,28,,,750
towel_short_se_12l,A,A,A,Towel,12layers,"Short, Single edge",,25,15,76,,,375
towel_short_me_12l,A,A,A,Towel,12layers,"Mult. edges, Short",,25,15,75,,,375
towel_short_me_6l,B,B,B,Towel,6layers,"Mult. edges, Short",,30,25,27,,,750
towel_long_se_12l,A,A,A,Towel,12layers,"Long, Single edge",,15,25,74,,,375
towel_long_se_6l,B,B,B,Towel,6layers,"Long, Single edge",,25,30,26,,,750
towel_long_me_12l,A,A,A,Towel,12layers,"Long, Mult. edges",,15,25,73,100,,375
towel_long_me_6l,B,B,B,Towel,6layers,"Long, Mult. edges",,25,30,25,57.7,,750
pillowc_short_se_16l,B,B,B,Pillowcase,16layers,"Short, Single edge",,23,14,112,,,322
pillowc_long_se_16l,C,C,C,Pillowcase,16layers,"Long, Single edge",,14,23,110,,,322
pillowc_long_me_16l,A,A,A,Pillowcase,16layers,"Long, Mult. edges",,14,23,109,87.1,,322
pillowc_short_me_16l,B,B,B,Pillowcase,16layers,"Mult. edges, Short",,23,14,111,,,322
pillowc_short_se_4l,B,B,B,Pillowcase,4layers,"Short, Single edge",,45,28,16,,,1260
pillowc_short_me_4l,C,B,C,Pillowcase,4layers,"Mult. edges, Short",,45,28,15,,,1260
pillowc_long_se_4l,C,C,C,Pillowcase,4layers,"Long, Single edge",,28,45,14,,,1260
pillowc_long_me_4l,C,C,C,Pillowcase,4layers,"Long, Mult. edges",,28,45,13,24.4,82.7,1260
pillowc_short_se_6l,B,B,B,Pillowcase,6layers,"Short, Single edge",,37,23,40,,,851
pillowc_short_se_8l,B,B,B,Pillowcase,8layers,"Short, Single edge",,28,23,64,,,644
pillowc_short_se_12l,B,B,B,Pillowcase,12layers,"Short, Single edge",,28,15,88,,,420
pillowc_short_me_12l,B,A,B,Pillowcase,12layers,"Mult. edges, Short",,28,15,87,,,420
pillowc_short_me_6l,B,B,B,Pillowcase,6layers,"Mult. edges, Short",,37,23,39,,,851
pillowc_short_me_8l,C,B,B,Pillowcase,8layers,"Mult. edges, Short",,28,23,63,,,644
pillowc_long_se_6l,C,C,C,Pillowcase,6layers,"Long, Single edge",,23,37,38,,,851
pillowc_long_se_12l,C,C,C,Pillowcase,12layers,"Long, Single edge",,15,28,86,,,420
pillowc_long_se_8l,C,C,C,Pillowcase,8layers,"Long, Single edge",,23,28,62,,,644
pillowc_long_me_12l,C,A,C,Pillowcase,12layers,"Long, Mult. edges",,15,28,85,70,,420
pillowc_long_me_8l,C,B,B,Pillowcase,8layers,"Long, Mult. edges",,23,28,61,60.1,,644
pillowc_long_me_6l,C,C,C,Pillowcase,6layers,"Long, Mult. edges",,23,37,37,28.3,,851
check_short_me_16l,B,B,B,Chekered,16layers,"Mult. edges, Short",,18,13,115,100,,234
check_long_se_16l,A,A,A,Chekered,16layers,"Long, Single edge",,13,18,114,100,,234
check_short_se_16l,B,A,A,Chekered,16layers,"Short, Single edge",,18,13,116,100,,234
check_long_me_16l,A,A,A,Chekered,16layers,"Long, Mult. edges",,13,18,113,100,,234
check_short_se_4l,B,B,B,Chekered,4layers,"Short, Single edge",,35,25,20,41.1,,875
check_short_me_4l,B,B,B,Chekered,4layers,"Mult. edges, Short",,35,25,19,41.1,,875
check_long_se_4l,C,B,C,Chekered,4layers,"Long, Single edge",,25,35,18,41.1,,875
check_long_me_4l,C,C,C,Chekered,4layers,"Long, Mult. edges",,25,35,17,41.1,,875
check_short_se_8l,B,B,B,Chekered,8layers,"Short, Single edge",,25,18,68,70.2,,450
check_short_se_12l,B,B,B,Chekered,12layers,"Short, Single edge",,25,12,92,83.1,,300
check_short_se_6l,B,B,B,Chekered,6layers,"Short, Single edge",,25,24,44,49.2,,600
check_short_me_12l,B,B,B,Chekered,12layers,"Mult. edges, Short",,25,12,91,83.1,,300
check_short_me_8l,B,B,B,Chekered,8layers,"Mult. edges, Short",,25,18,67,70.2,88.4,450
check_short_me_6l,B,B,B,Chekered,6layers,"Mult. edges, Short",,25,24,43,49.2,,600
check_long_se_12l,C,C,C,Chekered,12layers,"Long, Single edge",,12,25,90,83.1,,300
check_long_se_8l,C,C,C,Chekered,8layers,"Long, Single edge",,18,25,66,70.2,,450
check_long_se_6l,B,B,B,Chekered,6layers,"Long, Single edge",,24,25,4,49.2,,600
check_long_me_8l,C,C,C,Chekered,8layers,"Long, Mult. edges",,18,25,65,70.2,,450
check_long_me_12l,A,A,,Chekered,12layers,"Long, Mult. edges",,12,25,89,83.1,,300
check_long_me_6l,B,B,B,Chekered,6layers,"Long, Mult. edges",,24,25,41,49.2,,600
cotnap_short_se_16l,A,B,B,Cotton_nap,16layers,"Short, Single edge",,13,13,104,,,169
cotnap_short_me_16l,A,A,A,Cotton_nap,16layers,"Mult. edges, Short",,13,13,103,,,169
cotnap_long_me_16l,A,A,A,Cotton_nap,16layers,"Long, Mult. edges",,13,13,101,,,169
cotnap_long_se_16l,A,A,A,Cotton_nap,16layers,"Long, Single edge",,13,13,102,,,169
cotnap_short_se_4l,C,B,B,Cotton_nap,4layers,"Short, Single edge",,25,25,8,,,625
cotnap_short_me_4l,C,B,C,Cotton_nap,4layers,"Mult. edges, Short",,25,25,7,,,625
cotnap_long_se_4l,C,B,C,Cotton_nap,4layers,"Long, Single edge",,25,25,6,,,625
cotnap_long_me_4l,C,B,C,Cotton_nap,4layers,"Long, Mult. edges",,25,25,5,,80,625
cotnap_short_se_12l,B,B,B,Cotton_nap,12layers,"Short, Single edge",,25,9,80,,,225
cotnap_short_se_6l,B,B,B,Cotton_nap,6layers,"Short, Single edge",,25,17,32,,,425
cotnap_short_se_8l,B,B,B,Cotton_nap,8layers,"Short, Single edge",,25,13,56,,,325
cotnap_short_me_12l,B,B,B,Cotton_nap,12layers,"Mult. edges, Short",,25,9,79,,,225
cotnap_short_me_8l,B,B,B,Cotton_nap,8layers,"Mult. edges, Short",,25,13,55,,,325
cotnap_short_me_6l,B,B,B,Cotton_nap,6layers,"Mult. edges, Short",,25,17,31,,,425
cotnap_long_se_12l,C,C,C,Cotton_nap,12layers,"Long, Single edge",,9,25,78,,,225
cotnap_long_se_8l,C,C,C,Cotton_nap,8layers,"Long, Single edge",,13,25,54,,,325
cotnap_long_se_6l,C,C,C,Cotton_nap,6layers,"Long, Single edge",,17,25,30,,,425
cotnap_long_me_12l,C,C,C,Cotton_nap,12layers,"Long, Mult. edges",,9,25,77,,,225
cotnap_long_me_8l,C,C,C,Cotton_nap,8layers,"Long, Mult. edges",,13,25,53,,,325
cotnap_long_me_6l,C,A,C,Cotton_nap,6layers,"Long, Mult. edges",,17,25,29,,,425
linenap_short_se_16l,A,A,A,Linen_nap,16layers,"Short, Single edge",,13,13,108,,,169
linenap_short_me_16l,A,A,A,Linen_nap,16layers,"Mult. edges, Short",,13,13,107,,,169
linenap_long_se_16l,A,A,A,Linen_nap,16layers,"Long, Single edge",,13,13,106,,,169
linenap_long_me_16l,A,A,A,Linen_nap,16layers,"Long, Mult. edges",,13,13,105,,,169
linenap_short_se_12l,B,B,B,Linen_nap,12layers,"Short, Single edge",,25,9,84,,,225
linenap_short_me_12l,B,A,B,Linen_nap,12layers,"Mult. edges, Short",,25,9,83,,,225
linenap_long_se_12l,C,C,C,Linen_nap,12layers,"Long, Single edge",,9,25,82,,,225
linenap_long_me_12l,C,C,C,Linen_nap,12layers,"Long, Mult. edges",,9,25,81,,,225
linenap_short_se_4l,C,B,B,Linen_nap,4layers,"Short, Single edge",,25,25,12,,,625
linenap_short_me_4l,C,B,B,Linen_nap,4layers,"Mult. edges, Short",,25,25,11,,,625
linenap_long_se_4l,C,B,C,Linen_nap,4layers,"Long, Single edge",,25,25,10,,,625
linenap_long_me_4l,C,B,C,Linen_nap,4layers,"Long, Mult. edges",,25,25,9,,85.5,625
linenap_short_se_8l,B,B,B,Linen_nap,8layers,"Short, Single edge",,25,13,60,,,325
