File,Class_GT,Class_GT_n,M1,M2,M3,M4,,,,,,,,
o1-01_gr_e01,B,,0.054,0.062,0.046,0.045,,,,,0.01,0.024,0.02,0.041
o1-01_gr_e02,B,,0.052,0.058,0.04,0.071,,,,,0.011,0.03,0.016,0.037
o1-01_gr_e03,B,,0.04,0.07,0.047,0.054,,,,,0.01,0.027,0.018,0.046
o1-04_gr_e04,B,,0.03,0.031,0.027,0.03,,,,,0.017,0.055,0.016,0.025
o1-04_gr_e05,B,,0.032,0.033,0.03,0.033,,,,,0.015,0.05,0.018,0.035
o1-04_gr_e06,B,,0.031,0.029,0.028,0.029,,,,,0.016,0.057,0.015,0.028
o1_gr_e01,A,,0.009,0.044,0.012,0.039,,,,,0.044,0.129,0.048,0.09
o1_gr_e02,A,,0.006,0.031,0.014,0.032,,,,,0.043,0.074,0.066,0.08
o1_gr_e03,A,,0.01,0.031,0.01,0.02,,,,,0.049,0.078,0.048,0.087
o1_gr_e04,A,,0.009,0.027,0.01,0.019,,,,,0.023,1,0.031,1
o1_gr_e05,A,,0.008,0.027,0.012,0.021,,,,,0.022,1,0.027,0.585
o1_gr_e06,A,,0.01,0.028,0.01,0.019,,,,,0.025,1,0.03,1
o1_gr_e07,A,,0.011,0.038,0.014,0.054,,,,,0.033,0.061,0.037,0.044
o1_gr_e08,A,,0.008,0.021,0.012,0.033,,,,,0.045,0.046,0.023,0.029
o1_gr_e09,A,,0.008,0.019,0.011,0.031,,,,,0.041,0.056,0.038,0.039
o1_gr_e10,A,,0.012,0.039,0.011,0.037,,,,,0.031,0.048,0.019,0.036
o1_gr_e11,A,,0.011,0.044,0.013,0.058,,,,,0.024,0.063,0.014,0.026
o1_gr_e12,A,,0.008,0.038,0.011,0.031,,,,,0.025,0.063,0.014,0.025
o2-01_gr_e01,B,,0.06,0.107,0.073,0.119,,,,,0.039,0.05,0.035,0.043
o2-01_gr_e02,B,,0.058,0.095,0.048,0.178,,,,,0.041,0.056,0.035,0.045
