File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81
o1-01_gr_e01,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5464978056640625,0.6615541454046636,0.9358527175000001,1,1,1,1,1,1,0.28440580555555556,0.27215878125,0.7106786875,1,0.9572799256198345,0.7113386874999997,0.6025276363636362,0.734998702479339,0.5582598476562499,0.04177760491493379,0.04172987847222218,0.07337585249999996,0.09146663715277775,0.1257545763888889,0.17199252173913043,0.20895083364839317,0.37167052888888874,0.19742086134067943,0.3457375468749999,0.20471529938271604,0.7868447190082642,0.5010531666666667,0.3852111975308642,0.3397310833333333,0.3347831866666666,0.4289107499999999,0.2756745072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.49745546366781995,0.7776294409722221,1,1,1,1,1,1,1,0.2646387226562499,0.20997224852071003,0.7942760887573964,1,0.7906606111111109,0.5265039930555553,0.5101642577777777,0.5845615377777778,0.8259542699999998,0.042026785599999956,0.05133098263888882,0.07376021599999995,0.11356996030245739,0.13335531550068583,0.16145185459183672,0.2139625775999999,0.29188171201814056,0.2031356890432098,0.4777911735537189,0.15144199943310654,0.38309542798353907,1,0.8938092399999996,0.9254186666666664,0.8262627031249997,1,1,0.48033059183673465,0.4261073297959183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3238202897727274,0.6140518928571428,1,1,1,1,1,1,1,0.19630718240000017,0.13725125831024937,0.43260271191135746,1,1,1,1,1,1,0.043942242500000145,0.05537540909090918,0.07739901033057864,0.10632447258979214,0.11861895444444454,0.16294063010204093,0.26186424263038566,0.2533463200000001,0.2072900787037037,0.7267202716049387,0.18255413760000017,0.545835052469136,1,0.5703442343750005,0.5098003100000004,0.7192341718750004,0.5304845763888889,0.5195479642857146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,1,1,1,1,1,1,1,1,1,0.6630504799999999,0.6556605872576177,0.8039467031249999,0.9273180153061222,0.8283847382812499,0.790861221453287,0.7442603271604937,0.9558534489795916,1,0.6187270765306121,0.41094976870748295,0.38820928512396685,0.5789079687499998,0.4467230249433105,0.5776863806228373,0.5398113364197529,0.4013750973936899,1,1,0.22085218282548463,0.19047061776859492,0.2246704874999999,0.22364491836734682,0.30038247404844276,0.2575859433106575,0.21535790260630994,0.5276067688888887,0.06080195857988145,0.06907867999999981,0.07225681314878878,0.13854904958677663,0.14970568749999985,0.14755875510204067,0.1397323828124998,0.14720615999999984,0.26665895370370357,0.5752224693877549,0.1648764351851851,0.1567585199999999,0.16949249030470903,0.20071178200692028,0.19717110526315776,0.19769162499999995,0.19551347395833324,0.43653564583333304,0.4924718650519029,0.41416195290858704,0.3538580289256198,0.4464691728395062,0.4348523656509694,0.44037582825484756,0.3584356086956521,0.42620646499999987,1,0.647566675900277,0.6688644567901233,0.8311026399999999,0.879100933673469,0.7956586914062498,0.6947683703703702,0.7602519843749999,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e05,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.45996227066115714,0.44017937673611124,0.5006241549586777,0.5478756425000001,0.4965671219008264,0.35962728111111125,0.5555534504132231,1,0.47535163265306163,0.18824405482041595,0.21529030158730167,0.22044571900826448,0.21925880907372403,0.2209782930056712,0.17277688228299654,0.20595914429012352,1,0.05516139792387557,0.07128919897959193,0.06013921329639897,0.11219654861111122,0.13004479338842992,0.1440762561983472,0.10167125207756243,0.16709281250000008,0.36647632231404975,0.27880142346938797,0.18344036734693886,0.18619548753462611,0.24762532871972326,0.19525941250000015,0.18750867250000008,0.16926029600000006,0.1983509958847737,1,0.45945088846880916,0.4542106597353499,0.38984176479289945,0.4573519442148761,0.449683396694215,0.47935921088435396,0.30373736035156257,0.8776105486111112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e06,B,1,1,1,1,1,1,1,1,1,1,1,0.8889467422222223,0.8768180711111111,0.8754064711111114,0.8730253200000001,1,0.7886417460937502,0.721719124567474,1,0.8461900486111112,0.4131180165289256,0.45265636500000006,0.42779939002267575,0.46913835000000004,0.48253499749999995,0.41586869834710755,0.45351472299168977,0.9628125308641979,1,0.21470609297052162,0.1803101157024794,0.21357380500000006,0.23735541274238237,0.2520946094182826,0.25437426234567906,0.24489179320987656,0.44894943055555575,0.07367059504132244,0.06907634722222224,0.05865183391003466,0.10208426388888896,0.12110979861111118,0.13591714792899415,0.13414248469387763,0.13108487197231838,0.18722414669421497,1,0.14876521052631586,0.18100407421875003,0.16605126989619387,0.16995237370242222,0.1587833250000001,0.18179625617283957,0.15858064800000013,0.2941596327160495,0.6135115510204083,0.31599263715277776,0.3548631428571429,0.34226886389413996,0.3823270566893426,0.42305945152354585,0.38083870975056694,0.4422427936507938,1,0.7672535,0.7870529733333332,0.7144134948096886,0.6305745125000001,0.7526833252595156,0.8029597187499999,0.80061819140625,1,1,1,1,1,1,1,1,1,1,1
o1_gr_e01,A,0,0.12172506250000027,0.0571769586776861,0.1187805510204084,0.14153379338842986,0.22811107266435993,0.5776360972222223,0.6231493911111112,1,1,0.1422497500000004,0.07679381250000018,0.17821368750000033,0.1877716406250002,0.32971032638888914,0.5771464444444447,1,1,1,0.19762588888888907,0.08944895061728413,0.14471141666666693,0.12932041420118356,0.22140679938271618,0.4538021022222224,0.7402564305555559,1,1,0.27704450000000036,0.15315905555555578,0.2637730000000005,0.20769837000000013,0.385752355371901,0.67823878,0.9691921481481482,1,1,0.026986426035503074,0.07354905785123979,0.13862434000000018,0.20124672916666683,0.3163445153061225,0.5383946041666667,0.5622178133333335,1,1,0.11870168055555565,0.14452871604938292,0.14408383471074396,0.20438234319526638,0.31967918367346954,0.532160513888889,0.8215985000000003,0.9481408800000002,1,0.30060052777777807,0.16813099000000026,0.29863423437500025,0.35145477777777795,0.4640912400000001,0.8094485000000002,1,1,1,0.24025498765432116,0.19474343195266286,0.3481396666666669,0.3099522638888891,0.3787320473372782,0.5444266388888889,0.6594306875000001,1,1,0.15994880622837382,0.19425533024691366,0.22173061772853198,0.21644057844990555,0.32333476851851856,0.3176643151927439,0.4705895585937502,0.4589278337950139,1
o1_gr_e02,A,0,0.2515885999999996,0.11821492561983445,0.08571116049382699,0.06201009027777761,0.17765781632653044,0.3085379453124999,0.4831899234693877,0.7977079399999998,1,0.18772612244897935,0.23352824999999972,0.05914177777777744,0.08412484374999965,0.21756860416666648,0.48512191999999976,1,1,1,0.13993160493827134,0.09748445679012324,0.11723002777777726,0.1064636296296293,0.15783550390624984,0.3344585102040815,0.6237425599999998,0.7557838699999995,1,0.14142364062499974,0.14717266666666634,0.24065375,0.17108049999999975,0.26542372999999975,0.5585504999999997,0.7593947812499997,0.9539696406249999,1,0.029777305555555363,0.05059150295857978,0.19432955555555542,0.12611895266272177,0.21049562244897943,0.3757645277777777,0.5058333055555554,0.5531681173469386,1,0.12879848760330556,0.14502951851851825,0.14268604958677664,0.19654600826446256,0.29501990082644597,0.39568283333333315,0.5611681900826443,0.5871925029585796,1,0.20583855371900805,0.1835862708333332,0.36358783673469347,0.3073847407407405,0.44607884374999973,0.4480740165289255,1,0.8539016666666664,1,0.2822913819444443,0.3101824628099172,0.34608009090909064,0.29551537869822475,0.47614360493827124,0.45215420833333314,0.6413227699999998,0.6220885208333331,1,0.3134492177777776,0.24417390476190465,0.32160078200692027,0.2517693402646502,0.36188470703124986,0.3119476049999999,0.5400599722222221,0.49093590666666637,1
o1_gr_e03,A,0,0.20524506249999983,0.27064466666666653,0.1509835999999999,0.1554805299999999,0.2287665069444444,0.37431443249999985,0.43290192743764155,0.702327742222222,1,0.2897972244897956,0.4765917499999994,0.30460961111111096,0.36143199999999975,0.27840791999999986,0.5918706099999999,0.7825931999999998,0.8770400277777776,1,0.11937401388888876,0.14264651999999983,0.11454191715976314,0.26985787755102003,0.21965443367346926,0.3715618571428571,0.5438611301775146,0.6418303846153846,1,0.1276921199999998,0.2649720624999994,0.20903319444444415,0.18741654687499976,0.30593918518518504,0.42260516528925607,0.6174854999999999,0.713539570247934,1,0.0330257041420117,0.0508316899999997,0.12000301234567881,0.15614420987654307,0.2049985347222221,0.3267975833333332,0.42500653846153835,0.4651645644444443,1,0.13224523966942134,0.15285708163265305,0.12633306172839484,0.15335618518518498,0.18254165972222205,0.27912297222222204,0.33752117346938776,0.46041647928994067,1,0.2304530864197529,0.17502590624999986,0.1433837899999998,0.2634982222222219,0.3275670833333329,0.29336802999999984,0.5251563437499999,0.5482370864197529,1,0.2650799299999997,0.2637339218749998,0.21142759999999983,0.28327184374999975,0.24285040740740713,0.2702736399999998,0.2815432013888888,0.3337304305555554,0.7405136122448976,0.3422786419753085,0.237185236111111,0.1606510470914127,0.2919115950413221,0.16016951246537384,0.27001813888888876,0.25840051479289927,0.4033056543209874,0.4959285185185184
o1_gr_e04,A,0,0.11688957777777789,0.19992113000000022,0.15113347222222231,0.22928791555555578,0.23158981440443224,0.31571747750865065,0.2992955124716554,0.7147364800000002,1,0.1627921875000002,0.1921093061224493,0.21643529687500035,0.33194971428571446,0.2922909834710746,0.49059927160493844,0.5806377600000002,1,1,0.10444150617283975,0.1527656388888891,0.10799928472222237,0.15396943000000024,0.1867919881656806,0.2890809112426037,0.43630465277777797,0.6256698760330579,1,0.1190378775510207,0.18625675000000058,0.15085402777777818,0.23567612000000038,0.2357866875000003,0.37155466666666703,0.6000587031250002,0.9084816326530616,1,0.03505039053254448,0.04956293388429764,0.10930381481481502,0.16968886111111137,0.11321434319526637,0.21524605325443802,0.3382750887573967,0.46433147916666695,1,0.1032561481481484,0.13609694444444476,0.11335665432098797,0.17826019444444466,0.13451307407407426,0.14721062755102055,0.2549596577777779,0.4310833017751481,1,0.17399341666666696,0.23406000000000052,0.13078859504132245,0.2782551388888894,0.17840195061728426,0.20669413580246934,0.41983826562500026,0.40894772222222253,1,0.12576784297520677,0.14474100000000023,0.18812294444444458,0.29713969135802487,0.22854004958677704,0.2944080000000003,0.20373579081632665,0.3369521834319528,0.9369425277777782,0.2284957500000003,0.1313111445312501,0.17683950308641985,0.39475944000000024,0.29414779861111123,0.29483700000000024,0.20838746222222237,0.2843984177777779,1
