File,Class_GT,2x2,3x3,4x4,5x5
o1_gr_can,A,3,3,3,3
o1_gr_e01,B,0,0,0,0
o1_gr_e02,A,0,0,0,0
o1_gr_e03,C,0,0,0,0
o1_gr_e04,A,0,0,0,0
o1_gr_e05,B,0,0,0,0
o1_gr_e06,A,0,0,0,0
o1_gr_e07,C,0,0,0,0
o1_gr_e08,A,0,0,0,0
o1_gr_e09,B,0,0,0,0
o1_gr_e10,A,0,0,0,0
o1_gr_e11,C,0,0,0,0
o1_gr_e12,C,0,0,0,0
o2_gr_can,A,3,3,3,3
o2_gr_e01,D,4,4,1,2
o2_gr_e02,D,4,1,1,1
o2_gr_e03,F,1,4,4,2
o2_gr_e05,D,2,2,2,4
o2_gr_e06,D,4,1,1,1
o2_gr_e07,G,1,4,4,2
o2_gr_e09,D,0,0,0,0
o2_gr_e10,D,4,1,1,1
o2_gr_e11,F,1,4,4,2
o2_gr_e24,D,0,0,0,0
