File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1-01_gr_e01,B,1,1,1,1,1,1,0.27108961111111113,0.48038143326758703,1,1,1,0.025206279218407592,0.030325186455780792,0.052190524023668625,0.0626532081397212,0.07532278556238187,0.4600384766666666,1,1,1,0.3944426820987654,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,0.2545124832451499,1,1,1,1,0.025368359999999986,0.03434594426721711,0.056941059441293816,0.07556167472057856,0.09298170857988161,0.14289234552154195,0.3625337245687091,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,0.11520073260770981,0.3511336735870819,1,1,1,0.02749827511695259,0.0328821968490305,0.05745143289224957,0.07788056153549389,0.08691527632361691,0.387097530612245,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,0.5144743343195265,0.5071979822485205,0.7602860802469136,0.5480127696,1,0.14910864264462806,0.11069959816326531,0.15247123471074375,0.13433599816345262,0.195415202,0.033109009002770015,0.03313834725765301,0.05778428999999995,0.047172297615627655,0.07347210776672931,0.12398581068658425,0.0990313659183673,0.12919001052295911,0.10388416504661765,0.21957172910927447,0.48231645857988154,0.5568862797731569,0.6877828337950136,0.575152382231405,1
o1-04_gr_e05,B,1,1,1,1,1,1,0.16141425392428446,0.1182419621855472,0.1552395078043705,0.1172583890541345,0.2815971943024106,0.028127232000000033,0.032087242228377985,0.05246458812500004,0.041889776941682375,0.09045131423611116,0.11763529068559557,0.10604679576284104,0.14773328953626638,0.09949845577854673,0.3681355238095239,1,1,1,1,1
o1-04_gr_e06,B,1,0.8722209609375,0.7128884099722992,0.6363894535147392,0.6792405263157896,0.7790685585937499,0.184549066998642,0.11151268994247174,0.11602800713734569,0.1423260855647892,0.1636882482638889,0.045641088842975255,0.027807879286694117,0.04076101215277779,0.052911568114217766,0.04941786252727636,0.15707645689296126,0.0938882073469388,0.09311323362732223,0.12220509977324265,0.17181030070308284,0.6528849778393351,0.48938874852071007,0.527777424,0.7939075086505191,1
o1_gr_e01,A,0,0.026755628472222293,0.03615444526627224,0.0841967292892712,0.20473319037317472,1,0.06300441015625009,0.04857777600000006,0.11243515581717459,0.2624132685546875,1,0.02238589000000005,0.04806225097656255,0.10759855187500005,0.187321304488913,1,0.05152665136718756,0.06487491589506178,0.12020644529085872,0.2083299043097152,0.880076272727273,0.06492432696280995,0.07570916220850485,0.11260022720000001,0.1594136939791761,0.5009376327160495
o1_gr_e02,A,0,0.053815041587901624,0.019203904320987585,0.06498257482993193,0.14925300623582766,0.8951761358024689,0.0552591674999999,0.04105778999999988,0.07839574048442897,0.20248455648038044,0.7777472199999994,0.02028765311418679,0.04390299111111105,0.07993219321329635,0.16211943672839504,0.4401089783950617,0.055263233747260734,0.0669831910204081,0.10716311505190308,0.17754053979238751,0.45977293425605514,0.09662880340264648,0.09177880231404953,0.1212074360493827,0.15231255102040805,0.2840075982142857
o1_gr_e03,A,0,0.07381756295525488,0.06711502162629752,0.07871924615772233,0.15958112352071008,0.5171260770975055,0.04954963010204075,0.06478057466918705,0.09353806530612241,0.1808319799382716,0.489868910034602,0.020025601108033187,0.04958542881944438,0.07270839836734691,0.1388607859751643,0.24879033650416163,0.051871432617187456,0.05103920280612238,0.06954216441207069,0.1165624579591836,0.19225108323424486,0.08080114013840825,0.07996377623456788,0.06650106598161167,0.09729924740484426,0.15705073388203009
o1_gr_e04,A,0,0.04421499342585836,0.0660929390581718,0.07544079601281597,0.11784762091503276,1,0.0446667500000001,0.05818835950413232,0.07852100000000008,0.15025709375000004,0.4538785586419753,0.01756510040816331,0.049253197500000116,0.04652430938775515,0.09810997025580018,0.2602240487514864,0.03958377920000007,0.052284733882030254,0.04962068164062507,0.08436850361604215,0.23741112130177522,0.047597229364499685,0.07939018042366693,0.08655413221329443,0.07918571398891971,0.17189754974489804
