File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81
o1-01_gr_e01,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1748792978125,0.17861961925925918,0.1871705435,0.20880797368421056,0.23582868684210528,0.25,0.25,0.25,0.25,0.1136602294736842,0.07614349894736842,0.2033530836842105,0.19528753578947367,0.1662267742105263,0.1686977242105263,0.1436346547368421,0.15207097,0.11469185315789472,0.009608849130434772,0.010015170833333323,0.014675170499999992,0.021951992916666663,0.030181098333333333,0.03955828,0.04805869173913043,0.09664519421052631,0.06514888424242421,0.15638273842105263,0.04806724052631578,0.15537274263157896,0.18054627052631578,0.14800110894736843,0.11785330315789473,0.09227695631578947,0.11003500368421053,0.0689186268,0.1722845442105263,0.19231985157894735,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-01_gr_e02,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1691348576470588,0.1866310658333333,0.23098923052631576,0.24601316421052632,0.25,0.25,0.25,0.25,0.25,0.07513026999999999,0.09762384736842104,0.14959613631578947,0.2162543957894737,0.1860335694736842,0.13200872368421052,0.11304576736842105,0.12185597157894736,0.16189232999999997,0.010506696399999989,0.012319435833333317,0.018440053999999987,0.0261210908695652,0.03600593518518517,0.045206519285714286,0.053490644399999975,0.06129515952380952,0.07312884805555553,0.1356909115789474,0.06360563976190475,0.10343576555555554,0.2048295352631579,0.19597117421052632,0.18858687999999998,0.1725688489473684,0.21242808210526315,0.2406898547368421,0.1344925657142857,0.1491375654285714,0.2195298552631579,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-01_gr_e03,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2462631636842105,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.14248092750000005,0.17193453,0.19926030894736843,0.2416900910526316,0.25,0.25,0.25,0.25,0.25,0.04907679560000004,0.052155478157894765,0.08219451526315792,0.18516191631578946,0.21869459421052634,0.20123117052631578,0.1942236305263158,0.19635792789473686,0.2416842157894737,0.008788448500000028,0.01218259000000002,0.0170277822727273,0.02445462869565219,0.03558568633333336,0.045623376428571456,0.054991490952381,0.06333658000000003,0.07462442833333334,0.16256018000000003,0.04563853440000004,0.10623713526315794,0.18667439263157895,0.16394843736842107,0.14525264789473685,0.16896367736842105,0.13231041000000002,0.11938494789473687,0.20793083526315792,0.23139691684210528,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e04,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.24419443611111114,0.25,0.25,0.13261009599999998,0.12457551157894735,0.14211686444444444,0.15653018388888887,0.1455924961111111,0.14086605166666663,0.13396685888888887,0.15963737555555552,0.25,0.12292805944444443,0.08629945142857141,0.08540604272727272,0.11011135555555554,0.0938118352380952,0.10663964666666664,0.09716604055555551,0.10837127629629627,0.21031450333333332,0.22876387277777777,0.04196191473684208,0.041903535909090885,0.04493409749999998,0.04696543285714283,0.06211696388888886,0.054093048095238065,0.05814663370370368,0.10761751277777774,0.07515307277777776,0.050301501666666644,0.025490121666666643,0.10653579722222221,0.09530978833333331,0.07162306444444443,0.04765082777777775,0.029441231999999967,0.04799861166666665,0.16843661166666665,0.029677758333333318,0.03135170399999998,0.03220357315789472,0.04611428055555553,0.03746250999999998,0.039538324999999985,0.04692323374999998,0.11825618499999997,0.09295798277777775,0.07869077105263154,0.07784876636363636,0.08036445111111111,0.08262194947368418,0.08367140736842103,0.08244018999999998,0.08524129299999997,0.25,0.12303766842105261,0.12039560222222219,0.14555449666666664,0.1512798794444444,0.14093812499999997,0.12505830666666665,0.13590250444444443,0.18628526055555555,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e05,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20938550666666667,0.18655994222222225,0.19295008666666666,0.19331080333333336,0.1875397138888889,0.19254660944444446,0.19668546055555558,0.2324125333333333,0.25,0.17928891444444447,0.10119169954545457,0.1056430504166667,0.11013731409090911,0.10957512850000002,0.10924476681818182,0.10788818433333337,0.1222217590909091,0.25,0.16571790555555557,0.04329613260869567,0.045210963333333354,0.04849805818181819,0.05042952608695653,0.05082500739130438,0.050105295862068994,0.07414529194444447,0.25,0.022745357777777798,0.06331815722222224,0.011426450526315805,0.09230905722222223,0.10596412222222223,0.10690734833333333,0.019317537894736864,0.03341856250000001,0.12185757500000001,0.08591393277777779,0.03852247714285716,0.03537714263157896,0.05364651111111112,0.03905188250000003,0.037501734500000015,0.042315074000000015,0.053554768888888896,0.20387856000000001,0.10567370434782611,0.10446845173913047,0.10135885884615387,0.10061742772727275,0.0989303472727273,0.10066543428571433,0.09719595531250003,0.15354217722222221,0.25,0.2380811938888889,0.20935835444444445,0.19730937833333334,0.20778973555555558,0.18474661944444445,0.19928977166666667,0.22375386333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e06,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1810798088888889,0.15278500944444445,0.15126892555555557,0.15109247555555555,0.15079483166666666,0.1634126988888889,0.13994015944444446,0.1297649038888889,0.21388892277777777,0.15102853722222223,0.09088596363636364,0.09053127300000001,0.08983787190476192,0.09382767,0.0965069995,0.09149111363636366,0.08616779736842106,0.1683265638888889,0.2294013927777778,0.04508827952380954,0.03966822545454547,0.04271476100000001,0.04509752842105265,0.0478979757894737,0.045787367222222236,0.04408052277777778,0.1192492877777778,0.10217452333333335,0.08885944111111112,0.023305766666666675,0.09150007444444445,0.09302211722222223,0.08220555444444445,0.07016218166666667,0.03493529333333334,0.04118931227272729,0.22611631611111113,0.028265390000000012,0.05352057944444445,0.0405493427777778,0.041175686666666676,0.03175666500000002,0.032723326111111124,0.03964516200000003,0.05294873388888891,0.12236014666666668,0.07583823291666666,0.07452126,0.07872183869565219,0.08028868190476193,0.0803812957894737,0.07997612904761905,0.09287098666666668,0.25,0.13689827555555556,0.14004828833333333,0.12859194444444444,0.12611490250000001,0.13473637833333335,0.14197649333333331,0.1416434761111111,0.20688943666666665,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1_gr_e01,A,0,0.151947601,0.006289465454545471,0.08082024700000001,0.015568717272727284,0.03877888235294119,0.06931633166666668,0.09347240866666669,0.16408719200000002,0.25,0.10512099100000001,0.05491480400000002,0.15285141900000002,0.062017385000000015,0.039565239166666696,0.06925757333333336,0.121808615,0.162485777,0.25,0.10711453200000001,0.03224536500000001,0.10520961100000001,0.016811653846153865,0.039853223888888914,0.06807031533333335,0.08883077166666671,0.11724463700000001,0.25,0.15443271200000003,0.105513726,0.154220368,0.020769837000000013,0.04243275909090911,0.067823878,0.10350456400000001,0.175363811,0.25,0.0035082353846154,0.008090396363636378,0.013862434000000017,0.024149607500000017,0.044288232142857153,0.0646073525,0.08433267200000004,0.144993657,0.25,0.014244201666666678,0.03670682600000001,0.015849221818181835,0.026569704615384628,0.044755085714285735,0.06385926166666668,0.08215985000000003,0.09481408800000002,0.25,0.11082161900000001,0.016813099000000026,0.06911259100000003,0.05346783700000002,0.04640912400000002,0.10180470400000001,0.11454217200000001,0.142123545,0.25,0.044460654000000016,0.02531664615384617,0.05319931300000001,0.03719427166666669,0.04923516615384617,0.06533119666666666,0.07913168250000001,0.10761272300000002,0.25,0.027191297058823546,0.03496595944444446,0.04212881736842108,0.049781333043478274,0.058200258333333345,0.06670950619047622,0.07529432937500002,0.08719628842105263,0.25
o1_gr_e02,A,0,0.131289715,0.01300364181818179,0.031942603999999986,0.007441210833333313,0.024872094285714262,0.049366071249999983,0.06764658928571428,0.07977079399999998,0.25,0.08419858,0.153736452,0.02979048399999997,0.05538398999999998,0.02610823249999998,0.048512191999999975,0.13851067099999997,0.162566558,0.25,0.03633445999999998,0.03289624099999998,0.10422028099999998,0.03362355399999997,0.025253680624999976,0.046824191428571416,0.06237425599999998,0.07557838699999994,0.25,0.05905111299999999,0.105298216,0.15385046,0.060949151999999986,0.026542372999999973,0.08574723199999998,0.09860126599999999,0.111054057,0.25,0.0035732766666666436,0.006576895384615371,0.10699586399999998,0.01639546384615383,0.02946938714285712,0.04509174333333332,0.060699996666666645,0.0774435364285714,0.25,0.014167833636363612,0.036747390999999976,0.01569546545454543,0.02162006090909088,0.03245218909090906,0.04748193999999998,0.06172850090909088,0.07633502538461534,0.25,0.022642240909090883,0.022030352499999985,0.09281580399999997,0.04989816399999998,0.07854904599999998,0.0492881418181818,0.13837177299999998,0.09416603499999998,0.23353377000000003,0.03387496583333332,0.03412007090909089,0.03806880999999997,0.038416999230769217,0.06356763199999997,0.05425850499999998,0.06413227699999997,0.07465062249999997,0.184135086,0.04701738266666664,0.05127651999999997,0.05467213294117645,0.05790694826086954,0.05790155312499998,0.06238952099999999,0.06480719666666665,0.07364038599999996,0.134436375
o1_gr_e03,A,0,0.02462940749999998,0.04692221799999999,0.022647539999999987,0.031096105999999978,0.05490396166666666,0.07486288649999998,0.09090940476190473,0.1053491613333333,0.25,0.08920006399999998,0.157625468,0.11096594600000001,0.11301155199999999,0.04176118799999998,0.059187060999999985,0.07825931999999998,0.10524480333333332,0.25,0.01432488166666665,0.014264651999999984,0.01489044923076921,0.08822303599999999,0.030751620714285693,0.052018659999999994,0.0707019469230769,0.08343794999999998,0.25,0.01276921199999998,0.15423955299999997,0.10752519499999999,0.06199465899999999,0.04978107399999999,0.04648656818181817,0.06174854999999999,0.07848935272727274,0.25,0.004293341538461521,0.005083168999999971,0.03472024399999998,0.03764768099999999,0.02459982416666665,0.03921570999999998,0.05525084999999999,0.06977468466666666,0.182763016,0.014546976363636348,0.082489997,0.035232977999999984,0.037421850999999985,0.021904999166666647,0.033494756666666646,0.04725296428571429,0.05985414230769229,0.124259677,0.04366669999999999,0.06120165799999999,0.01433837899999998,0.10948593599999998,0.11179241499999999,0.029336802999999984,0.08361000599999999,0.06940720399999997,0.155147872,0.02650799299999997,0.06687897099999998,0.021142759999999983,0.06812939799999998,0.04467088299999998,0.02702736399999998,0.033785184166666656,0.04004765166666665,0.11128516699999999,0.05272456999999999,0.028462228333333322,0.03052369894736841,0.03211027545454543,0.030432207368421033,0.03240217666666665,0.0335920669230769,0.05766775799999998,0.06517020999999998
o1_gr_e04,A,0,0.017533436666666683,0.019992113000000023,0.027204025000000014,0.034393187333333367,0.04400206473684212,0.053671971176470615,0.06285205761904764,0.07147364800000003,0.25,0.06041870000000001,0.08441335600000002,0.06385185900000002,0.09126553600000001,0.0321520081818182,0.06473854100000001,0.058063776000000025,0.17852303500000002,0.25,0.03345976200000002,0.105499563,0.012959914166666683,0.015396943000000024,0.024282958461538478,0.03758051846153848,0.05235655833333336,0.06882368636363637,0.25,0.08083285600000001,0.152980108,0.105430745,0.13089190300000003,0.06509034800000002,0.05509592800000003,0.088403757,0.11951560000000001,0.10001713900000002,0.004556550769230783,0.00545192272727274,0.03385360900000002,0.106108799,0.014717864615384628,0.027981986923076945,0.04397576153846157,0.05571977750000003,0.14035949,0.03336374800000002,0.10489949000000001,0.03418188900000003,0.10641736700000001,0.035895559000000014,0.020609487857142877,0.03824394866666669,0.05604082923076925,0.12735516100000002,0.10626376300000002,0.15374495999999999,0.01438674545454547,0.11001718500000002,0.039450558000000024,0.041742225000000015,0.07686964900000001,0.0490737266666667,0.210779331,0.013834462727272744,0.014474100000000023,0.02257475333333335,0.049068315000000015,0.025139405454545474,0.08942599200000001,0.028523010714285733,0.04380378384615387,0.13372993100000002,0.06462372800000002,0.021009783125000014,0.031831110555555577,0.03947594400000003,0.03529773583333335,0.029483700000000022,0.031258119333333355,0.042659762666666684,0.15217908200000002
