File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49
o1-01_gr_e01,B,1,1,1,1,1,1,1,1,0.05087628668264462,0.13192156187407406,1.2010771994000002,1,1,1,1,0.019189300415426998,0.03453474887956103,0.0483285157513889,0.08104921266577776,0.057303578216326534,0.099271009136,0.050472024844628094,0.0017983899490138773,0.002354013659726352,0.002975643424988682,0.0053826223742878,0.006041509757936508,0.008218231102249996,0.008875083750000002,0.021900741180102035,0.03669799137093426,1,0.044667971192000014,0.024452893614876035,0.01918932037469135,0.017236638006249996,0.19113431958399996,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,1,1,0.055018969368999984,0.40077088248888887,1,1,1,1,1,0.01756865955997078,0.03793400697395832,0.09809094704861109,0.16415783215,0.03693152764793387,0.030671920747404838,0.07669542824489795,0.0018578440841535942,0.002727265448374999,0.003532088487723092,0.004858553028559026,0.007365603495062459,0.007780671855409688,0.00954855417608695,0.015820848529583632,0.008720128841794569,0.15178962362040818,1,0.19883511959999997,0.43953059800000005,1,0.04952035951296296,0.27177864756250003,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,1,1,0.029514794593388446,0.12866082807901236,1,1,1,1,1,0.008851370434542215,0.013180664535717526,0.03935900770939359,1,1,1,1,0.0020683765194444486,0.002741869269685906,0.0033621174452345714,0.0055334653246876895,0.006310868792336532,0.009457484180625003,0.00854932038085352,0.02874568127800455,0.019430720164172344,0.11285473753125,0.07328563628750005,0.03643647296049385,0.04111750548148149,0.03644692600972223,0.23998638121250004,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,0.06842285958024691,0.10047784408333331,0.10260289982222219,0.08902944100816321,0.12424963169999999,0.061964977855999984,1,0.016500827889777775,0.014738887797656247,0.019753324831839995,0.015510838754269967,0.025894171161249993,0.015858062662075293,0.06976635489687498,0.015173439552631573,0.006113957223301677,0.008445453322354338,0.007007545246052627,0.00994545586033163,0.007605413595923731,0.0139486777515775,0.0018758237640495812,0.002203532435839996,0.003559396473684205,0.003572147932812497,0.004709761950793646,0.0041858802706447144,0.005936552222773181,0.009747469280371897,0.004962180653714658,0.00758903146863905,0.005443213233235934,0.008325396999314125,0.005735799991187497,0.014188948312456744,0.013012894003360115,0.013488545314965393,0.02281931024624999,0.01554980659122222,0.019500663115277775,0.012242275549999997,0.19293520502499992,0.1942584252444444,0.08304641871428572,0.12111090891599996,0.08662771665510204,0.086183378622449,1,1
o1-04_gr_e05,B,1,1,1,1,1,1,1,1,0.02313003047424,0.018396960465036423,0.02147830728216736,0.017683885058677684,0.026297101968595048,0.020476345292219388,1,0.010728953944834713,0.005993322481936185,0.008746874300195313,0.006824042344841273,0.00944950296847035,0.005783178599527778,0.03827428229000001,0.0017363829109467484,0.002120314700640003,0.003186587778947372,0.00328137919251701,0.004722040244290661,0.0035449437502857164,0.009335189739250006,0.0068240404324845716,0.005692616279375003,0.007386494151643601,0.005474058491993803,0.0077336742635555605,0.005497320457160002,0.036005882802040826,0.021941986402400006,0.01853715442033333,0.02407701717826087,0.020849732296844996,0.02053498987824001,0.032872177192187504,1,1,1,1,1,1,1,1
o1-04_gr_e06,B,1,1,1,0.12186437033200001,0.150473903375,0.11796206870800002,0.14336107287500002,0.2845463883,0.02275644853975695,0.013961629111322132,0.01584492101337891,0.022101922817391303,0.01583947054794922,0.01808031739039781,0.0236376828775,0.019133345217333345,0.0071968151985307635,0.00590666929565735,0.01031469588461539,0.0069529843736842135,0.009282658027846368,0.010738286439236114,0.0032349832381944497,0.001763461968960001,0.002160223910059173,0.004510733289453127,0.003275286192960001,0.003756617217391306,0.004544117175529585,0.033389832370312504,0.004816752377387755,0.004705079676315791,0.006957624285185186,0.005459745011728397,0.005890875153959187,0.00966829102881945,0.014745330901757815,0.01258792316334694,0.011804562943918474,0.016414667998666668,0.01328081650080351,0.014421218928081637,1,1,0.19260048123333337,0.07585333335937502,0.6129822161000003,0.313233570125,1,1
o1_gr_e01,A,0,0.0014446332297520703,0.001632965000000003,0.0032521305123966986,0.005002754757024796,0.013050008570242215,0.019461150208000003,1,0.0023470878000000036,0.001689348000000004,0.0021985192525951582,0.0038175295360000023,0.008268288071005917,0.014365260936000004,1,0.00344026346666667,0.0027946190222222283,0.003036931537500003,0.006486988622222225,0.010334027448,0.018479006080000002,1,0.0006683727111111132,0.003499763911111117,0.0031032515211072693,0.006631934666666668,0.011050032355555557,0.014913062044444446,1,0.0019935065469387776,0.002405475022222226,0.00377034505927978,0.0057388127206611595,0.008867611457851244,0.012550133355102048,1,0.004861380400000003,0.004715616512000003,0.005456689760553638,0.007699760533333334,0.012624882862500006,0.017089488,1,0.0029421818074074095,0.003978568454320989,0.004439395872000003,0.00480081495363322,0.007680674385798819,0.006897960905142859,1
o1_gr_e02,A,0,0.004144939377777772,0.0022345768653061165,0.0011470605749999963,0.003583156506122446,0.008811257688888885,0.011357709127977835,1,0.0021637268999999968,0.0018078819999999948,0.001256174155102034,0.002615802722448977,0.007539122735999997,0.011340755288888884,1,0.002720653399999995,0.002799506133333328,0.0027662509999999947,0.0037597569119999963,0.009026372587499998,0.01097591646315789,1,0.0006866268631578915,0.0021871843438016503,0.002985471771428568,0.004254228503999997,0.009810291455999997,0.01154084826666666,0.08279083519999994,0.0021777954479999966,0.0028452892499999955,0.0033386391999999953,0.004643556571428568,0.007519721615999996,0.010124276399999998,0.04712963903999998,0.004302425537950135,0.00485639493333333,0.006807294367346935,0.006624995044982694,0.011402918155102037,0.012557830724999995,0.034398915722448985,0.0047986170074074035,0.005272003946938772,0.005913616039506171,0.004667389338122448,0.007774747499432891,0.00863016749489603,0.01844166009940828
o1_gr_e03,A,0,0.0050519813877550985,0.003959298734948094,0.0036495343933884267,0.004749020690624999,0.007966376228571426,0.010159127228571428,0.06034374560000001,0.0029832437249999962,0.0028780771764705857,0.0042556345562130135,0.004255390399999998,0.006950391920639998,0.011035808033057848,0.2537093376,0.003146296399999996,0.0022485104999999963,0.0030791020408163228,0.0053044975124999965,0.007945917447091413,0.010046938971428571,0.048736422144,0.0010360230749999972,0.0012455734499999959,0.0032758659999999958,0.004955409791999996,0.0077821788374999945,0.008647436277551017,0.022649376096000002,0.002776493812499998,0.0020189591999999978,0.0022078663999999973,0.003897066149999996,0.005045743477551017,0.00725121632653061,0.015648666799999995,0.004900897322448975,0.003008240999999997,0.005494986719999995,0.005534943709090903,0.005874844415999997,0.006087549580055397,0.013844562961983468,0.006005419493877548,0.0030645483456790113,0.0035636721499999976,0.003667630021928165,0.004390263248979591,0.0049769082719999976,0.0098237955408284
o1_gr_e04,A,0,0.0029078533868512136,0.003011674492561985,0.004260680620408167,0.004895984194560003,0.005559034045184307,0.009857769912000004,1,0.0025345717775147976,0.0019215322560000032,0.0034540739840000032,0.004350314592797786,0.005709234691871457,0.009739221008310253,1,0.0027191509333333408,0.002007304400000005,0.0031384340628099233,0.0035698704750000048,0.005899792647091416,0.011082856448000004,0.02650872579173553,0.0009106183680000022,0.001256826037500003,0.0033237585777777827,0.0029580322560000026,0.004704987168000004,0.008776498845674744,0.02193344449586778,0.002256246000000005,0.0017090120250000038,0.0026351831289940873,0.002146156711111114,0.0034057163305785156,0.006093769031404961,0.016623488277551023,0.0033742798809917396,0.002508514878892737,0.0039074575500000035,0.004693764695857992,0.0043546444800000045,0.0067661850020761275,0.015777058176000006,0.003314549760000005,0.0023101174400000013,0.005527608252631583,0.005783411709342564,0.0035838322570888492,0.004880959735537194,0.011435057211834326
