File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64
o1-01_gr_e01,B,1,1,1,1,1,1,1,1,1,0.29256587132499995,1,1,1,1,1,1,1,0.03563256310107015,0.03400645884391259,0.047146532414583345,0.06503372714238227,0.26108565423200003,1,1,1,0.005302660703846153,0.0038870491846153834,0.006372381095844874,0.008317548313043476,0.012114172129251699,0.012960171896153843,0.0162451383536,0.012949905436882713,0.005395989910999995,0.0049853408129032235,0.005663685921739129,0.00929258727197232,0.009485675045041319,0.010498875216959998,0.011894130587105622,0.011241936549999996,0.04716797025041551,0.07779319583750001,1,1,1,1,0.14022902659999997,0.09571539203199998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,1,1,1,0.18815460372222223,1,1,1,1,1,1,1,0.030458188383593748,0.04708223838229164,0.08473465833061224,1,1,1,1,1,0.0040717317015555535,0.003969557561950057,0.007576004045679009,0.009218687690082642,0.011655549301759993,0.013527536333607678,0.014468891265348595,0.014529109262890623,0.005951741731481478,0.004526974040082643,0.007880301376999996,0.013410472993827157,0.012162375308264457,0.015196811526859496,0.020693332271604935,0.0218224215625,0.020463077843389334,0.012503197375560594,0.12150618293125,0.21635047262400006,1,1,1,1,0.47113885974999975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,1,1,1,0.08577012589166666,1.1421804186000002,1,1,1,1,1,1,0.014006909889782844,0.027122144431487888,0.03616746630859375,0.6675366659,1,1,1,1,0.005056233838461546,0.004534517860573287,0.006356608979861119,0.01106247841111112,0.011303929511680003,0.016165952060869574,0.02020364953786849,0.019883821528819456,0.006200458680000011,0.005464753740895064,0.007260380450415522,0.00946001854200001,0.008622108700356726,0.013463287443478276,0.016156394821487608,0.013890175430444452,0.048895309053906266,0.17847694962500005,0.10626811638765433,0.5376567319500001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,0.6198113898999997,1,0.3098466999499999,0.20981368302222222,0.31561088289999983,0.20964860384444436,0.6217373363,1,0.01842358467533332,0.02354240574483471,0.026815700045999993,0.02873347171578947,0.02350246390972222,0.0307727571765432,0.022804879610399998,0.28358152507499995,0.018218611589473677,0.011667029814053253,0.013089180201279998,0.014224177703645825,0.012065514646666664,0.01729532171904762,0.013088572093444438,0.033568747923668624,0.007406555801388879,0.005211957848999996,0.005599075183900221,0.005607831578260865,0.005724342060798812,0.007099074480371899,0.00664736573470507,0.010922072175868049,0.0031501811182222143,0.004076511707266429,0.004049213915789468,0.00556028003529411,0.004535944017391299,0.007135276936718742,0.005729760443478255,0.010053878409749995,0.011111486288959997,0.011204726431249994,0.011994584760869566,0.011007767939839996,0.009849716488999995,0.013165030940495863,0.010091409903850152,0.07419477223749997,0.01603436810966796,0.022027558386956508,0.028597704051851847,0.02561263915525,0.02064143189104,0.0241877667770975,0.02656690875789473,1,1,1,0.6064095613000001,0.3080848033499999,0.15500591839375,1,1,1
o1-04_gr_e05,B,1,1,1,1,1,1,1,1,1,0.03388405987222223,0.03590836847854672,0.038424839680859385,0.0386342065515625,0.026571150978260877,0.03787419236835938,0.06742412899012344,1,0.02404945887333334,0.01233638575897741,0.014406165142899411,0.015241374799112433,0.012226800247107442,0.01479059042278107,0.011249496520701969,1,0.003946540930555558,0.005188746948752838,0.006083006105263162,0.006329008769614514,0.0048202474913198595,0.006663797442403633,0.005438688647293279,0.02512400468281251,0.0027766788812500034,0.004696234260207618,0.0036982020800453556,0.006041513852040822,0.003999271732812504,0.0061242306219135845,0.006233237878880004,0.014385970959171606,0.011899809370605474,0.011185213900936526,0.012591671234311227,0.011863344067063023,0.009582311221469391,0.01245884614183814,0.011401549302571168,0.2768708329000001,0.04200943094132654,0.04326404322602041,0.04606623501893491,0.04204514967142859,0.02774487820476191,0.05482068029700002,0.1917944104555556,1,1,1,1,1,1,1,1,1
o1-04_gr_e06,B,1,1,1,1,1,1,1,1,1,0.0338761990217993,0.02787224619875001,0.018796393910225927,0.027880362272,0.030787847164197524,0.025778776459410437,0.016827334861290327,0.07200476914489796,0.032596011300826455,0.01375835444305556,0.010402550265972949,0.01205645710076531,0.01440567374236111,0.011965806355867348,0.011098436102734841,0.025438848536686404,0.013237259751020419,0.005675603110526319,0.003579119685331635,0.006099543305000002,0.006413992326315792,0.006379097776750002,0.0050077876558400035,0.00909112553628118,0.005258985532653071,0.0043819024530612274,0.0025098646113600014,0.005201234867857146,0.0051504315022222235,0.005817261721093751,0.0036797486897959205,0.006953621979974492,0.022131511515555556,0.01069654747673611,0.0070832713277006205,0.010523130016272194,0.010989370030080001,0.011647725632800003,0.010567508307492198,0.03683783270000002,0.025870969411000002,0.022486747102066114,0.01592717491162109,0.02212012601163195,0.02427343225619835,0.02270395338368056,0.03184260818096886,1,1,1,1,1,1,1,1,1
o1_gr_e01,A,0,0.00286750886400001,0.0012387433959183704,0.0030607050666666713,0.00417321855778547,0.010118463075000006,0.015576326100000003,0.030055461696000006,1,0.0040359332571428645,0.0022211068444444493,0.002702773333333336,0.0038797417777777813,0.008560097152354574,0.01590995289600001,0.0244927602,1,0.005628812800000005,0.002689270400000005,0.002655069102958584,0.005368919552000004,0.008838414844444448,0.01574575552,0.0260049961785124,1,0.0015957187200000055,0.003109970488888894,0.0031045588828402396,0.0054739846125000016,0.008901877155555557,0.016541411657142863,0.02825536752,1,0.0016822385632653074,0.0034804167111111162,0.0035930719810650918,0.006132439936000003,0.012398763663905328,0.012583158044444449,0.027838617983999992,1,0.003987015800000003,0.003318854693877557,0.005212762338461544,0.007671243232653063,0.009442799701038064,0.017416780402366865,0.022697235600000008,1,0.007759657800000007,0.006994954944000004,0.006350449959183677,0.010526393335537195,0.012940737230769236,0.024471997155555553,0.026035191648,1,0.004056354428808868,0.004028140200960002,0.005066700134400004,0.005588558064197534,0.006387325016326532,0.009239450005293007,0.01083232878941399,1
o1_gr_e02,A,0,0.00616121839999999,0.0031429403999999935,0.001397586120710054,0.0025879691755102,0.005579798878670358,0.009915808177777773,0.01735456746035503,1,0.0041351566222222165,0.002735833599999993,0.0012624767999999931,0.00287819940355029,0.0059357210666666615,0.011578784383999997,0.03085984124081632,1,0.0039526830222222165,0.002781133866666661,0.0026304408888888826,0.003679635399999995,0.005030763047999996,0.013773828599999994,0.014240670975999991,1,0.0015681695206611497,0.001683792199999996,0.003640566399999997,0.003498533887499996,0.007416473727999996,0.013664181599999993,0.014183857023999998,1,0.002243891599999995,0.0029875605119999947,0.003052280571428567,0.005493363976331355,0.007191701662499996,0.012880111867455616,0.014467638527999996,0.12384626399999994,0.004421424799999993,0.0038310566693877507,0.005235600908875733,0.006503253528994078,0.008756479983673463,0.012430083820408158,0.019849586935537174,0.12288628800000004,0.005819611775999996,0.007466653999999995,0.009054921999999995,0.00842146900828402,0.012639747570247923,0.016196100813223136,0.023926693333333325,0.061443154800000004,0.006883171120221605,0.005528776004733726,0.006999817460869561,0.006893799899999997,0.00682733956608,0.009704793440443211,0.009510083761983467,0.03493403265306123
o1_gr_e03,A,0,0.0054385749585798785,0.00491176300408163,0.0044732399359999975,0.004046086453269916,0.007982759699999996,0.009806499210239999,0.01372308331239669,1,0.005928398933333329,0.005808017066666662,0.0057300223999999945,0.00588896625306122,0.008197671761937713,0.012588393374999994,0.01595561456055363,1,0.002782447640816323,0.0029323916307692263,0.00301762226938775,0.006513230591999994,0.007235855549999998,0.011905594879999998,0.012724215466666662,0.2469627072,0.0017106078674556165,0.0022960517759999916,0.003961649777777772,0.004007893036686387,0.006362503087499998,0.010935772310204081,0.013384785536,0.0397099488,0.002002898303999997,0.0018124477999999953,0.0037418204444444377,0.004121245799999997,0.0060366385469387725,0.00876681792,0.010925587799999996,0.023392374044444445,0.004494151999999997,0.003667689215999997,0.0034228373999999964,0.005285840355555548,0.005897578999999995,0.007942995036734691,0.011327622305325438,0.019468504533333326,0.007274250719999993,0.004876605699173549,0.005986229759999995,0.007812494099999991,0.006774310367999994,0.008663352039669418,0.008896149585798813,0.021356077518367343,0.007206970999999995,0.00431331010304709,0.0044040869999999975,0.005265490746020758,0.005407899524999996,0.005592489433910032,0.006322014562499995,0.010620020599999995
o1_gr_e04,A,0,0.0031207306500000034,0.003804805687500003,0.004131274896000003,0.005746052952000005,0.006734991608163269,0.007814000409917357,0.01344603379200001,1,0.0034831690560000045,0.003209055200000006,0.0047009792528925655,0.006027016400000002,0.0072603768320000026,0.01066938759183674,0.01759315120661158,1,0.002782782222222231,0.002707906844444451,0.0029728506000000054,0.00367082124497042,0.006069071020408168,0.009268628767346942,0.013484167327810655,0.060100624511999996,0.0014848837289256232,0.00183072817190083,0.003244738488888896,0.0037676226240000027,0.0053128849420118395,0.008212425502040823,0.010472894208000004,0.02521256441652893,0.0017297430000000056,0.0017208990000000045,0.003236527288888897,0.003424355911111117,0.003444407808000002,0.006085099283044988,0.01114208551836735,0.026603143776000007,0.0032051452444444486,0.0031384359111111177,0.003397338400000004,0.004195069646280999,0.0037008046000000035,0.005937353044897963,0.008600282775000006,0.02792876414693879,0.004361069866666672,0.0038258262743801714,0.005278935800000005,0.009182904750000003,0.006492508800000007,0.007403110848000008,0.009334374475739649,0.02653631840000001,0.00392295519053255,0.002951044304132233,0.005176984686980612,0.006734480625000006,0.006210817861224493,0.005236427925000003,0.005581783440000004,0.015172577568000004
