File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1-01_gr_e01,B,1,0.29256587132499995,1,1,1,0.005489432111096939,0.007935500457079588,0.007629647731730765,0.0072389919153990874,0.005231880717816775,0.003551029733874999,0.005048829213399728,0.005318514154589372,1,1,1,1
o1-01_gr_e02,B,1,0.18815460372222223,1,1,1,0.00493848851826087,0.008067374206310011,0.006341084430769228,0.007251804583320733,0.0033657876091220847,0.007951661408688963,0.006839796708780991,0.010688094377423815,0.47113885974999975,1,1,1
o1-01_gr_e03,B,1,0.07984070146153846,1,1,1,0.0033900783383547027,0.008128684546606648,0.006778100948350699,0.010055748467555558,0.004731254585002978,0.006865339645840003,0.0053155593471153895,0.007515108350961542,1,1,1,1
o1-04_gr_e04,B,1,0.010179979344321823,0.012513829160537194,0.012067484609959253,0.02041978723609694,0.0029710167166638536,0.002521632448155855,0.002631548550321393,0.003235613001029877,0.0023297521704008515,0.0023091946506094093,0.0023502916430745064,0.0029483162248356335,0.009279924406942147,0.012700452438786437,0.010419117909959998,0.02656690875789473
o1-04_gr_e05,B,1,0.01743343174604082,0.019264761558105477,0.015615997444970421,0.06742412899012344,0.0025688011173084207,0.0029570882646739144,0.002550794327682855,0.0036618241440864205,0.0023937660957008135,0.00267769215978261,0.002321436882701554,0.0036690124980324084,0.021318368541836736,0.021983598153360775,0.018436586178980228,0.1917944104555556
o1-04_gr_e06,B,1,0.015295193569612864,0.011228618153810915,0.014032677777646288,0.013642176239473686,0.0039146594940338625,0.0021569534743558385,0.0027226120757275697,0.002682335202931303,0.0034048179470833346,0.0018509619594059405,0.0025600138512269486,0.0023102004854736844,0.012036266078117915,0.009263590463073982,0.011732428336956523,0.03184260818096886
o1_gr_e01,A,0,0.0005650218866938789,0.0010430538446422224,0.00304127651570248,0.013496908343801652,0.0007196778934256068,0.0011027159401662053,0.002966335215337279,0.013542270497959186,0.0007647889659308632,0.0014451400526280995,0.0031832139927976347,0.012504677117355374,0.0013470460894901152,0.0016459990214876036,0.0026392471809345112,0.007652728277685951
o1_gr_e02,A,0,0.0009497974444444428,0.0005220585692307679,0.0019909039503673465,0.011112635303999998,0.0005815905751338475,0.0009137257860113408,0.002192497924964091,0.007106131999999996,0.0008721565624999986,0.001249730118903523,0.002514737161218835,0.00738216544,0.001660279355555555,0.0020063405111111097,0.0025848611834710733,0.005235714726530614
o1_gr_e03,A,0,0.001398752796444443,0.0013427504773446195,0.0024269612487804876,0.007398517377514793,0.0006238527321599989,0.0010590758880907358,0.0022314834807847343,0.0055067146379999985,0.0007186886344023313,0.0010303789714285697,0.0018386094513718999,0.003704413676414667,0.0014468946497041407,0.0014485898261157016,0.00162083277037037,0.0024729235124999987
o1_gr_e04,A,0,0.000885925293827161,0.0013574300807256243,0.002021005450000001,0.007624451034319531,0.0005287092840000013,0.0008719242545454558,0.001822711441983472,0.004746106085950414,0.0005729719510204095,0.0009139510386674617,0.0012574977731272306,0.003809119498777729,0.000961142647537191,0.001633319395438017,0.0015926906069137874,0.002616737976509789
