File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
o1-01_gr_e01,B,1,1,1,1,1,1,1,0.02387960025051653,0.03139552414089795,0.060898083480000004,0.3268989985625,1,1,0.003775286326367346,0.004793492490820311,0.010033928600163264,0.010289311254444442,0.010917717739577589,0.01001261704130435,0.004114351541015623,0.006607965959094229,0.005644802051028805,0.0068591021636718735,0.008363578951080244,0.008077860540885416,0.03610613470464,0.9200172592000002,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,1,0.021845578092258934,0.06292771244265928,0.6342539294000001,1,1,1,0.0035218068334234715,0.007634129590942292,0.007044984106172838,0.009076805231314879,0.010629742125484763,0.010863477671930771,0.005887844734902668,0.005557655899516909,0.01271747707181926,0.009814568824489793,0.013091646340740736,0.01568864549849108,0.017893998296296294,0.039202501203839994,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,1,0.014156201074174856,0.04019347710344828,0.26123312581600006,1,1,1,0.004364677714842978,0.004765665731416288,0.01512657246445313,0.009277929588281256,0.013689865246611184,0.014615096348632816,0.006720139293672845,0.006944691254347829,0.009002629718244176,0.007148955911419758,0.011370588019500598,0.01043156743589744,0.0767112444041667,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,0.04682575756804733,0.05438223458181816,0.0554157984504132,0.05103947660486109,0.036053277073702414,1,0.011027411004625001,0.008776057905598956,0.011865689801315787,0.011493867044249996,0.011138814413662131,0.020942923955555554,0.007551698826315783,0.0030864835826086936,0.004040965932302199,0.004699977435831687,0.004424713705658668,0.005547193508057944,0.0036179073928571392,0.002675495682749998,0.003769425229584771,0.003850047452854935,0.0037609768607376535,0.0053312515289473655,0.00971228550692266,0.008762862232851238,0.01027039287633136,0.009747011329988658,0.007433710845553718,0.09086031075624998,0.05215624289834711,0.04765124899861111,0.05808855274999998,0.04599354407692309,0.06322471382839506,1
o1-04_gr_e05,B,1,1,1,0.6777038389000003,0.16678985555000003,1,1,0.016048734670615242,0.010207691961079998,0.011471201735869567,0.011892961297675619,0.008703659844750002,0.13088835270625002,0.004099041306111116,0.0035130062272592604,0.004169440232612225,0.004536167016549488,0.0035098190082222236,0.008824734812109379,0.003384745900163268,0.002807823427506174,0.0042154881970679035,0.0038373827401022675,0.00319417644718935,0.00802732841097394,0.011834457181737064,0.0100499832151187,0.010852070828790125,0.01059082688478261,0.009296870200086807,1,1,1,1,1,1,1
o1-04_gr_e06,B,1,0.15757564500000001,0.06784472044938272,0.060281250067999996,0.06547858988395064,0.05188923120330579,0.09243054128055557,0.012836046334210535,0.010011028539979342,0.010069195835795458,0.011086743708625817,0.009434523810869566,0.016557583196800004,0.007723840076250003,0.0030281195478260884,0.004081578247403027,0.004086084063593101,0.004070064285250002,0.005201993670270273,0.004518460699000003,0.0026657590084876556,0.003082087851643599,0.0034631292167346963,0.003695064487428573,0.003827470827760001,0.009589788923742565,0.008308611468444447,0.007924089144867358,0.00938778214209711,0.008062917280349793,0.07693938941200001,0.07070896184843752,0.05215212065206611,0.054493430857024794,0.06086653072299998,0.10112020009444443,1
o1_gr_e01,A,0,0.0012261892408163297,0.001072800877562329,0.0023869088000000012,0.006075630706302024,0.009978227302040817,1,0.002550758200000004,0.001417165987500003,0.002263394294411417,0.005305143325619836,0.009764163881632655,1,0.0012802070250000027,0.001717285043767316,0.0028639230419753095,0.005691036352000001,0.010056712728994086,1,0.0012740413882797743,0.001869406928925622,0.0034766768793600016,0.006468233836686393,0.008759120703923904,0.30248904959999995,0.0030868029342560584,0.0030922183338842994,0.004389164600000002,0.007486817131190927,0.011483520326530609,0.057281054976000015,0.0024902850937500013,0.002892813885872578,0.0035932141980000018,0.004698525178698225,0.005677350527543131,0.069191784
o1_gr_e02,A,0,0.0028094098366863865,0.0010620132999999967,0.0012174797260799974,0.003543531820069202,0.006923606975999997,1,0.0021336628499999967,0.0013523503499999956,0.0018635943599999965,0.003600218953124998,0.008501847325519844,0.11506153679999996,0.0009388614530612212,0.001701905849999999,0.0021157355999999977,0.004374270617751477,0.007047501432098763,0.046461416831999995,0.0014009231603305755,0.0019319450775510175,0.002736686499999996,0.0049146901862399985,0.00762848077824,0.026234152888888883,0.003110300207183363,0.0032844499199999955,0.004068091680907369,0.006247070717355368,0.010752502755555554,0.019457617199999996,0.003999655181249997,0.003991788510153396,0.004162587337396119,0.004457132655955678,0.0068543433551020395,0.013043651377777774
o1_gr_e03,A,0,0.0032416796081632627,0.0026930331499999977,0.002669817419999999,0.004818072887999998,0.007112697775310441,0.028119838799999994,0.001970974472727271,0.0021178896979591804,0.003415546367999997,0.004614312543999999,0.008081792987654319,0.0317694375,0.0011161220429752037,0.002000184299999996,0.0022765128991735512,0.004041735134693877,0.006982887152662722,0.016447779183673475,0.0013277423909262742,0.0015750091555555524,0.002415497803878114,0.003570193981439998,0.005350389942857143,0.010297199867036009,0.002670925090909088,0.0022100783020408137,0.003881119356213012,0.0037034975999999985,0.005864551631999999,0.009118592022145326,0.0037276951537190063,0.002791569312,0.0027921951039999978,0.0031892298271604925,0.0035723591901234563,0.006204767111999996
o1_gr_e04,A,0,0.001886054906880002,0.0022181967383975046,0.003208449403125002,0.004102179396539794,0.004926063011634351,1,0.0017634902625000034,0.001817616848979594,0.002523104925619837,0.003940381065088759,0.006039197816326531,0.12381115679999999,0.0008824606560000018,0.0016044823125000046,0.0020713510222222244,0.003368398050000003,0.005899598350000001,0.01189521776326531,0.0010589919840000028,0.0014432347555555598,0.0019807191000000036,0.0023310002073600017,0.004432848061224491,0.011454689304000001,0.002148543872000003,0.002081562253061227,0.0031461921777777816,0.0027802135047091444,0.004269882750000004,0.010955483706122454,0.002000567992320002,0.002258783083102042,0.004094289745920003,0.003890867461224493,0.0030167339488033308,0.006829849338775515
