File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9
o1-01_gr_e01,B,1,0.22692321935587245,0.8590445399305557,1,0.02060706195934256,0.0355533054760666,0.039354009447099984,0.5809886863905325,1,1
o1-01_gr_e02,B,1,0.2724638686868687,1,1,0.024563514941690952,0.04085556715024417,0.05176537300411524,0.20727905877551017,1,1
o1-01_gr_e03,B,1,0.17779151264177695,1,1,0.02317884236302419,0.04231993062186127,0.052162049215792344,1,1,1
o1-04_gr_e04,B,1,0.09551312731186226,0.11121815263209485,0.13994847321817394,0.021182662389055314,0.02368537653333332,0.027562158241170753,0.0909575097520661,0.09816112703402362,0.14382201557093424
o1-04_gr_e05,B,1,0.14282146465379597,0.12841059977839336,0.1867501982421875,0.019654517918834553,0.02427028436375145,0.028298603330939445,0.12437136543209872,0.12265300627943483,0.21274302517361116
o1-04_gr_e06,B,1,0.11646579191135736,0.10464764062500002,0.11795664449896698,0.022691491467347495,0.02152377397414532,0.02417792543057461,0.09072617556118437,0.08752258449762186,0.15747649372781067
o2-01_gr_e01,B,1,1,1,1,0.04943566490000003,0.05737032064590548,0.12438003888888896,0.825362535,1,1
o2-01_gr_e02,B,1,1,1,1,0.04765837051039698,0.10219091199999998,0.13348852556480378,0.21446011224048453,1,1
o2-01_gr_e03,B,1,1,1,1,0.028629025716145833,0.06930801870748297,0.1561218159722222,1,1,1
o2-04_gr_e04,D,3,0.09798604881656799,0.07926265709237343,1,0.01999711860623721,0.06173659456335053,1,0.05845447873345935,0.07670951132744423,1
o2-04_gr_e05,D,3,0.12572285090491234,0.07437764347858422,1,0.025278701388888873,0.05748647462277093,1,0.05298311279999996,0.0742837356914993,1
o2-04_gr_e06,D,3,0.11321793823613899,0.07995417661506074,1,0.023127181203275175,0.05673580576177285,1,0.06676846691871456,0.06368564826316282,1
o2-07_gr_e07,B,1,0.13421706399596875,0.18460714097543604,0.23311656562499994,0.025871741975308647,0.04158893517561983,0.04758314355677991,0.10749077407847803,0.13403116581632651,0.1524132511542012
o2-07_gr_e08,B,1,0.15322099323602706,0.22658949756625213,0.1871416240655038,0.03046963413710392,0.03920702061640984,0.04186442285528775,0.1468362191358025,0.1615698943758574,0.16248297576530613
o2-07_gr_e09,B,1,0.2200922920880429,0.2845473432480667,0.19087951504132236,0.04248966911242605,0.0405384950617284,0.04308027428854858,0.2011336930612245,0.14660504991735537,0.14338531267321744
o2-10_gr_e10,B,1,0.08379187,0.11418138976912631,0.17342596052631576,0.02687962563775512,0.04084958298647245,0.0445314707266436,0.104429348,0.1166342157064472,0.17381423812500005
o2-10_gr_e11,A,0,0.023499905124653758,0.0586536946676406,0.25241538392857144,0.02179829960000001,0.06188909251638472,0.51722451171875,0.035817336111111125,0.084004063281095,0.414624648526077
o2-10_gr_e12,B,1,0.06626676179846935,0.10597921021947873,0.23560728666666658,0.019359432748537984,0.03687686450195311,0.04977561157226562,0.0628447067768595,0.10257928645833324,0.1500556168947055
o5-01_gr_e01,B,1,0.306557183125,0.425050171875,1,0.0280886934765625,0.047849007739334024,0.10017794375338018,0.8613386328125,0.37586611102994905,1
o5-01_gr_e02,B,1,0.49569262759924376,0.38244531772268137,1,0.03171118851081704,0.04165481481481478,0.08152814428710936,1,0.3135272466197944,1
o5-01_gr_e03,B,1,1,0.4954936172839506,1,0.02933704823701019,0.042569303035076646,0.08162906703397607,1,0.3146701806381827,1
o5-04_gr_e04,D,3,0.036468288252603016,0.10235526201460975,1,0.02214488397929557,0.09443210764850722,1,0.045175508609693917,0.19453484592013898,1
o5-04_gr_e05,D,3,0.025594536530585296,0.11283371947986368,1,0.019656121802498542,0.07367801492759371,1,0.04993280761316876,0.11346950290861328,1
o5-04_gr_e06,D,3,0.02954659102040819,0.19052054407713495,1,0.02449575268698062,0.10423110746173468,1,0.05258728991735539,0.13312624406637263,1
o5-07_gr_e07,B,1,0.11063464916251692,0.15508188578227244,0.2555866803840878,0.025467428459937547,0.050799033064206044,0.06356230334486736,0.10657005198487712,0.12013782864197527,0.12779435395597855
o5-07_gr_e08,B,1,0.14311619990548205,0.1479636285444234,0.15305798913535532,0.031082945123966928,0.04331207887517145,0.05221727055150882,0.06490781462585034,0.08453810999999999,0.07919959765624997
o5-07_gr_e09,B,1,0.14339076812499996,0.17011375805391188,0.24358827705112954,0.03247469489644966,0.05176599500192232,0.05798104671280271,0.1162263898750822,0.11009076690102756,0.1126597665406427
o5-10_gr_e10,A,0,0.08249729552549427,0.12258776,0.12059816649323621,0.026579338125,0.05168215631848063,0.07406854938775508,0.051100033179012336,0.08608928806584364,0.09008368846611177
o5-10_gr_e11,A,0,0.049775058864265864,0.11004267836734691,0.23387964940828404,0.023255688124999944,0.04775780989583328,0.08128789087880048,0.040094253772290714,0.04298292382812492,0.05964536408163256
o5-10_gr_e12,A,0,0.049842189750692587,0.10999122160664826,0.24561966326530618,0.02411437343852734,0.049456529079861165,0.08311121523668641,0.039171673008323506,0.04264091319857321,0.050764517045454614
