File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1-01_gr_e01,B,1,1,1,1,1,1,0.27108961111111113,0.48038143326758703,1,1,1,0.025206279218407592,0.030325186455780792,0.052190524023668625,0.0626532081397212,0.07532278556238187,0.4600384766666666,1,1,1,0.3944426820987654,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,0.2545124832451499,1,1,1,1,0.025368359999999986,0.03434594426721711,0.056941059441293816,0.07556167472057856,0.09298170857988161,0.14289234552154195,0.3625337245687091,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,0.11520073260770981,0.3511336735870819,1,1,1,0.02749827511695259,0.0328821968490305,0.05745143289224957,0.07788056153549389,0.08691527632361691,0.387097530612245,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,0.5144743343195265,0.5071979822485205,0.7602860802469136,0.5480127696,1,0.14910864264462806,0.11069959816326531,0.15247123471074375,0.13433599816345262,0.195415202,0.033109009002770015,0.03313834725765301,0.05778428999999995,0.047172297615627655,0.07347210776672931,0.12398581068658425,0.0990313659183673,0.12919001052295911,0.10388416504661765,0.21957172910927447,0.48231645857988154,0.5568862797731569,0.6877828337950136,0.575152382231405,1
o1-04_gr_e05,B,1,1,1,1,1,1,0.16141425392428446,0.1182419621855472,0.1552395078043705,0.1172583890541345,0.2815971943024106,0.028127232000000033,0.032087242228377985,0.05246458812500004,0.041889776941682375,0.09045131423611116,0.11763529068559557,0.10604679576284104,0.14773328953626638,0.09949845577854673,0.3681355238095239,1,1,1,1,1
o1-04_gr_e06,B,1,0.8722209609375,0.7128884099722992,0.6363894535147392,0.6792405263157896,0.7790685585937499,0.184549066998642,0.11151268994247174,0.11602800713734569,0.1423260855647892,0.1636882482638889,0.045641088842975255,0.027807879286694117,0.04076101215277779,0.052911568114217766,0.04941786252727636,0.15707645689296126,0.0938882073469388,0.09311323362732223,0.12220509977324265,0.17181030070308284,0.6528849778393351,0.48938874852071007,0.527777424,0.7939075086505191,1
o2-01_gr_e01,B,1,1,1,1,1,1,1,1,1,1,1,0.04787468934911247,0.0852295471938776,0.10059161352040824,0.11201682666666672,0.26984044888888903,0.2816830325520834,1,1,1,1,1,1,1,1,1
o2-01_gr_e02,B,1,1,1,1,1,1,1,1,1,1,1,0.046431252399999984,0.10650359666864959,0.10245289413265304,0.15896576239669422,0.23503339100346018,0.12730366944155388,0.32710486328124994,1,1,1,1,1,1,1,1
o2-01_gr_e03,B,1,1,1,1,1,1,1,1,1,1,1,0.0354499357142857,0.08851116479999999,0.10200987244897958,0.16160354752066114,0.3539590826446281,1,1,1,1,1,1,1,1,1,1
o2-04_gr_e04,D,3,1,0.20768236523009503,0.186507050219138,1,1,0.17353083612763662,0.11485205199999998,0.15496117244883145,1,1,0.023723830498866186,0.05479754752580988,0.1409646928260008,1,1,0.088011294,0.07750149312786338,0.1324704104901572,1,1,0.4841914948979591,0.18526607222222216,0.19628737019230774,1,1
