File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
o1-01_gr_can,A,0,0.09757898372781063,0.028961270144628074,0.017381636525877434,0.018298325443786956,0.03430766792861004,0.050464851192595216,0.13720826086956517,0.06970146877054566,0.037696137442732175,0.04476282525951555,0.05514931096408316,0.07180185473632812,0.05375302191380568,0.04894149298325032,0.05404988662131517,0.06632437315088754,0.09726628586685651,0.12030390975765301,0.07232332139577594,0.06106474105930284,0.0672279600591716,0.09048657183364837,0.11420054840454298,0.09575891037058308,0.13240791184573003,0.10183154370370365,0.10150750378071832,0.12023114737654315,0.14489545303210463,0.08561532855902777,0.5728051851851851,0.17421313520408163,0.12999459673469388,0.12649276903114184,0.14323893028095727,0.10392194217687073
o1-01_gr_e01,A,0,1,1,1,1,1,1,0.3993244189049587,0.525008764897959,1,1,1,1,0.06313187836734692,0.08015873730468748,0.16779144816326527,0.17206206111111108,0.18257053076216703,0.1674350675803403,0.06880186523437497,0.11050110299488677,0.094394683127572,0.11470070507812496,0.13985917978395057,0.13508127994791666,0.6037815167999999,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e02,A,0,1,1,1,1,1,1,0.36531067043911264,1,1,1,1,1,0.05889309085992427,0.12766102994886777,0.11780909876543207,0.15178604065743945,0.1777548850415512,0.1816635062195781,0.09845894205522857,0.09293738962402859,0.2126668406658739,0.16412322448979588,0.21892385185185176,0.2623519314128943,0.2992307407407407,0.6555602207999999,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e03,A,0,1,1,1,1,1,1,0.23672577047115143,0.6721317241379312,1,1,1,1,0.07298792165289261,0.07969340687987105,0.2529527167968751,0.1551493242187501,0.22892751248513687,0.24439960449218756,0.1123769112654322,0.11613196077504731,0.1505456474622772,0.11954775771604946,0.19014361236623076,0.17444092702169633,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,A,0,1,1,1,1,0.8250177820069202,1,0.25234350125,0.20082512369791658,0.2715260824099722,0.2630175524999999,0.25489277834467117,0.47924311111111106,0.1728077534626037,0.07062891493383738,0.09247061629982148,0.10755097107166332,0.10125202987777272,0.12693806654594839,0.08278964285714277,0.061224157499999945,0.08625687024221444,0.08810177237654314,0.08606354372397378,0.12199660249307472,0.22224909626825307,0.20052316322314045,0.23502043195266267,0.22304373752834458,0.17010779966942147,1,1,1,1,1,1,1
o1-04_gr_e05,A,0,1,1,1,1,1,1,0.36724793296602387,0.23358562839999997,0.262498895557656,0.27215014411157024,0.19916841750000003,1,0.09379957222222232,0.08038915851851854,0.09541053163872368,0.10380244889129264,0.08031622444444447,0.2019390117187501,0.0774541395918368,0.06425225234567905,0.09646426080246918,0.0878119620160702,0.07309328254437873,0.18369172565157757,0.27081137715645454,0.2299767326114119,0.24833114024691358,0.2423530179584121,0.21274302517361116,1,1,1,1,1,1,1
o1-04_gr_e06,A,0,1,1,1,1,1,1,0.29373103739612205,0.2290853212809918,0.23041638068181827,0.2537012290303391,0.21589299338374293,0.3788920640000001,0.17674691250000008,0.06929335349716449,0.0933999598948061,0.09350306781677575,0.09313648250000005,0.1190387567567568,0.10339727000000007,0.061001350308642004,0.07052832612456748,0.07924780816326536,0.08455525142857147,0.08758514480000003,0.21944597079502437,0.19012840888888893,0.1813292710495963,0.21482338997933886,0.18450611625514401,1,1,1,1,1,1,1
o2-01_gr_can,A,0,0.061949567107750535,0.023313043981481537,0.04514290759637193,0.06844388500000004,0.10132755918367353,0.13166673777315308,0.08519555017301043,0.055646002754821,0.09889740428061838,0.12723449222222227,0.17381710288065852,0.19877670710059184,0.09182159735349722,0.08350624777777783,0.08447807823800138,0.11052522717311909,0.17546456790123463,0.12585935317460317,0.14939762131519282,0.11335832031250004,0.10898828554431891,0.15148421972318338,0.19950405612244904,0.1503221082688876,0.4310839008264465,0.14938693441358028,0.20093604666666667,0.2946445691609978,0.2687723383742912,0.20320556956004765,0.7178282839506173,0.24964028257887522,0.1675087389875083,0.24718676960000008,0.27957955328798184,0.15632675918367356
o2-01_gr_e01,A,0,1,1,1,1,1,1,1,1,1,1,1,1,0.14199983471074396,0.15716772189349126,0.2342851250000002,0.1885572148437501,0.3383207160493829,0.8724226875000005,0.12405812434595262,0.1317132354570638,0.28478488888888914,0.22522919897959198,0.3948372000000003,0.6346035510204084,0.825362535,1,1,1,1,1,1,1,1,1,1,1
o2-01_gr_e02,A,0,1,1,1,1,1,1,1,1,1,1,1,1,0.11971272839506154,0.1594960299999999,0.1938405102040816,0.176988953125,0.37226524691358015,0.41976720987654326,0.0925526881377551,0.14908401209372638,0.39226795761245675,0.31454718181818175,0.47076446913580233,1,0.28166371928363193,0.8736536537396122,1,1,1,1,1,1,1,1,1,1
