File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
o1_gr_e01,A,0,0.043,0.037,0.083,0.211,0.346,1,0.089,0.049,0.079,0.184,0.339,1,0.044,0.06,0.099,0.198,0.349,1,0.044,0.065,0.121,0.225,0.304,1,0.107,0.107,0.152,0.26,0.399,1,0.086,0.1,0.125,0.163,0.197,1
o1_gr_e02,A,0,0.098,0.037,0.042,0.123,0.24,1,0.074,0.047,0.065,0.125,0.295,1,0.033,0.059,0.073,0.152,0.245,1,0.049,0.067,0.095,0.171,0.265,0.911,0.108,0.114,0.141,0.217,0.373,0.676,0.139,0.139,0.145,0.155,0.238,0.453
o1_gr_e03,A,0,0.113,0.094,0.093,0.167,0.247,0.976,0.068,0.074,0.119,0.16,0.281,1,0.039,0.069,0.079,0.14,0.242,0.571,0.046,0.055,0.084,0.124,0.186,0.358,0.093,0.077,0.135,0.129,0.204,0.317,0.129,0.097,0.097,0.111,0.124,0.215
o1_gr_e04,A,0,0.065,0.077,0.111,0.142,0.171,1,0.061,0.063,0.088,0.137,0.21,1,0.031,0.056,0.072,0.117,0.205,0.413,0.037,0.05,0.069,0.081,0.154,0.398,0.075,0.072,0.109,0.097,0.148,0.38,0.069,0.078,0.142,0.135,0.105,0.237
o1_gr_e05,A,0,0.079,0.069,0.089,0.14,0.209,1,0.062,0.059,0.073,0.126,0.205,0.671,0.029,0.047,0.059,0.117,0.173,0.462,0.044,0.068,0.066,0.085,0.164,0.486,0.09,0.088,0.082,0.095,0.159,0.896,0.13,0.118,0.125,0.09,0.094,0.431
o1_gr_e06,A,0,0.101,0.099,0.102,0.154,0.184,1,0.077,0.075,0.091,0.14,0.211,0.815,0.029,0.059,0.071,0.116,0.163,0.65,0.045,0.051,0.06,0.074,0.144,0.65,0.072,0.085,0.085,0.078,0.105,0.417,0.114,0.086,0.137,0.084,0.088,0.353
o1_gr_e07,A,0,0.035,0.078,0.145,0.222,0.262,0.83,0.057,0.083,0.133,0.21,0.3,0.757,0.063,0.1,0.134,0.233,0.301,1,0.073,0.121,0.123,0.259,0.38,1,0.094,0.115,0.18,0.267,0.487,1,0.067,0.106,0.125,0.224,0.478,1
o1_gr_e08,A,0,0.063,0.118,0.109,0.138,0.19,0.275,0.042,0.078,0.068,0.108,0.142,0.233,0.025,0.078,0.073,0.137,0.201,0.335,0.038,0.09,0.09,0.158,0.247,0.589,0.077,0.107,0.122,0.215,0.292,0.789,0.08,0.098,0.105,0.176,0.221,0.992
o1_gr_e09,A,0,0.087,0.085,0.101,0.165,0.142,0.245,0.067,0.066,0.066,0.128,0.121,0.199,0.032,0.057,0.069,0.11,0.156,0.366,0.045,0.071,0.082,0.143,0.217,0.43,0.079,0.077,0.121,0.21,0.291,1,0.085,0.078,0.101,0.177,0.236,1
o1_gr_e10,A,0,0.105,0.129,0.156,0.18,0.222,1,0.081,0.106,0.112,0.184,0.285,1,0.047,0.062,0.107,0.191,0.292,1,0.042,0.066,0.111,0.157,0.231,1,0.091,0.086,0.128,0.236,0.305,1,0.089,0.063,0.119,0.199,0.341,0.856
o1_gr_e11,A,0,0.094,0.075,0.109,0.187,0.248,1,0.084,0.082,0.131,0.178,0.408,1,0.042,0.069,0.105,0.173,0.775,1,0.054,0.077,0.113,0.218,0.575,1,0.078,0.099,0.151,0.263,0.626,1,0.089,0.096,0.132,0.267,0.453,1
o1_gr_e12,A,0,0.092,0.072,0.065,0.136,0.375,1,0.073,0.067,0.082,0.157,0.299,1,0.032,0.064,0.084,0.174,0.292,1,0.048,0.073,0.085,0.16,0.275,1,0.097,0.074,0.106,0.165,0.228,0.756,0.116,0.089,0.102,0.152,0.268,0.431
o2_gr_e01,C,2,1,1,0.769,1,1,1,0.247,0.219,0.179,0.245,1,1,0.074,0.082,0.103,0.165,0.395,1,0.224,0.153,0.178,0.135,0.2,0.443,1,1,0.515,0.271,0.283,0.225,1,1,1,1,1,0.708
o2_gr_e02,C,2,0.617,0.39,0.418,0.383,0.777,1,0.2,0.168,0.171,0.111,0.344,1,0.053,0.085,0.103,0.131,0.338,1,0.108,0.121,0.144,0.179,0.284,0.695,1,1,1,0.725,0.368,0.539,1,1,1,1,0.784,1
o2_gr_e03,C,2,1,1,0.563,0.591,1,1,0.199,0.205,0.167,0.21,1,1,0.074,0.091,0.109,0.197,0.383,1,0.108,0.137,0.218,0.164,0.237,0.396,1,1,0.594,0.443,0.345,0.331,1,1,1,1,1,1
o2_gr_e04,B,1,1,1,1,1,1,1,1,1,1,1,1,1,0.08,0.115,0.17,0.19,0.32,0.138,0.097,0.147,0.27,0.309,0.438,0.157,1,1,1,1,1,1,1,1,1,1,1,1
o2_gr_e05,X,3,1,1,1,1,1,1,1,1,1,1,1,1,0.064,0.108,0.19,0.281,0.259,0.23,0.082,0.101,0.208,0.572,0.722,0.27,0.209,0.341,1,1,1,1,1,1,1,1,1,1
o2_gr_e06,X,3,1,1,1,1,1,1,1,1,1,1,1,1,0.063,0.122,0.223,0.254,0.262,0.121,0.076,0.112,0.191,0.896,0.921,0.421,0.226,0.44,1,1,1,1,1,1,1,1,1,1
o2_gr_e07,B,1,1,1,1,1,1,1,1,1,1,0.451,0.357,0.217,0.055,0.164,0.208,0.203,0.234,0.139,0.075,0.125,0.294,0.354,0.3,0.184,1,1,1,1,0.697,0.521,1,1,1,1,1,1
o2_gr_e08,B,1,1,1,1,1,1,1,1,1,1,1,0.317,0.202,0.07,0.101,0.156,0.168,0.189,0.106,0.142,0.269,0.291,0.344,0.243,0.152,1,1,1,0.808,0.573,0.354,1,1,1,1,1,1
o2_gr_e09,B,1,1,1,1,1,1,1,1,1,1,1,0.424,0.196,0.071,0.082,0.174,0.177,0.207,0.133,0.101,0.2,0.286,0.365,0.321,0.155,1,1,1,0.849,0.496,0.461,1,1,1,1,1,1
o2_gr_e10,C,2,0.168,0.364,1,1,1,1,0.109,0.135,0.206,0.507,0.789,1,0.056,0.079,0.138,0.17,0.213,0.314,0.12,0.166,0.317,0.328,0.447,0.187,1,1,1,1,1,0.942,1,1,1,1,1,1
o2_gr_e11,C,2,0.262,0.598,1,1,1,1,0.12,0.127,0.374,0.589,1,1,0.057,0.072,0.115,0.235,0.267,0.263,0.096,0.113,0.315,0.306,0.459,0.166,1,1,1,1,1,1,1,1,1,1,1,1
o2_gr_e12,C,2,1,1,1,1,1,1,0.149,0.304,0.664,1,1,1,0.066,0.101,0.209,0.389,0.443,0.18,0.104,0.306,0.437,0.349,0.297,0.111,1,1,1,1,1,1,1,1,1,1,1,1
o3_gr_e01,B,1,1,1,1,1,1,1,0.448,0.412,0.505,0.737,0.477,0.431,0.107,0.092,0.159,0.197,0.168,0.143,0.114,0.092,0.132,0.212,0.169,0.131,0.278,0.295,0.356,0.514,0.336,0.366,1,1,1,1,1,1
o3_gr_e02,B,1,1,1,1,1,1,1,0.558,0.436,0.597,0.495,0.442,0.52,0.091,0.102,0.18,0.198,0.171,0.153,0.097,0.104,0.16,0.202,0.204,0.14,0.411,0.305,0.507,0.477,0.377,0.378,1,1,1,1,1,1
o3_gr_e03,B,1,1,1,1,1,1,1,0.279,0.465,0.476,0.731,0.444,0.438,0.078,0.103,0.145,0.184,0.185,0.183,0.129,0.101,0.133,0.232,0.168,0.119,0.503,0.357,0.39,0.506,0.352,0.373,1,1,1,1,1,1
o3_gr_e04,C,2,0.4,0.834,1,1,1,1,0.185,0.18,0.299,0.591,1,1,0.091,0.095,0.145,0.232,0.273,0.394,0.192,0.14,0.141,0.196,0.177,0.166,1,0.581,0.416,0.399,0.278,0.168,1,1,1,1,1,1
o3_gr_e05,B,1,0.99,1,1,1,1,1,0.186,0.21,0.285,0.36,0.373,0.39,0.071,0.097,0.143,0.208,0.207,0.218,0.115,0.118,0.19,0.189,0.169,0.127,0.652,0.491,0.496,1,0.935,0.663,1,1,1,1,1,1
o3_gr_e06,B,1,1,1,1,1,1,1,0.231,0.28,0.253,0.392,0.298,0.22,0.083,0.094,0.137,0.26,0.145,0.103,0.144,0.11,0.124,0.192,0.172,0.102,0.629,0.523,0.522,1,0.664,0.525,1,1,1,1,1,1
o3_gr_e07,C,2,1,1,1,1,1,1,0.12,0.219,0.325,0.344,0.371,0.989,0.048,0.085,0.122,0.159,0.261,0.248,0.119,0.111,0.149,0.135,0.184,0.134,0.572,0.405,0.703,0.411,0.326,0.168,1,1,1,1,1,1
