File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49
o1_gr_e01,A,0,0.05,0.057,0.113,0.174,0.453,0.676,1,0.081,0.059,0.076,0.133,0.287,0.499,1,0.119,0.097,0.105,0.225,0.359,0.642,1,0.023,0.122,0.108,0.23,0.384,0.518,1,0.069,0.084,0.131,0.199,0.308,0.436,1,0.169,0.164,0.189,0.267,0.438,0.593,1,0.102,0.138,0.154,0.167,0.267,0.24,1
o1_gr_e02,A,0,0.144,0.078,0.04,0.124,0.306,0.394,1,0.075,0.063,0.044,0.091,0.262,0.394,1,0.094,0.097,0.096,0.131,0.313,0.381,1,0.024,0.076,0.104,0.148,0.341,0.401,1,0.076,0.099,0.116,0.161,0.261,0.352,1,0.149,0.169,0.236,0.23,0.396,0.436,1,0.167,0.183,0.205,0.162,0.27,0.3,0.64
o1_gr_e03,A,0,0.175,0.137,0.127,0.165,0.277,0.353,1,0.104,0.1,0.148,0.148,0.241,0.383,1,0.109,0.078,0.107,0.184,0.276,0.349,1,0.036,0.043,0.114,0.172,0.27,0.3,0.786,0.096,0.07,0.077,0.135,0.175,0.252,0.543,0.17,0.104,0.191,0.192,0.204,0.211,0.481,0.209,0.106,0.124,0.127,0.152,0.173,0.341
o1_gr_e04,A,0,0.101,0.105,0.148,0.17,0.193,0.342,1,0.088,0.067,0.12,0.151,0.198,0.338,1,0.094,0.07,0.109,0.124,0.205,0.385,0.92,0.032,0.044,0.115,0.103,0.163,0.305,0.762,0.078,0.059,0.091,0.075,0.118,0.212,0.577,0.117,0.087,0.136,0.163,0.151,0.235,0.548,0.115,0.08,0.192,0.201,0.124,0.169,0.397
o1_gr_e05,A,0,0.099,0.113,0.135,0.146,0.247,0.387,1,0.071,0.086,0.081,0.116,0.21,0.255,1,0.074,0.086,0.105,0.1,0.25,0.274,0.937,0.023,0.058,0.115,0.107,0.182,0.303,0.743,0.069,0.09,0.084,0.067,0.14,0.19,1,0.123,0.165,0.139,0.105,0.184,0.235,1,0.151,0.183,0.214,0.13,0.118,0.132,0.894
o1_gr_e06,A,0,0.154,0.131,0.143,0.149,0.252,0.313,1,0.131,0.083,0.154,0.145,0.218,0.253,1,0.102,0.082,0.099,0.126,0.215,0.271,1,0.027,0.043,0.117,0.102,0.177,0.26,1,0.081,0.065,0.086,0.078,0.089,0.181,1,0.144,0.094,0.151,0.123,0.088,0.149,0.665,0.174,0.106,0.143,0.146,0.126,0.111,0.813
o1_gr_e07,A,0,0.054,0.074,0.198,0.312,0.374,0.426,1,0.083,0.069,0.118,0.232,0.321,0.382,1,0.122,0.151,0.135,0.284,0.375,0.551,1,0.066,0.185,0.131,0.271,0.392,0.478,1,0.12,0.108,0.134,0.234,0.392,0.597,1,0.151,0.154,0.191,0.314,0.515,0.929,1,0.084,0.122,0.138,0.207,0.31,1,1
o1_gr_e08,A,0,0.132,0.175,0.13,0.284,0.248,0.341,0.538,0.051,0.074,0.082,0.113,0.159,0.174,0.293,0.081,0.081,0.098,0.14,0.199,0.259,0.459,0.023,0.069,0.092,0.174,0.246,0.342,0.647,0.088,0.091,0.098,0.174,0.234,0.334,1,0.112,0.145,0.149,0.247,0.42,0.444,1,0.114,0.114,0.112,0.176,0.256,0.284,1
o1_gr_e09,A,0,0.124,0.146,0.141,0.223,0.298,0.256,0.361,0.075,0.093,0.112,0.079,0.161,0.16,0.218,0.077,0.091,0.115,0.108,0.182,0.241,0.36,0.027,0.075,0.098,0.131,0.222,0.286,0.669,0.075,0.098,0.095,0.153,0.263,0.313,0.86,0.104,0.111,0.157,0.229,0.351,0.433,1,0.095,0.107,0.117,0.163,0.276,0.326,1
o1_gr_e10,A,0,0.159,0.175,0.202,0.241,0.294,0.417,1,0.108,0.144,0.143,0.197,0.248,0.486,1,0.108,0.108,0.121,0.187,0.29,0.506,1,0.03,0.129,0.116,0.201,0.346,0.51,1,0.084,0.094,0.085,0.162,0.244,0.317,1,0.114,0.123,0.143,0.275,0.353,0.46,1,0.115,0.083,0.117,0.221,0.369,0.431,1
