File,Class_GT,Class_GT_n,M1,M2,M3,M4
o1-01_gr_e01,B,1,0.16632850955752207,0.19013074870206492,0.18018558100294987,0.1824465571681416
o1-01_gr_e02,B,1,0.1681068357522124,0.18784774454277287,0.14615017451327433,0.20367323463126843
o1-01_gr_e03,B,1,0.139834505840708,0.1991641929498525,0.18099841333333333,0.19041797410029498
o1-04_gr_e04,B,1,0.07906057850187262,0.08286474138059703,0.07101748540229882,0.08543722042307691
o1-04_gr_e05,B,1,0.08763363707692311,0.09098974611538461,0.0802034012692308,0.10402880753846154
o1-04_gr_e06,B,1,0.08248146496153846,0.0780944902307693,0.07262286623076925,0.08327463684615385
o1_gr_e01,A,0,0.015589621731843603,0.07639928902298854,0.03021402082304529,0.07402882920634923
o1_gr_e02,A,0,0.01101920908571427,0.054756532346368667,0.034761476775510176,0.06287355061538458
o1_gr_e03,A,0,0.02113501221153844,0.06989196355855852,0.0207588862121212,0.04113699539215684
o1_gr_e04,A,0,0.018147074278606994,0.053463734923857864,0.018702003989637322,0.03891523931034485
o1_gr_e05,A,0,0.015269923743589722,0.060720136877828006,0.023799901764705842,0.048878488095238086
o1_gr_e06,A,0,0.021441059220183474,0.07393737799242421,0.017789936229508193,0.039767388685445985
o1_gr_e07,A,0,0.021536258253968227,0.07622384376884418,0.03428823912863068,0.09428106182857149
o1_gr_e08,A,0,0.050584529408284014,0.038514931270718235,0.028528081557377048,0.07273855730941703
o1_gr_e09,A,0,0.027660866568047324,0.03511581027624307,0.027604961012145726,0.07016007426008966
o1_gr_e10,A,0,0.026493337798165147,0.07473070567708336,0.021898133743842387,0.07006610719576725
o1_gr_e11,A,0,0.023016129403669747,0.08832102935960594,0.03267982243027889,0.10319641661016953
o1_gr_e12,A,0,0.01591879251256282,0.07260283146596859,0.022863932465116286,0.06493624119617224
o2-01_gr_e01,B,1,0.2429275052988048,0.2512204537051793,0.19489346270916336,0.2499890126294821
o2-01_gr_e02,B,1,0.24572267227091638,0.24643282075697212,0.126178684940239,0.2588912123505976
o2-01_gr_e03,B,1,0.22740995143426296,0.2682322529880478,0.21871812346613545,0.2438879036653387
o2-04_gr_e04,D,3,0.072517534245614,0.22577266543589744,0.058115698063492045,0.24308073343589745
o2-04_gr_e05,D,3,0.0675864796086956,0.19413677358974366,0.053227741115107925,0.19363094333333333
o2-04_gr_e06,D,3,0.06242252801843316,0.194890650974359,0.05321982666666664,0.1572737692307692
o2-07_gr_e07,B,1,0.061752454675324676,0.06788353048275864,0.04791027083916084,0.06660118462962963
o2-07_gr_e08,B,1,0.05806540659863946,0.07068674012499997,0.05796177179104478,0.06802177076470585
o2-07_gr_e09,B,1,0.07579021279069768,0.07835520912790699,0.06806443697674419,0.07054741445054948
o2-10_gr_e10,B,1,0.03436197732142858,0.049510751512605054,0.04137823671875001,0.052910702113821144
o2-10_gr_e11,A,0,0.02012491626086957,0.06943609615384615,0.029070817027027025,0.08475106250000003
o2-10_gr_e12,B,1,0.03238015736842102,0.05125888019230769,0.029734586307692292,0.047991843846153834
o2_gr_e01,C,2,0.053932484977578486,0.12266171317365274,0.15264205267080744,0.08868119214876027
o2_gr_e02,C,2,0.035799804534161504,0.08742941754999999,0.17056345155279506,0.10507110938888893
o2_gr_e03,C,2,0.05196178797413793,0.14145006670807456,0.165075409068323,0.10723893391304354
o2_gr_e04,B,1,0.18795211608695656,0.1838604243478261,0.20221945677018635,0.16662327664596274
o2_gr_e05,B,1,0.19963076105590064,0.19401400236024846,0.06615641391534392,0.21142083937888198
o2_gr_e06,B,1,0.20371904279503106,0.176100058757764,0.06763440680628273,0.23446749248447205
o2_gr_e07,B,1,0.20501283236024848,0.08504290551219515,0.17533701664596274,0.10934185060975611
o2_gr_e08,B,1,0.20073611186335405,0.07310876618090453,0.17335562459627332,0.09800295230769228
o2_gr_e09,B,1,0.20320171440993787,0.07602630157303372,0.16892396260869566,0.10465695931428563
o2_gr_e10,C,2,0.05559792212355218,0.11071781275280897,0.22689987677018636,0.15550358018633542
o2_gr_e11,C,2,0.05745012008298754,0.1276333276397516,0.21824562552795035,0.15309894186335402
o2_gr_e12,C,2,0.06412199330049263,0.1852126495031056,0.224763520310559,0.12306430509316771
