File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64
o1-01_gr_e01,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24250982551724137,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.17280005517241379,0.17628766290322578,0.1996967055172414,0.22158445103448274,0.2445343175862069,0.25,0.25,0.25,0.04653211068965517,0.0410139848275862,0.09947197310344827,0.0770959696551724,0.09977136379310345,0.07638147965517239,0.09302970517241378,0.07795929694444444,0.09003226827586205,0.025843739999999994,0.06900063344827585,0.11893413517241379,0.08681851413793104,0.07232036103448275,0.06724034827586206,0.06391736499999998,0.1843941717241379,0.2111476196551724,0.25,0.25,0.25,0.25,0.23141541482758618,0.2206947572413793,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-01_gr_e02,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.23733459655172415,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.16298696125,0.199483158275862,0.22507780551724138,0.25,0.25,0.25,0.25,0.25,0.020426747666666654,0.01925036275862068,0.10898180896551724,0.08607337586206897,0.07648897655172411,0.07410664275862068,0.07500595806451613,0.07774774187499998,0.10594720517241378,0.033308839090909086,0.09576242965517241,0.1198823275862069,0.09428894965517241,0.1027577948275862,0.13348886896551723,0.127920474137931,0.12661101675675673,0.13172264793650793,0.22587588344827586,0.2380853524137931,0.25,0.25,0.25,0.25,0.2436256224137931,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-01_gr_e03,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.21777129586206898,0.2479655196551724,0.25,0.25,0.25,0.25,0.25,0.25,0.1241415090566038,0.15420617235294118,0.19353828125,0.2481556144827586,0.25,0.25,0.25,0.25,0.045571526206896584,0.03260606488372096,0.06421639241379312,0.11549557724137932,0.0752217503448276,0.10103672379310348,0.12034257551724141,0.10914589551724141,0.1287343051724138,0.03289818305555557,0.10132047827586209,0.09940610896551727,0.041812901724137964,0.09279252137931039,0.1054359075862069,0.06968315433333337,0.18424748655172418,0.23198380344827585,0.22204888379310345,0.24515988310344827,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e04,B,1,0.24508333045454547,0.25,0.24016420636363636,0.23555048,0.24040403090909088,0.23553502636363638,0.24510336318181816,0.25,0.12647769799999992,0.11852012045454545,0.13429665090909088,0.1419833918181818,0.12907531666666666,0.1491613618181818,0.130462698,0.23907141772727272,0.10250071545454542,0.06941482269230768,0.0748808936,0.07811905374999996,0.08282961999999998,0.09069832409090907,0.08985289766666664,0.16128165590909088,0.12473001909090908,0.04441213999999998,0.037046933181818155,0.029514903043478237,0.03405787038461536,0.03573904772727271,0.04107068074074071,0.059983920416666635,0.08691793999999999,0.06907230999999997,0.049295467272727246,0.07353256636363635,0.023873389565217364,0.08718151545454543,0.03015663391304345,0.06455743045454544,0.06356685519999998,0.06153625499999998,0.06312939347826087,0.06297350079999997,0.06761819099999997,0.06627704363636361,0.07158666064516127,0.21689324272727273,0.11741413718749993,0.1159345178260869,0.14183124727272725,0.12929119681818182,0.11808599479999998,0.1223143868181818,0.13384807636363633,0.25,0.25,0.25,0.24494393136363637,0.2400909009090909,0.2303421540909091,0.25,0.25,0.25
o1-04_gr_e05,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.15964671727272728,0.16475991772727275,0.17049884500000004,0.17105634363636366,0.13984816304347827,0.16903259045454547,0.20453353909090907,0.25,0.1358292931818182,0.0818661755172414,0.08571173769230771,0.09068094846153849,0.09233052818181821,0.08799893615384617,0.10554447536585371,0.25,0.021674366666666684,0.035164732727272746,0.056932236363636375,0.040395182727272744,0.03198791241379312,0.04193087863636366,0.05102659829268294,0.175815855,0.015249495000000021,0.07093521636363638,0.0283275131818182,0.10322588636363637,0.02196396375000002,0.066093725,0.03565925560000002,0.12756115136363635,0.08713819218750005,0.07934591096774195,0.08067890035714287,0.07872699724137934,0.07674619971428574,0.07697685259259263,0.08609865606060609,0.241516235,0.17655344772727274,0.17911121772727273,0.18325040272727275,0.17662626727272732,0.13863107227272728,0.193385355,0.2338636331818182,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e06,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.15865114954545453,0.13869251590909093,0.12473579482758625,0.13872628363636363,0.14921221636363635,0.12961244454545456,0.11937011000000003,0.20715346045454544,0.1660247281818182,0.07556075666666669,0.07379383483870969,0.07724961071428572,0.07911582833333333,0.07666878214285715,0.07365094896551726,0.14699048681818183,0.17720122454545456,0.05540246227272728,0.02293257464285716,0.04810502727272728,0.05817507,0.04926814136363637,0.028648670800000015,0.053065179545454554,0.17313491045454546,0.09984244727272729,0.01435849320000001,0.10151281499999999,0.0915992,0.08367192636363638,0.023577337142857153,0.044554099642857156,0.13134065,0.05874534083333333,0.05835189194444447,0.06260901153846156,0.06286824960000001,0.06663458600000001,0.0749640177419355,0.18361370181818185,0.13036600545454546,0.11320559181818181,0.11662919843749998,0.12148352958333335,0.12220034545454546,0.12468990416666668,0.15253810863636363,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1_gr_e01,A,0,0.15576089,0.006021669285714301,0.08354479461538464,0.024633581764705897,0.05621368375000003,0.08653514500000002,0.1379686476923077,0.25,0.12066668615384615,0.08172835615384616,0.08277042307692307,0.024248386111111134,0.05647286315789476,0.08286433800000002,0.11343369307692308,0.25,0.14002770461538463,0.08274121000000001,0.011984686923076941,0.027963122666666684,0.0552400927777778,0.08200914333333334,0.12250546307692309,0.25,0.06195437692307693,0.08365137846153847,0.01401363384615386,0.03041102562500001,0.055636732222222235,0.08040964000000003,0.13316070384615386,0.25,0.008177548571428578,0.08445282461538463,0.016218727692307706,0.03193979133333335,0.05596664153846155,0.0786447377777778,0.13204759076923075,0.25,0.034565445384615395,0.016133321428571455,0.023529830000000022,0.037290765714285724,0.05573874823529413,0.07861741153846155,0.10652782923076926,0.25,0.10941821846153846,0.07637541384615386,0.030870242857142877,0.07248113230769232,0.058413050000000015,0.12986730153846154,0.12723074692307693,0.25,0.02676067157894739,0.03496649480000001,0.04398177200000003,0.05239273185185188,0.062098993214285726,0.0737872743478261,0.08650818130434783,0.25
o1_gr_e02,A,0,0.14053963307692305,0.03131900153846152,0.006308548461538439,0.012580405714285694,0.03681117315789473,0.06197380111111109,0.07833658923076922,0.25,0.08586932923076922,0.08284194769230768,0.024086449230769205,0.012991872307692285,0.037098256666666635,0.060306168666666646,0.1557727623076923,0.25,0.08547455461538461,0.08293995307692306,0.0826139346153846,0.03338321307692305,0.034935854499999974,0.07220703307692306,0.07417016133333329,0.25,0.04352960769230767,0.025706893076923063,0.0847993023076923,0.01943629937499998,0.03862746733333332,0.07178531384615382,0.07387425533333332,0.25,0.02786112153846152,0.06567190307692307,0.014837474999999977,0.02479643461538459,0.03995389812499998,0.05813939384615382,0.07535228399999998,0.22476990000000002,0.03623624923076921,0.018623192142857122,0.02363292076923074,0.029354963846153822,0.042566222142857116,0.06042401857142855,0.10261217999999996,0.22466733846153847,0.03031047799999998,0.04794866923076921,0.054057392307692284,0.03801357538461537,0.07931114999999997,0.09080470615384614,0.1286875576923077,0.19933468153846154,0.04540980947368419,0.04991256115384614,0.05590131999999996,0.05744833249999998,0.059265100399999986,0.06402467894736841,0.07264647318181815,0.16110490384615386
o1_gr_e03,A,0,0.02454912307692306,0.023876625714285702,0.02329812466666665,0.04074184275862068,0.06652299749999997,0.08512586119999999,0.1048291086363636,0.25,0.08974893999999999,0.08948849846153845,0.08931975999999998,0.028626919285714262,0.04838903470588234,0.06993551874999997,0.0941824470588235,0.25,0.013525787142857126,0.013236489999999981,0.01466899714285712,0.07508875692307691,0.04019919749999999,0.06200830666666665,0.07952634666666665,0.23736545692307692,0.007721493846153824,0.0638249246153846,0.08549395384615383,0.018091183846153828,0.03534723937499999,0.053160004285714275,0.06971242466666666,0.17279802769230768,0.010431761999999985,0.026201722307692292,0.08501836153846151,0.035081714615384604,0.029344770714285696,0.045660509999999994,0.060697709999999974,0.12753157846153845,0.03651596923076922,0.06748848615384614,0.032395528461538446,0.08835878923076922,0.041913765384615366,0.03861178142857142,0.05113162846153844,0.11904243769230767,0.07712139615384614,0.05422193615384614,0.07368116923076921,0.10950853692307691,0.07578608538461537,0.06646008538461537,0.04015623076923076,0.14333461,0.04694988846153844,0.028455865263157885,0.03058393749999998,0.03108102176470586,0.030043886249999978,0.03301122235294116,0.035122303124999976,0.0600770023076923
o1_gr_e04,A,0,0.017337392500000017,0.021137809375000018,0.02868940900000002,0.03990314550000003,0.049109313809523845,0.059690280909090926,0.07003142600000005,0.25,0.06699564384615386,0.031573289230769255,0.05365434000000001,0.042411601538461546,0.03781446266666668,0.0518650785714286,0.09531974615384618,0.25,0.08294351923076926,0.08278152923076923,0.03066481000000002,0.016569679230769255,0.029502428571428596,0.0450558342857143,0.06086603307692309,0.19397744692307692,0.04326044153846154,0.04437815461538463,0.08394294384615386,0.06775540230769231,0.023981772307692332,0.039921512857142884,0.05454632400000003,0.11994445230769232,0.025883626923076945,0.025849611538461555,0.08392517923076924,0.08433153923076925,0.01793962400000001,0.03591898882352944,0.05416291571428573,0.1287477130769231,0.0838572853846154,0.08371296230769233,0.0322974553846154,0.05201932230769234,0.03346463307692309,0.02886213285714288,0.047779348750000034,0.15193668384615386,0.08635808384615386,0.050825987692307714,0.039534368461538474,0.11185111923076924,0.09096937000000002,0.07746557384615385,0.04213432923076925,0.1601310753846154,0.01770778384615387,0.02254269954545456,0.03415371842105265,0.03741378125000003,0.030191475714285734,0.029091266250000018,0.038762385000000024,0.09821735461538462
