File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100
o1-01_gr_e01,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8276203925619834,1,1,1,1,1,1,1,1,1,0.939125124260355,1,1,1,1,1,1,1,1,1,0.08274746874999998,0.09922814749999995,0.08786608749999997,0.1729871538461538,0.17462975623268692,0.2767050533333334,0.2339044763705104,0.3575332265624999,0.26679456790123457,0.2939190795610424,0.09023394499999993,0.12673270370370363,0.09857982749999997,0.16488044387755096,0.18235667555555551,0.21162005078124999,0.1773011417769376,0.28360689965397934,0.36352765777777774,0.2778413705103969,1,0.7401311038062284,1,1,1,1,1,1,0.67656096,0.9397395781249998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7424815989583332,1,1,1,1,1,1,1,1,1,0.6119876539792386,1,1,1,1,1,1,1,1,1,0.07957894749999996,0.09040944499999995,0.09506723809523807,0.2018066944444443,0.17334377499999998,0.25895724382716045,0.24289009895833322,0.3260079925,0.29897507118055555,0.35363127272727274,0.108030551111111,0.12598698499999994,0.10486399107142853,0.20716216666666654,0.22256420444444433,0.2647647695312499,0.28769003395061726,0.3757725156249999,0.40342401562499985,0.46506636718750005,0.8255329704142009,0.25134009072978303,0.4372433291015626,1,1,1,1,1,1,1,0.8436238269896192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5568426262755104,0.7991585475206611,1,1,1,1,1,1,1,1,0.33762010240000007,0.2619090633333334,0.7212741950113382,0.8238561701388888,1,1,1,1,1,1,0.08994500444444464,0.09518307750000013,0.09929089440000011,0.16621037333333352,0.25121421428571444,0.24411253185595577,0.27691234920634933,0.4666469591836736,0.38054601108033265,0.40645814250000023,0.11866361805555575,0.12010334750000014,0.1104473005671079,0.1896260591715978,0.23905101020408182,0.18452409917355386,0.25249755401662066,0.30555575308641986,0.29624993197278926,0.3177928326446282,1,0.597588255102041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,1,1,1,1,1,1,1,1,1,1,0.9796199438775509,1,1,0.8831962755555555,1,1,1,1,1,1,0.8807038333333331,0.4982800387811632,0.5257526635802469,0.6057562352941175,0.8887673402777774,0.8226980650887573,0.7221033066666664,0.640113730103806,0.5645648412698411,1,1,0.32488766435986144,0.3192320276816607,0.32334123456790115,0.48703814201183404,0.387188820069204,0.38872060493827143,0.4365469531249998,0.3720638684807256,1,0.20784455999999962,0.15012054166666647,0.12240960937499985,0.17192261224489777,0.23318084297520641,0.24269083471074362,0.17411649382716032,0.21771297777777765,0.210662434903047,0.37493000390624986,0.08493088888888857,0.09803149305555534,0.10930792361111086,0.11810114285714268,0.26708824489795885,0.18005840495867745,0.18191400694444426,0.16638768877550997,0.2204891199999998,0.4276730661157023,0.6623970624999997,0.2440025617283949,0.2327866024999999,0.2763453302469135,0.40058299408284004,0.3047079480968857,0.31418678906249986,0.28067393905817156,0.34234808650519016,1,0.6647159822222221,0.4956273734567899,0.5562565155709341,0.6304223644444443,1,0.5614877024221452,0.5962718281249999,0.4731984449999999,0.8054657569444441,1,1,0.8841092499999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e05,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5522388321995465,0.5996708675000001,0.688704737654321,1,0.6912843703703703,0.6423188614958449,0.5796988004535149,1,1,0.9570715200000006,0.2940550725000001,0.3264914525000001,0.3273079886621315,0.5909235069444445,0.34461479591836747,0.329818859410431,0.35254197505668944,0.34546481893004133,1,0.1399900991735539,0.12307339555555565,0.1254828512110727,0.16345108163265315,0.29679728125000016,0.1856995621301776,0.17771547959183687,0.15426636000000013,0.22198901446281,1,0.08175338194444463,0.0966338680555557,0.10612172916666682,0.10545390306122462,0.25018295918367367,0.1479591944444446,0.15865036805555568,0.16216635111111127,0.2333998125000001,0.6755241944444448,0.38320825781250023,0.24994974291115318,0.24976494628099183,0.2797642789256199,0.533240215277778,0.3008332160664821,0.2807527675000001,0.24855528160000004,0.39150546296296307,1,0.7192272041522494,0.6032001225000002,0.6018886875000002,0.6876311660899657,1,0.7184077031250002,0.532301970521542,0.5996759445983381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e06,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9845782662721896,0.8961706683673468,1,1,0.6650373600000001,0.6175060380622838,0.6444536796875002,0.5862325432098765,0.5910991080246915,0.7610980255102042,0.7769342958579882,0.5390020185185186,1,1,0.29008791609977336,0.29293661218836575,0.3128697119113575,0.3380518734567903,0.34106458950617285,0.4438606020408164,0.3708736914062501,0.2784276530612246,1,0.20510162500000026,0.21521725000000014,0.09743071484375006,0.151544142857143,0.16156467346938783,0.17228583673469397,0.24115595000000012,0.19498618934911247,0.14031021250000003,0.3780372248520711,0.12034291836734716,0.20656148000000019,0.09163980165289266,0.0908547041420119,0.13616051000000007,0.14862621000000004,0.20833995312500012,0.18542328000000005,0.11738050413223144,0.28238634765625004,1,0.2829775432525952,0.2577038400000001,0.22745422530864204,0.2266599196675901,0.23311211357340736,0.3683816173469391,0.3407803244444445,0.23136871455576574,0.887139571428572,0.6109035546875,0.54284669140625,0.6091794795918369,0.39503687145557653,0.5226307932098767,0.5567139826989621,0.8310374305555557,0.4472815723140497,0.8983038875739644,1,1,1,1,0.8653109022222225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1_gr_e01,A,0,0.18118975000000065,0.06970708641975323,0.22698012500000053,0.21316833333333363,0.3050657654320989,0.6012959259259262,1,0.9822907800000003,1,1,0.1422497500000004,0.0799840408163268,0.08695187755102046,0.10955581481481493,0.1734795111111113,0.3752162653061226,0.6381581944444444,0.6843721479591837,1,1,0.2974891875000003,0.20586581250000047,0.1912015000000003,0.14853572839506188,0.3665221406250002,0.4912188842975208,0.9441098281250001,1,1,1,0.28521537500000027,0.2195001875000005,0.2105501875000002,0.18596389062500024,0.33027107407407424,0.5270950600000002,0.9396332968750001,1,1,1,0.06184972839506193,0.12298671428571457,0.18838511111111136,0.12579848520710066,0.27556782638888905,0.3759326020408165,0.5646478106508878,0.8327009834710745,1,1,0.07678626562500007,0.11657786111111139,0.1910097346938779,0.3281794444444447,0.4213825937500003,0.8840177777777779,0.7069478300000003,0.9812346913580252,1,1,0.18780639062500015,0.15628238271604955,0.21566889795918395,0.23724107000000014,0.6182227222222224,0.5549041234567903,1,1,1,1,0.2071954444444446,0.31394383333333364,0.2561376049382719,0.29038862000000015,0.3048818934911243,0.5484981500000001,0.5870501111111115,0.7684878016528925,1,1,0.37498450000000033,0.3173542343750002,0.3768310625000002,0.401767728395062,0.7350373055555558,0.6336023703703706,1,1,1,1,0.17875123111111127,0.2296193644444445,0.26752982666666675,0.21469696694214885,0.32319087197231844,0.34047923148148157,0.4123014705882354,0.4886246679687501,0.6363986734693879,1
o1_gr_e02,A,0,0.4345668888888882,0.2913562799999996,0.1679954081632649,0.07637054320987627,0.2766156111111107,0.3127489834710742,0.6175859999999997,0.5997636527777777,1,1,0.14292830864197512,0.15822097222222198,0.07299945312499966,0.040267402777777565,0.14466570999999984,0.23271956444444433,0.4579966805555553,0.7523499876543208,1,1,0.2126598888888885,0.23394606249999944,0.18129349999999947,0.11926180555555496,0.275197694444444,0.3047291322314047,0.6762265312499999,1,1,1,0.20290336111111087,0.2125158124999995,0.21118006249999965,0.1625031666666664,0.23898479591836705,0.3213587899999998,0.5768625555555552,1,1,1,0.05445033057851214,0.06949296296296273,0.1619510555555555,0.13129494999999985,0.19614628925619815,0.32865761157024775,0.4004738284023667,0.7385592098765431,0.8617598518518517,1,0.08664698765432077,0.1686680399999998,0.2944335624999992,0.15842021999999978,0.3654232448979588,0.41993920987654304,0.6677414999999998,1,0.8986760617283946,1,0.1640911728395059,0.23657805555555517,0.22081771428571392,0.2273449012345676,0.3936376938775506,0.43170290123456756,0.6755627343749997,1,1,1,0.20642880555555532,0.24121423999999983,0.29265735802469106,0.29114157999999973,0.37989367901234544,0.47966655555555526,0.5072639338842974,0.746977320987654,0.7811724099999998,1,0.3925490370370369,0.5875941111111106,0.4386564567901232,0.3402078888888887,0.5952410408163261,0.6031223906249996,0.8347339999999996,0.938343959183673,0.8002539099999997,1,0.33159340306122426,0.2993923217993078,0.4147954733727809,0.27893272789115636,0.42310576020408136,0.37011595703124994,0.39834628125,0.5543185555555553,0.4402363148148146,1
o1_gr_e03,A,0,0.35854989795918335,0.2809736049382715,0.26049224691358014,0.2185764097222221,0.22447653499999995,0.40055282352941163,0.6278506745562128,0.5562213148788927,1,1,0.3533121388888886,0.2208843703703701,0.3123226111111108,0.280948489795918,0.24183462130177502,0.3906287396449704,0.5548124305555555,0.8475964399999998,0.7716837448979591,1,0.21255659183673428,0.14645057999999989,0.25017680555555527,0.4268578749999991,0.31658089062499967,0.40272531999999983,0.6173229399999998,0.9568252499999995,1,1,0.27224119999999985,0.19390413888888852,0.2720529599999997,0.18174232812499974,0.3233386326530609,0.3820682799999998,0.5580082399999999,0.8685673749999998,0.8166108000000002,1,0.09773150617283924,0.05833709917355348,0.1791959722222219,0.1460426543209875,0.22157766666666642,0.2941822727272726,0.4381844462809916,0.6098433599999998,0.6199986180555556,1,0.1251649062499998,0.05931372999999984,0.2540014374999993,0.24866695999999974,0.2561675306122446,0.35893332812499984,0.5054342343749997,0.6835620468749999,0.6019153305785121,1,0.26451488888888863,0.1671947346938775,0.2752275624999998,0.14783864197530844,0.34314199999999984,0.3111345781249997,0.4218823950617282,0.5457313209876542,0.7392332499999997,1,0.3318249183673466,0.13292949999999987,0.1656325432098763,0.2838868888888886,0.25642465306122414,0.2130086694214874,0.37924937037037026,0.5264547031249998,0.37798765680473356,1,0.39024544897959146,0.28656581249999985,0.4450692399999996,0.3953030833333331,0.28985160937499965,0.2688497160493825,0.7294934999999999,0.37119537037037026,0.5745110816326527,1,0.519969111111111,0.22026621893491113,0.22195647959183668,0.28737142148760314,0.22646428061224472,0.26559820833333314,0.30656354545454534,0.3364501999999998,0.4193199629629627,0.6558720408163264
o1_gr_e04,A,0,0.20925369135802496,0.17303866942148777,0.2511845454545456,0.25601431944444464,0.2612760312500002,0.3818288934911245,0.41006592346938786,0.4127147539062502,1,1,0.17462893750000022,0.14156600000000025,0.18840950617283975,0.3588233888888892,0.23072839583333343,0.32828166666666686,0.544372716049383,0.5305525972222225,1,1,0.2549092500000006,0.1577828888888892,0.22081733333333362,0.19078634375000025,0.3407974444444446,0.3460168888888891,0.4893164197530867,0.7123642812500003,1,1,0.22054450000000037,0.12720155555555598,0.22345212500000067,0.27676137500000053,0.1757964320987657,0.44814758333333377,0.49554153125000017,0.7535237142857145,1,1,0.07450626562500018,0.053673214876033166,0.15563341666666697,0.1719538611111114,0.1308202300000001,0.2032096363636366,0.3082701597222224,0.4926115600000003,0.6037129917355375,1,0.12232483333333356,0.05850694000000022,0.24761437500000066,0.2466441875000006,0.17922002777777807,0.20109326562500013,0.3004828900000003,0.5089199012345682,0.7441475679012347,1,0.25343587500000037,0.12547877777777813,0.24824600000000058,0.19985216666666708,0.1735190000000003,0.2096156530612248,0.3325038437500002,0.4224612500000001,0.7554705312500003,1,0.2020443333333336,0.10980316049382736,0.16422340740740765,0.21323220312500024,0.22035265432098788,0.17517796296296317,0.2520636543209879,0.30820115972222245,0.46326878512396713,1,0.2128614285714287,0.16176382716049417,0.2780046250000001,0.4460134444444447,0.35335109375000023,0.38937236111111145,0.3769770000000004,0.35313854320987664,0.6496927959183676,1,0.45454231250000066,0.1188749134948098,0.2102690459183675,0.415106716049383,0.2998080946745564,0.3119316400000001,0.26129297520661177,0.28161338194444463,0.36983600694444463,1
