File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9
o1-01_gr_e01,B,1,0.22692321935587245,0.8590445399305557,1,0.02060706195934256,0.0355533054760666,0.039354009447099984,0.5809886863905325,1,1
o1-01_gr_e02,B,1,0.2724638686868687,1,1,0.024563514941690952,0.04085556715024417,0.05176537300411524,0.20727905877551017,1,1
o1-01_gr_e03,B,1,0.17779151264177695,1,1,0.02317884236302419,0.04231993062186127,0.052162049215792344,1,1,1
o1-04_gr_e04,B,1,0.09551312731186226,0.11121815263209485,0.13994847321817394,0.021182662389055314,0.02368537653333332,0.027562158241170753,0.0909575097520661,0.09816112703402362,0.14382201557093424
o1-04_gr_e05,B,1,0.14282146465379597,0.12841059977839336,0.1867501982421875,0.019654517918834553,0.02427028436375145,0.028298603330939445,0.12437136543209872,0.12265300627943483,0.21274302517361116
o1-04_gr_e06,B,1,0.11646579191135736,0.10464764062500002,0.11795664449896698,0.022691491467347495,0.02152377397414532,0.02417792543057461,0.09072617556118437,0.08752258449762186,0.15747649372781067
o1_gr_e01,A,0,0.01266943886052139,0.036234593004883665,0.1713749234693878,0.01370678031250002,0.040947400291495205,0.16018334757653066,0.02664149490783607,0.04239515224237844,0.11810758460622896
o1_gr_e02,A,0,0.014432434992648572,0.02617851400048695,0.12843169950413214,0.01291102640624998,0.03125986093255788,0.10515453489439854,0.03363034640952589,0.04179302035380097,0.0954960661357341
o1_gr_e03,A,0,0.02183011221590907,0.0359543974556213,0.10684076558956915,0.012601084121134415,0.028976781122679936,0.0727390934073193,0.025330829141274214,0.029883819345489657,0.04954043466553285
o1_gr_e04,A,0,0.018320574632905567,0.031827239458294895,0.09268678741349488,0.010493622352081837,0.02306038525185081,0.06704848780205805,0.020415715711805574,0.0317425675714908,0.045086471851851884
o1_gr_e05,A,0,0.017558917954815664,0.02775908727272725,0.09290762842493192,0.011754697551020366,0.022537362516604254,0.06741792257088847,0.02835855968858128,0.02493298798539021,0.05710664698060938
o1_gr_e06,A,0,0.023287904699999987,0.03216670589440613,0.08376709429086067,0.010905980932542839,0.022664956740702468,0.06643980582949813,0.02310987951962807,0.025013876960519182,0.040760893996754984
o1_gr_e07,A,0,0.016030874307479195,0.044946277717870776,0.10428871078124997,0.021563610996434578,0.046096536847051436,0.14432522180214236,0.02400306754239778,0.04923136285374553,0.24150265595463133
o1_gr_e08,A,0,0.017132695199999992,0.026078253688888886,0.05128953064404431,0.012259865364419231,0.029518703352769664,0.07476086892242034,0.023928346107681756,0.038668812509169155,0.09874660951900013
o1_gr_e09,A,0,0.019204254220206572,0.026628931012110703,0.042823879896357255,0.012286073881172822,0.026987005478662035,0.06433126536673553,0.021204487553498113,0.037738529127100066,0.10658056484374996
o1_gr_e10,A,0,0.027654898800000032,0.040338792105041675,0.12567663905325446,0.013689881250000027,0.03857392301062917,0.1302396975415513,0.02066488750181452,0.041904314729080974,0.12251259838750318
o1_gr_e11,A,0,0.020920631198347132,0.039569794903589826,0.15528736875739646,0.014697463358572227,0.04332400587606841,0.3299272602040817,0.023843870500000017,0.0494605654081633,0.26286221777777774
o1_gr_e12,A,0,0.019541483736580684,0.030095136684303348,0.16726795758928573,0.012533105752283303,0.03454449801652894,0.13854226275992443,0.024062733476686294,0.03339116338695778,0.08630785484105097
o2-01_gr_e01,B,1,1,1,1,0.04943566490000003,0.05737032064590548,0.12438003888888896,0.825362535,1,1
o2-01_gr_e02,B,1,1,1,1,0.04765837051039698,0.10219091199999998,0.13348852556480378,0.21446011224048453,1,1
o2-01_gr_e03,B,1,1,1,1,0.028629025716145833,0.06930801870748297,0.1561218159722222,1,1,1
o2-04_gr_e04,D,3,0.09798604881656799,0.07926265709237343,1,0.01999711860623721,0.06173659456335053,1,0.05845447873345935,0.07670951132744423,1
o2-04_gr_e05,D,3,0.12572285090491234,0.07437764347858422,1,0.025278701388888873,0.05748647462277093,1,0.05298311279999996,0.0742837356914993,1
o2-04_gr_e06,D,3,0.11321793823613899,0.07995417661506074,1,0.023127181203275175,0.05673580576177285,1,0.06676846691871456,0.06368564826316282,1
o2-07_gr_e07,B,1,0.13421706399596875,0.18460714097543604,0.23311656562499994,0.025871741975308647,0.04158893517561983,0.04758314355677991,0.10749077407847803,0.13403116581632651,0.1524132511542012
o2-07_gr_e08,B,1,0.15322099323602706,0.22658949756625213,0.1871416240655038,0.03046963413710392,0.03920702061640984,0.04186442285528775,0.1468362191358025,0.1615698943758574,0.16248297576530613
o2-07_gr_e09,B,1,0.2200922920880429,0.2845473432480667,0.19087951504132236,0.04248966911242605,0.0405384950617284,0.04308027428854858,0.2011336930612245,0.14660504991735537,0.14338531267321744
o2-10_gr_e10,B,1,0.08379187,0.11418138976912631,0.17342596052631576,0.02687962563775512,0.04084958298647245,0.0445314707266436,0.104429348,0.1166342157064472,0.17381423812500005
o2-10_gr_e11,A,0,0.023499905124653758,0.0586536946676406,0.25241538392857144,0.02179829960000001,0.06188909251638472,0.51722451171875,0.035817336111111125,0.084004063281095,0.414624648526077
o2-10_gr_e12,B,1,0.06626676179846935,0.10597921021947873,0.23560728666666658,0.019359432748537984,0.03687686450195311,0.04977561157226562,0.0628447067768595,0.10257928645833324,0.1500556168947055
o2_gr_e01,C,2,0.1118658380592312,0.09768013127784086,1,0.027578854382929605,0.03923759964845862,0.10362852916380744,1,0.17516805860384946,0.09972618461047929
