File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49
o1-01_gr_e01,B,1,1,1,1,1,1,1,1,0.8507740247933884,1,1,1,1,1,1,0.32089131129476584,0.5775041618655691,0.8081691597222224,1,0.9582538163265306,1,0.8440137933884296,0.030073410518626713,0.03936477691850087,0.049759923494794016,0.09001040759678594,0.10102859126984126,0.13742861374999993,0.14841277173913045,0.3662331301020407,0.6136787854671281,1,0.7469560400000002,0.4089112644628099,0.3208916450617283,0.2882380937499999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,1,1,0.9200496549999998,1,1,1,1,1,1,0.2937902936449963,0.6343479427083332,1,1,0.617584074380165,0.512908373702422,1,0.031067626825310942,0.04560644562499998,0.05906502487831257,0.0812467061631944,0.12317062700773343,0.1301115694884563,0.15967481899810954,0.2645626844411979,0.1458215525383707,1,1,1,1,1,0.8280996574074073,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,1,1,0.4935584380165292,1,1,1,1,1,1,0.14801622800237818,0.22041245043005897,0.6581773864447088,1,1,1,1,0.034588236111111184,0.04585065668371081,0.056222699753086476,0.0925328649613326,0.10553292294877145,0.15815190937500007,0.1429652237600923,0.48069701133786874,0.3249284308390024,1,1,0.6093055679012349,0.6875837037037039,0.6094803680555556,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,1,1,1,1,1,1,1,0.3775933155555555,0.33727432031249993,0.4520211631999999,0.3549391019283745,0.5925439624999999,0.3628847291092745,1,0.34721829639889185,0.1399074879474068,0.1932598014268727,0.16035572645429352,0.22758480229591826,0.17403692439184737,0.3191917105624142,0.04292502892561971,0.05042408319999991,0.08145072022160652,0.08174251562499993,0.1077748730158729,0.09578673388203007,0.13584787695133138,0.22305421694214866,0.11355104470742924,0.17366204733727802,0.12455865522279025,0.1905125171467763,0.13125400437499993,0.3246898927335639,0.2977778948137326,0.3086623641868511,0.5221810124999998,0.3558308144444444,0.4462394305555555,0.28014360526315785,1,1,1,1,1,1,1,1
o1-04_gr_e05,B,1,1,1,1,1,1,1,1,0.5292913152000001,0.4209830770031218,0.49149444581618673,0.40466556198347103,0.6017643471074382,0.46856625382653067,1,0.24551382024793397,0.13714696755002712,0.20015730664062503,0.15615657539682548,0.2162357658688867,0.13233818305555556,0.8758417000000003,0.03973416272189356,0.04851978720000006,0.07291962880886435,0.07508876870748307,0.1080558408304499,0.08111999428571434,0.21361990250000013,0.15615653163580254,0.13026581875000007,0.16902732612456753,0.12526449638429757,0.17697195111111122,0.12579680680000002,0.8239332448979595,0.5021049520000002,0.4241911766666666,0.5509614914933838,0.47711057887517155,0.46990823520000014,0.7522237343750001,1,1,1,1,1,1,1,1
o1-04_gr_e06,B,1,1,1,1,1,1,1,1,0.520742529513889,0.3194880803506209,0.3625840048828126,0.5057648241965974,0.3624592802734375,0.4137372400548698,0.540908075,0.4378339866666669,0.16468684664830122,0.13516405710886384,0.23603423076923088,0.15910719390581723,0.212417803840878,0.24572737847222229,0.07402707638888902,0.04035382080000002,0.04943304142011838,0.10322044140625003,0.07494934080000003,0.08596378071833652,0.10398437472607747,0.7640693906250001,0.11022316653061225,0.10766772714681443,0.1592133703703704,0.12493695679012351,0.13480263510204088,0.221242357638889,0.33742175976562505,0.28805316163265304,0.27012729848783695,0.37562169333333334,0.30390884441197963,0.33000500979591846,1,1,1,1,1,1,1,1
o1_gr_e01,A,0,0.050160876033057994,0.05670017361111121,0.11292119834710761,0.1737067623966943,0.4531252975778547,0.6757343822222224,1,0.08149610416666679,0.0586579166666668,0.07633747404844299,0.13255310888888897,0.2870933357988166,0.4987937825000001,1,0.11945359259259271,0.09703538271604958,0.1054490117187501,0.22524266049382727,0.35882039750000005,0.6416321555555556,1,0.02320738580246921,0.12151958024691378,0.10775178892733575,0.23027550925925933,0.38368167901234573,0.5178146543209877,1,0.06921897732426312,0.08352343827160506,0.13091475900277014,0.19926433057851248,0.3079031756198348,0.43576851927437665,1,0.16879793055555567,0.16373668444444456,0.18946839446366798,0.2673527962962963,0.43836398828125017,0.593385,1,0.10215909053497949,0.13814473799725657,0.1541456900000001,0.16669496366782013,0.26669008284023676,0.23951253142857148,1
o1_gr_e02,A,0,0.1439215061728393,0.07758947448979571,0.03982849218749987,0.12441515646258493,0.30594644753086403,0.39436490027700816,1,0.07512940624999989,0.06277368055555538,0.04361715816326507,0.09082648341836724,0.2617750949999999,0.3937762253086418,1,0.09446713194444425,0.09720507407407389,0.09605038194444426,0.13054711499999988,0.3134157148437499,0.3811082105263156,1,0.023841210526315673,0.0759439008264462,0.10366221428571418,0.1477162674999999,0.3406351199999999,0.4007238981481479,1,0.07561789749999989,0.09879476562499985,0.11592497222222206,0.16123460317460306,0.2611014449999999,0.35153737499999993,1,0.14938977562326858,0.16862482407407395,0.2363643877551019,0.2300345501730102,0.3959346581632652,0.4360357890624998,1,0.16661864609053487,0.1830556926020407,0.20533389026063092,0.1620621297959183,0.2699565103969754,0.2996585935727788,0.640335420118343
o1_gr_e03,A,0,0.17541602040816315,0.13747565051903105,0.12671994421487592,0.16489655175781245,0.27661028571428564,0.3527474732142857,1,0.10358485156249987,0.09993323529411756,0.1477650887573963,0.14775661111111105,0.24133305279999992,0.38318777892561967,1,0.10924640277777764,0.07807328124999986,0.10691326530612232,0.18418394140624988,0.2758999113573407,0.3488520476190476,1,0.0359730234374999,0.043249078124999854,0.11374534722222208,0.17206283999999988,0.2702145429687498,0.3002582040816325,0.7864366700000001,0.09640603515624993,0.07010274999999992,0.07666202777777768,0.13531479687499987,0.17519942630385477,0.25177834467120175,0.5433564861111109,0.17017004591836718,0.1044528124999999,0.19079814999999983,0.19218554545454525,0.20398765333333324,0.21137324930747908,0.4807139917355371,0.20852151020408152,0.10640792866941011,0.12373861631944437,0.1273482646502835,0.15243969614512468,0.1728093149999999,0.3411040118343194
o1_gr_e04,A,0,0.10096713148788937,0.10457203099173559,0.14794029931972802,0.16999945120000007,0.1930220154577884,0.3422836775000001,1,0.08800596449704158,0.06671987000000011,0.11993312444444455,0.15105259002770088,0.19823731568998115,0.33816739612188373,1,0.09441496296296321,0.06969806944444462,0.10897340495867788,0.12395383593750016,0.20485391135734082,0.3848214044444446,0.9204418677685949,0.03161869333333341,0.043639792968750105,0.11540828395061745,0.10270945333333342,0.16336761000000014,0.3047395432525953,0.7615779338842978,0.07834187500000019,0.059340695312500136,0.09149941420118358,0.07451933024691369,0.11825403925619846,0.2115892024793389,0.5772044540816328,0.11716249586776874,0.08710121107266448,0.13567560937500012,0.1629779408284025,0.15120293333333348,0.23493697923875445,0.5478145200000002,0.1150885333333335,0.08021241111111115,0.1919308421052633,0.2008129065743946,0.12443862003780727,0.16947776859504146,0.3970505976331363
o1_gr_e05,A,0,0.09935642901234551,0.11250393425605519,0.12731395290858713,0.1500188263888888,0.2609930969529085,0.34875314814814806,1,0.07113762049861481,0.08574052662721872,0.08141162345679,0.11550807438016518,0.2101033049999998,0.25499269260204077,1,0.07850866666666644,0.08583176543209857,0.10499650617283916,0.09721848749999984,0.27235439999999983,0.2743380095124851,0.9373794861111112,0.023318355468749764,0.058266888888888604,0.11462149382716016,0.10658179111111096,0.18244274499999985,0.3031580964083174,0.7428761428571428,0.0688504681440442,0.09014858673469367,0.08428243367346917,0.06468199999999988,0.14509279017013224,0.197442211419753,1,0.12263119667590013,0.16463660946745537,0.1389903828124998,0.09869922222222208,0.19489524489795898,0.2490595764462809,1,0.15142271180555547,0.18253217460317445,0.21393715432098753,0.12342815359999988,0.12368913016528917,0.12549910339506162,1
