File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100
o1-01_gr_e01,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0494916994752066,0.08799225778461539,0.118321530418,0.29762147545000006,1,1,1,1,1,1,0.05615968243076923,0.06975354887222222,0.06971219870044444,0.114141362114,0.08959519653367345,0.26108565423200003,1,1,1,1,0.00494829863125,0.005933843220499997,0.005254392032499998,0.010344631799999997,0.010442859422714678,0.01654696218933334,0.013987487686956521,0.021380486948437496,0.015954315160493827,0.017576360957750333,0.005395989910999995,0.007578615681481477,0.005895073684499998,0.009859850543877547,0.010904929198222219,0.012654879036718749,0.010602608278260869,0.016959692599307963,0.02173895393511111,0.016614913956521735,0.42736774145,0.044259840007612454,0.18974024045599996,1,1,1,1,0.08759810475,0.040458345408,0.05619642677187499,0.09304802140399997,0.9539039458000003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04440039961770833,0.11600073308199998,0.6188305226999999,1,1,1,1,1,1,1,0.03659686170795847,0.08789148770277777,0.118827311642,0.17115343111020404,1,1,1,0.29799109924999995,0.12086490634399999,1,0.004758821060499997,0.005406484810999997,0.005685020838095235,0.012068040327777769,0.010365957744999998,0.015485643180864195,0.014524827917708327,0.0194952779515,0.017878709256597222,0.021147150109090906,0.006460226956444437,0.007534021702999996,0.006270866666071426,0.01238829756666666,0.01330933942577777,0.015832933217968744,0.017203864030246912,0.022471196434374997,0.024124756134374994,0.027810968757812502,0.04936687163076922,0.015030137425641027,0.026147151080273445,0.17919419663888894,1,1,1,1,1,1,0.05044870485397923,0.06448772306311111,0.35751042628888885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.03329918905127552,0.04778968114173553,0.20045559827222226,1,1,1,1,1,1,1,0.020189682123520004,0.015662161987333337,0.04313219686167802,0.049266598974305555,1,1,1,1,1,1,0.005378711265777789,0.0056919480345000075,0.005937595485120006,0.009939380325333345,0.015022610014285724,0.014597929404986155,0.01655935848253969,0.027905488159183683,0.022756651462603892,0.024306196921500014,0.0070960843597222345,0.007182180180500009,0.006604748573913052,0.011339638338461548,0.014295250410204092,0.01103454113057852,0.015099353730193915,0.018272234034567906,0.017715745931972796,0.019004011392148766,0.09006097476734698,0.03573577765510206,0.11904724337187503,0.9886938516,0.5376567319500001,1,1,1,1,0.24293788870000008,0.19125962450400003,0.4874200376500001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e04,B,1,1,1,1,1,1,1,1,1,1,1,0.04280939154744898,0.04727464209513889,0.05205958391570247,0.03859567724177777,0.08600097214693875,0.054137941469421476,0.04989145363055554,0.04605461211183432,0.0864462376897959,1,0.03848675751666666,0.021774837694736836,0.022975391398456786,0.026471547482352933,0.038839132770138875,0.03595190544437869,0.03155591450133332,0.02797297000553632,0.024671483563492056,1,0.04500267292040816,0.014197590932525945,0.013950439609688572,0.014130011950617279,0.02128356680591715,0.016920151437024213,0.01698709043580246,0.01907710185156249,0.016259191052607706,0.05154192676249999,0.009082807271999983,0.006560267670833325,0.005349299929687494,0.0075130181551020326,0.01019000283801652,0.010605589476859495,0.007608890780246906,0.009514057128888883,0.009205948405263155,0.016384441170703118,0.0037114798444444308,0.004283976246527768,0.004776756261805544,0.0051610199428571354,0.0116717563020408,0.007868552296694205,0.007949642103472213,0.007271141999489786,0.009635374543999991,0.01868931298925619,0.02894675163124999,0.010662911947530858,0.010172774529249995,0.01207629093179012,0.01750547684142011,0.013315737331833905,0.013729962682031244,0.012265451136842099,0.014960611380276809,0.06606333024374995,0.0290480884231111,0.02165891622006172,0.02430840973044982,0.02754945732622222,0.046996816479012334,0.024537012595847747,0.026057078889062495,0.0206787720465,0.03519885357847221,1,0.04635857234791666,0.03863557422499999,0.04622275881736112,0.051385371286776824,0.07873896768367344,0.04855587662916667,0.0510271237429752,0.049509512671074354,0.18410093319999996,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e05,B,1,1,1,1,1,1,1,1,1,1,1,0.2188772426777778,0.11064138979166671,0.11011775454166667,0.11066526577222223,0.2198168023888889,0.11014026246944446,0.1088106741888889,0.15897535873125,1,1,0.050326786820661176,0.024132836967120184,0.026205616909750006,0.030096397035493827,0.04900771604462811,0.03020912698518518,0.028069334247368426,0.025332837579818596,0.05841060252200002,1,0.04182402542400003,0.012850206668250005,0.014267676474250004,0.014303359104535148,0.025823357253472227,0.015059666581632658,0.014413084156235835,0.015406084309977327,0.015096812587242804,1,0.006117567333884306,0.005378307385777782,0.005483600597923877,0.007142812267346943,0.012970041190625007,0.008115070865088761,0.007766166458163272,0.006741439932000005,0.009700919932024796,0.04612513696250003,0.00357262279097223,0.004222900034027784,0.00463751956458334,0.004608335563775516,0.010932995316326539,0.006465816797222229,0.006933021084027783,0.007086669543555563,0.010199571806250004,0.029520407297222235,0.01674620086640626,0.010922803765217393,0.010914728152479342,0.01222569898904959,0.023302597407638896,0.013146411542105267,0.012268895939750005,0.010861865805920001,0.017108788731481486,1,0.0314302288214533,0.026359845353250005,0.02630253564375001,0.0300494819581315,0.04611073469752068,0.03139441662656251,0.023261596111791388,0.026205838778947374,0.1723722028,1,1,0.2186618356666667,0.16422058779375,0.15843429264375,0.2113491310777778,0.10656580154722221,0.31152128395,1,1,1,1,1,1,1,1,1,1,1,1,1
o1-04_gr_e06,B,1,1,1,1,1,1,1,1,1,1,1,0.0882548032142857,0.06707685156419753,0.07411075079375,0.05374566643305786,0.05318516048181819,0.058289022130000014,0.09566913614166671,0.043026070236094685,0.03916265820765306,0.25992869250000006,0.05323398967,0.02906213263200001,0.0269850138633218,0.02816262580234376,0.025618362138271605,0.025831031020679015,0.033259983714795924,0.03395202872899409,0.023554388209259265,0.0704299268027778,0.3622643473999998,0.012676841933560095,0.012801329952631583,0.013672406410526321,0.014772866870061735,0.014904522561419753,0.019396708309183677,0.01620718031445313,0.012167288438775513,0.10533835473333338,0.008962941012500012,0.009404993825000006,0.004257722238671878,0.006622479042857149,0.007060376230612248,0.007528891065306126,0.010538515015000005,0.008520896474556216,0.006131556286250002,0.01652022672603551,0.005258985532653071,0.009026736676000008,0.00400465933223141,0.00397035057100592,0.005950214287000003,0.006494965377000002,0.009104455951562505,0.008102997336000003,0.005129528030578514,0.012340283392578127,1,0.012366118640138412,0.011261657808000002,0.009939749645987657,0.009905038489473687,0.010186999363157902,0.016098276678061237,0.014892100178222224,0.010110812826086963,0.0387679992714286,0.026696485339843753,0.023722400414453122,0.026621143258163275,0.017263111282608695,0.02283896566327161,0.024328401043944646,0.03631633571527778,0.01954620471012397,0.039255879886982245,1,0.050148262208264474,0.06612152840156252,0.04916497067520662,0.03781408642711112,0.04770798859305555,0.044644796068639046,0.08575053101428572,0.05824720079300001,0.6315796687999998,1,1,1,1,1,1,1,1,1,1,1
o1_gr_e01,A,0,0.005218264800000019,0.002007564088888893,0.006537027600000015,0.006139248000000008,0.008785894044444449,0.017317322666666673,0.031909735836734704,0.028289974464000008,0.15634454400000003,1,0.004096792800000012,0.002303540375510212,0.0025042140734693893,0.00315520746666667,0.004996209920000005,0.01080622844081633,0.018378956000000002,0.019709917861224488,0.0764751942,1,0.00856768860000001,0.005928935400000014,0.005506603200000008,0.004277828977777782,0.010555837650000005,0.0141471038677686,0.02719036305,0.03357912645000001,0.06043047091200001,1,0.008214202800000008,0.006321605400000014,0.006063845400000006,0.005355760050000007,0.009511806933333339,0.015180337728000004,0.027061438950000002,0.0330891057,0.14546988,1,0.0017812721777777836,0.0035420173714285795,0.005425491200000007,0.003622996373964499,0.007936353400000005,0.010826858938775516,0.01626185694674557,0.023981788323966944,0.07373419199999999,1,0.002211444450000002,0.003357442400000008,0.005501080359183683,0.009451568000000007,0.012135818700000009,0.025459712000000002,0.020360097504000006,0.028259559111111124,0.057104428032,1,0.005408824050000004,0.004500932622222228,0.006211264261224497,0.006832542816000003,0.017804814400000004,0.01598123875555556,0.031809593600000005,0.03056373315,0.06913910520000004,1,0.005967228800000005,0.009041582400000008,0.007376763022222232,0.008363192256000004,0.00878059853254438,0.015796746720000004,0.016907043200000013,0.022132448687603307,0.04001355330612246,1,0.010799553600000011,0.009139801950000005,0.010852734600000006,0.011570910577777786,0.02116907440000001,0.018247748266666673,0.0339949712,0.029433643200000005,0.06762537540000003,1,0.005148035456000005,0.006613037696000001,0.007704859008000002,0.006183272647933887,0.009307897112802771,0.009805801866666668,0.01187428235294118,0.014072390437500002,0.01832828179591837,1
o1_gr_e02,A,0,0.01251552639999998,0.008391060863999987,0.004838267755102029,0.0021994716444444363,0.007966529599999989,0.009007170723966937,0.017786476799999992,0.017273193199999995,0.06077068379999997,1,0.004116335288888884,0.0045567639999999935,0.00210238424999999,0.0011597011999999937,0.004166372447999995,0.006702323455999997,0.013190304399999993,0.021667679644444438,0.04463743795199998,1,0.0061246047999999895,0.006737646599999984,0.005221252799999985,0.003434739999999983,0.007925693599999986,0.008776199008264455,0.019475324099999997,0.03219088239999999,0.05570021159999999,1,0.005843616799999993,0.006120455399999986,0.00608198579999999,0.004680091199999992,0.006882762122448971,0.009255133151999995,0.01661364159999999,0.032037235199999986,0.037464127999999985,1,0.0015681695206611497,0.0020013973333333265,0.004664190399999998,0.003781294559999996,0.005649013130578507,0.009465339213223135,0.011533646257988162,0.021270505244444442,0.02481868373333333,1,0.0024954332444444382,0.004857639551999995,0.008479686599999977,0.004562502335999994,0.010524189453061213,0.01209424924444444,0.019230955199999993,0.03189436879999999,0.025881870577777768,1,0.00472582577777777,0.0068134479999999885,0.006359550171428562,0.006547533155555546,0.011336765583673457,0.012433043555555546,0.019456206749999993,0.03209339999999998,0.03218378664489796,1,0.005945149599999993,0.0069469701119999954,0.008428531911111103,0.008384877503999992,0.01094093795555555,0.013814396799999991,0.014609201295867763,0.021512946844444436,0.022497765407999994,1,0.011305412266666662,0.016922710399999985,0.012633305955555549,0.009797987199999995,0.017142941975510192,0.01736992484999999,0.02404033919999999,0.027024306024489783,0.023047312607999994,1,0.009549890008163258,0.008622498867820065,0.011946109633136089,0.008033262563265304,0.012185445893877543,0.0106593395625,0.0114723729,0.01596437439999999,0.012678805866666662,1
o1_gr_e03,A,0,0.01032623706122448,0.00809203982222222,0.007502176711111108,0.006295000599999996,0.006464924207999999,0.011535921317647056,0.01808209942721893,0.01601917386851211,0.04514111177142857,1,0.010175389599999992,0.006361469866666658,0.008994891199999992,0.008091316506122439,0.00696483709349112,0.011250107701775149,0.015978598,0.024410777471999996,0.02222449185306122,1,0.006121629844897948,0.004217776703999997,0.007205091999999992,0.012293506799999975,0.00911752964999999,0.011598489215999996,0.017778900671999994,0.027556567199999986,0.03521301648979592,1,0.007840546559999996,0.005584439199999989,0.00783512524799999,0.005234179049999992,0.009312152620408153,0.011003566463999994,0.016070637311999997,0.025014740399999996,0.023518391040000006,1,0.00281466737777777,0.0016801084561983402,0.005160843999999991,0.00420602844444444,0.006381436799999993,0.008472449454545452,0.01261971205289256,0.017563488767999996,0.0178559602,0.1222227288,0.003604749299999994,0.0017082354239999955,0.00731524139999998,0.007161608447999993,0.007377624881632645,0.010337279849999995,0.014556505949999991,0.019686586949999998,0.017335161520661148,0.054262328400000004,0.007618028799999993,0.004815208359183672,0.007926553799999994,0.004257752888888884,0.009882489599999995,0.008960675849999992,0.01215021297777777,0.01571706204444444,0.021289917599999993,0.0485729424,0.009556557648979584,0.003828369599999996,0.004770217244444437,0.008175942399999992,0.0073850300081632556,0.006134649679338837,0.010922381866666662,0.015161895449999992,0.010886044515976327,0.04231323179999998,0.011239068930612234,0.008253095399999995,0.012817994111999988,0.011384728799999994,0.00834772634999999,0.007742871822222217,0.021009412799999995,0.010690426666666662,0.016545919151020397,0.036425330999999984,0.014975110399999996,0.006343667105325441,0.006392346612244896,0.00827629693884297,0.006522171281632648,0.007649228399999995,0.008829030109090905,0.009689765759999995,0.012076414933333326,0.018889114775510203
o1_gr_e04,A,0,0.0060265063111111196,0.0049835136793388475,0.007234114909090913,0.007373212400000006,0.007524749700000006,0.010996672132544386,0.011809898595918371,0.011886184912500005,0.05222904300000002,1,0.005029313400000007,0.0040771008000000065,0.005426193777777785,0.01033411360000001,0.006644977800000003,0.009454512000000005,0.015677934222222228,0.015279914800000008,0.07029716800000002,1,0.007341386400000018,0.004544147200000009,0.006359539200000009,0.005494646700000007,0.009814966400000005,0.009965286400000006,0.014092312888888897,0.020516091300000008,0.032016786400000004,1,0.006351681600000011,0.003663404800000012,0.0064354212000000185,0.007970727600000015,0.0050629372444444525,0.012906650400000013,0.014271596100000004,0.021701482971428578,0.029191026150000004,0.07590010140000002,0.002145780450000005,0.001545788588429755,0.004482242400000009,0.004952271200000009,0.0037676226240000027,0.005852437527272734,0.008878180600000006,0.014187212928000008,0.01738693416198348,0.05478679065600001,0.0035229552000000065,0.0016849998720000064,0.00713129400000002,0.007103352600000018,0.005161536800000008,0.0057914860500000035,0.008653907232000008,0.014656893155555566,0.02143144995555556,0.06833739960000002,0.007298953200000011,0.00361378880000001,0.007149484800000016,0.005755742400000012,0.004997347200000009,0.006036930808163274,0.009576110700000006,0.012166884000000005,0.021757551300000007,0.07139752020000002,0.005818876800000007,0.003162331022222228,0.00472963413333334,0.006141087450000007,0.006346156444444451,0.005045125333333339,0.007259433244444451,0.008876193400000006,0.013342141011570254,0.052540774400000025,0.006130409142857146,0.004658798222222232,0.008006533200000004,0.012845187200000007,0.010176511500000008,0.01121392400000001,0.010856937600000012,0.010170390044444446,0.01871115252244899,0.032183344512000014,0.013090818600000019,0.003423597508650522,0.006055748522448985,0.011955073422222231,0.008634473126627224,0.008983631232000003,0.0075252376859504195,0.008110465400000004,0.010651277000000004,0.03913094880000002
