File,Class_GT,Class_GT_n,M1,M2,M3,M4
o1-01_gr_e01,B,1,0.0032393871722284084,0.0037251825815490655,0.0027452844343456065,0.002710635376218787
o1-01_gr_e02,B,1,0.0031219441493420407,0.0034728699199999984,0.002399103445685235,0.004264642282748364
o1-01_gr_e03,B,1,0.0023814295198733874,0.0041599763246386885,0.0028012843028208463,0.0032076669245192325
o1-04_gr_e04,B,1,0.0012939877455175406,0.0013511899993776456,0.0011890667096093712,0.0012894352419444246
o1-04_gr_e05,B,1,0.0014057514705840273,0.0014617523568047342,0.0012903700659053039,0.0014415539937687077
o1-04_gr_e06,B,1,0.0013509895295632092,0.0012872460907012951,0.0012137803642074507,0.0012547774441028696
o1_gr_e01,A,0,0.00025082743345089146,0.0012645399562425691,0.00035809209864349974,0.001128058349811036
o1_gr_e02,A,0,0.00018134469809632627,0.0008809989561873842,0.000408624706585589,0.0009285939783195261
o1_gr_e03,A,0,0.0002926386306213015,0.0009067065542731914,0.00030194743581267203,0.0005807575820069201
o1_gr_e04,A,0,0.00026001778070839873,0.0007816018100543687,0.0002790765362184222,0.0005520979764226264
o1_gr_e05,A,0,0.00022552502759763283,0.0007912850416658129,0.00033599861314878837,0.00060939413729128
o1_gr_e06,A,0,0.0002832580300648092,0.0008065895780991733,0.00027997276689062075,0.0005376999033525091
o1_gr_e07,A,0,0.0003281715543461825,0.0011031390454988505,0.0004097515713296944,0.0015515969032359194
o1_gr_e08,A,0,0.0002243600499773652,0.0006128342655230305,0.0003367248970706799,0.0009394037894669104
o1_gr_e09,A,0,0.0002220436218554716,0.0005587488043954698,0.00032187161018210406,0.0009061032012065391
o1_gr_e10,A,0,0.0003500037287097047,0.0011209605851562503,0.0003106730304545127,0.0010676740144116915
o1_gr_e11,A,0,0.00030406629670903156,0.0012530274116042616,0.00037497166772590916,0.001679128134673945
o1_gr_e12,A,0,0.00023038252480492925,0.0010947442650365944,0.00030627035116062747,0.0008948151896888806
o2-01_gr_e01,B,1,0.002630506830246916,0.004689499491082047,0.0032080127180045353,0.005252721694068683
o2-01_gr_e02,B,1,0.0025712757171717157,0.004166442252595155,0.002096430041317745,0.007833584545454545
o2-01_gr_e03,B,1,0.001826816748942714,0.01241458472222222,0.0022643849001040585,0.004164938501095689
o2-04_gr_e04,D,3,0.0008193209132311476,0.005757828260746906,0.0005940715802045855,0.008470444072663138
o2-04_gr_e05,D,3,0.0009462107145217385,0.0037360927535009213,0.0006165227568008904,0.003739636515432099
o2-04_gr_e06,D,3,0.0009262697705961051,0.0037732449554319543,0.000664216441343669,0.0026370808443753374
o2-07_gr_e07,B,1,0.0008982175225501773,0.0010486835053888231,0.0007504825641938482,0.0009209052689529039
o2-07_gr_e08,B,1,0.000884806195788792,0.0009896143617499995,0.0009689132000891071,0.0008962868618408302
o2-07_gr_e09,B,1,0.0012776988374715937,0.0010204399328285563,0.0010897988139718883,0.000868275870160609
o2-10_gr_e10,B,1,0.0005292358114237885,0.0007176978685650734,0.0005576363932800296,0.0007420403345231015
o2-10_gr_e11,A,0,0.00030187374391304355,0.001176995681581686,0.00033883215791636234,0.001576040152779795
o2-10_gr_e12,B,1,0.00041996820647012236,0.0008472846740032048,0.00039455508754437853,0.0007920385320011309
o2_gr_e01,C,2,0.0006636355999034771,0.002015471502685648,0.0018532627808443207,0.0010055421126289185
o2_gr_e02,C,2,0.000516958125941012,0.0011995316087860001,0.001553755274068664,0.0016017506897950627
o2_gr_e03,C,2,0.000614582526728597,0.0023837257074922845,0.002123397347052452,0.0014215634524511668
o2_gr_e04,B,1,0.0011585248672294894,0.0017675440733917161,0.0013683800457142872,0.0025684350748437505
o2_gr_e05,B,1,0.001164062456927999,0.0025100421484703424,0.0009604931205486972,0.004453196480558989
o2_gr_e06,B,1,0.0010915951118877325,0.0018166875691049387,0.0009716691742221981,0.006635791687349999
o2_gr_e07,B,1,0.0013503436538886387,0.0011383304035388466,0.002024101077674667,0.0018294758419095786
o2_gr_e08,B,1,0.0010954445828571424,0.0010080927356804124,0.0023629478370969666,0.0014775829732544374
o2_gr_e09,B,1,0.0009881331819284727,0.0011720009635753066,0.0022471396397397933,0.0016410211220479988
o2_gr_e10,C,2,0.0005890374452008773,0.001706795944908471,0.0017408403664279175,0.0024919440574077854
o2_gr_e11,C,2,0.00065412086932663,0.002081109199374054,0.0013255300749584486,0.002441886044019659
o2_gr_e12,C,2,0.0008667524611652798,0.0028595542153878124,0.002513061000679013,0.001730703008395062
o3_gr_e01,B,1,0.0009136959424586777,0.0010723428711012762,0.000828676093772827,0.000979458438934472
o3_gr_e02,B,1,0.0009675463772579777,0.0010663536257764568,0.0009013707656798307,0.0010286433611404963
o3_gr_e03,B,1,0.0007941093412538517,0.0011265142150395414,0.0009140153068525523,0.0009899344504282245
o3_gr_e04,C,2,0.0006347379862712031,0.0018872484347140044,0.0011592745297438016,0.0008471290415465497
o3_gr_e05,B,1,0.0006076852328791494,0.0010959488458333337,0.0010165958540816328,0.0012262829650768216
o3_gr_e06,B,1,0.0006652962502051251,0.0007940873419871918,0.0009593485067633659,0.0011084125370808674
o3_gr_e07,C,2,0.0006344724279336735,0.0011983033490910395,0.0009941844863276005,0.00077265441405
o3_gr_e08,B,1,0.0007202331871319856,0.001082320133709319,0.0009383960411764703,0.0010941370799227024
o3_gr_e09,C,2,0.0005925621406906373,0.0012134835860456489,0.0011513874490138073,0.0009455903445295477
o3_gr_e10,B,1,0.0010320622015102044,0.0008291094306679695,0.0009171494921117559,0.0009949335185707787
o3_gr_e11,B,1,0.0008960400654017309,0.0008268485627343371,0.0008237990920118342,0.0009701492071467213
o3_gr_e12,B,1,0.0009785195310321878,0.0007285026689459559,0.0009016073084027748,0.0009139389035545795
o4_gr_e01,A,0,0.00032186858956541407,0.0008176888898803327,0.00036419676209490726,0.0010411757354166662
o4_gr_e02,A,0,0.00028786112813692407,0.0008670574714458434,0.00033472472354064293,0.0011725153807040827
o4_gr_e03,A,0,0.0002959982093043999,0.0009885660691607275,0.0002768027443126373,0.0009625862034584237
o4_gr_e04,A,0,0.0003462568530504059,0.0005402748255173343,0.0005440320949071093,0.0010367831233572197
o4_gr_e05,A,0,0.0003419783687596572,0.0005756077796680345,0.0004929378009731837,0.0009855537014865556
o4_gr_e06,A,0,0.00035275171107382607,0.0006121935320130039,0.0005342564634037872,0.0012509162561608724
o4_gr_e07,A,0,0.00026253098071930825,0.0006129855857500004,0.0005032968789489801,0.001042947327153861
o4_gr_e08,A,0,0.00028083947638037933,0.0007645821599313227,0.00041922477170551416,0.0009426907539600006
o4_gr_e09,A,0,0.000260540963828775,0.0006906759792619302,0.0004726857304447986,0.0011683473552631576
o4_gr_e10,A,0,0.00042793080775228377,0.0014113642305925932,0.0004119048251342647,0.0006346491982292749
o4_gr_e11,A,0,0.0003762439080312175,0.0012699345162413955,0.00046053893407066904,0.0009100424934599997
o4_gr_e12,A,0,0.0004219352502679796,0.0014578082952380956,0.00037251411004678153,0.0007057135740406191
o5-01_gr_e01,B,1,0.0013964088970897794,0.004070447501005459,0.0014989501116727938,0.0028261329866178524
o5-01_gr_e02,B,1,0.0013540049929698765,0.0023169504874031945,0.0020774651263349947,0.002527428621666666
o5-01_gr_e03,B,1,0.0015452959178124995,0.0024504791292440002,0.001518191745666503,0.0027351760462603868
o5-04_gr_e04,D,3,0.00044904178573007466,0.004674572950289747,0.0006120245226833739,0.009883737412960765
o5-04_gr_e05,D,3,0.0004041429228723787,0.005827715222545457,0.0004981642865953949,0.002915809540915534
o5-04_gr_e06,D,3,0.0005050213533025762,0.018291938324,0.0006096124183884799,0.0060853169074567915
o5-07_gr_e07,B,1,0.0005132915468681589,0.0009465597428458184,0.0005781707699591837,0.0006810075199199998
o5-07_gr_e08,B,1,0.0006977092390552712,0.0007197390069999996,0.00036421205930492077,0.0004464379546241211
o5-07_gr_e09,B,1,0.0006381151232467068,0.0008736775838452542,0.000598956892769376,0.0006103471471301021
o5-10_gr_e10,A,0,0.00038165165453317874,0.0005939327038602938,0.0002378726436710698,0.0004414517943014705
o5-10_gr_e11,A,0,0.00029790200112222786,0.0007789028462606835,0.00017683288700657852,0.00031818053318518485
o5-10_gr_e12,A,0,0.00030794114680232583,0.0007766500149540292,0.00017675724753289508,0.00030663685842810117
o5_gr_e01,B,1,0.0008364847120596202,0.0010644763040590197,0.0007509256663903056,0.0009092037388459252
o5_gr_e02,B,1,0.0008683823896800003,0.0011865122844676886,0.0007356308202140305,0.0009458404049481054
o5_gr_e03,B,1,0.0007699186714485779,0.0010403827190271434,0.0008532698761678306,0.0009467751819100096
o5_gr_e04,B,1,0.0006934115894860014,0.0015138436397516921,0.0006701943920108146,0.0013167126475056691
o5_gr_e05,B,1,0.000578735742273149,0.0014108166923374095,0.0007866601854444444,0.0012828715361343972
o5_gr_e06,B,1,0.0006375508505247554,0.0013838249124799998,0.0007877206032553673,0.0011153967878069194
o5_gr_e07,C,2,0.0006915663708496092,0.0006223413963582889,0.0006983549684240363,0.005319352809155766
o5_gr_e08,B,1,0.0007059942380251734,0.0010154685862532992,0.000821371078443878,0.0009562703970717835
o5_gr_e09,B,1,0.0007319901742409928,0.001104344273863823,0.0007610378343192049,0.0012029042041421408
o5_gr_e10,B,1,0.0006452249377546402,0.001216986960347517,0.0006122554888449462,0.001102643007461735
o5_gr_e11,B,1,0.0006998059477124187,0.0014313153585908392,0.0005944693661351488,0.0010715842051033744
o5_gr_e12,C,2,0.0011783512947069936,0.0010316191321219866,0.0004983600075831023,0.0015382888882156055
