File,Class_GT,M1,M2,M3,M4
o1_gr_can ,Z,0.01,0.011,0.014,0.014
o1_gr_e01 ,B,0.033,0.07,0.04,0.091
o1_gr_e02 ,A,0.037,0.068,0.024,0.076
o1_gr_e03 ,C,0.04,0.105,0.034,0.092
o1_gr_e04 ,A,0.028,0.083,0.022,0.089
o1_gr_e05 ,B,0.026,0.087,0.031,0.134
o1_gr_e06 ,A,0.026,0.071,0.027,0.083
o1_gr_e07 ,C,0.041,0.145,0.037,0.103
o1_gr_e08 ,A,0.022,0.206,0.031,0.304
o1_gr_e09 ,B,0.029,0.065,0.034,0.273
o1_gr_e10 ,A,0.029,0.081,0.029,0.088
o1_gr_e11 ,C,0.035,0.106,0.034,0.104
o1_gr_e12 ,C,0.021,0.086,0.028,0.07
