File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9
o1_gr_can ,Z,0.011,0.012,0.011,0.009,0.013,0.011,0.013,0.016,0.015
o1_gr_e01 ,B,0.155,0.05,0.173,0.017,0.036,0.088,0.032,0.084,0.577
o1_gr_e02 ,A,0.041,0.051,0.077,0.015,0.035,0.08,0.023,0.049,0.091
o1_gr_e03 ,C,0.028,0.081,0.479,0.017,0.053,0.355,0.034,0.062,0.151
o1_gr_e04 ,A,0.032,0.045,0.242,0.014,0.043,0.153,0.013,0.057,0.108
o1_gr_e05 ,B,0.156,0.056,0.396,0.014,0.047,0.455,0.02,0.075,0.648
o1_gr_e06 ,A,0.024,0.043,0.085,0.015,0.037,0.089,0.024,0.055,0.136
o1_gr_e07 ,C,0.045,0.095,0.972,0.018,0.078,0.628,0.042,0.063,0.17
o1_gr_e08 ,A,0.011,0.057,0.546,0.012,0.036,0.544,0.032,0.054,0.472
o1_gr_e09 ,B,0.028,0.05,0.128,0.014,0.041,0.14,0.024,0.083,0.881
o1_gr_e10 ,A,0.033,0.049,0.102,0.015,0.044,0.237,0.027,0.058,0.259
o1_gr_e11 ,C,0.04,0.083,0.854,0.016,0.069,0.641,0.028,0.07,0.305
o1_gr_e12 ,C,0.017,0.05,0.269,0.013,0.036,0.084,0.026,0.052,0.082
