File,Class_GT,M1,M2,M3,M4
o1_gr_can ,Z,0.01,0.011,0.014,0.014
o1_gr_e01 ,B,0.033,0.07,0.04,0.091
o1_gr_e02 ,A,0.037,0.068,0.024,0.076
o1_gr_e03 ,C,0.04,0.105,0.034,0.092
o1_gr_e04 ,A,0.028,0.083,0.022,0.089
o1_gr_e05 ,B,0.026,0.087,0.031,0.134
o1_gr_e06 ,A,0.026,0.071,0.027,0.083
o1_gr_e07 ,C,0.041,0.145,0.037,0.103
o1_gr_e08 ,A,0.022,0.206,0.031,0.304
o1_gr_e09 ,B,0.029,0.065,0.034,0.273
o1_gr_e10 ,A,0.029,0.081,0.029,0.088
o1_gr_e11 ,C,0.035,0.106,0.034,0.104
o1_gr_e12 ,C,0.021,0.086,0.028,0.07
o2_gr_can ,Z,0.049,0.058,0.052,0.056
o2_gr_e01 ,D,0.836,0.754,0.532,0.7
o2_gr_e02 ,D,0.543,0.944,0.593,0.69
o2_gr_e03 ,E,0.525,0.346,0.191,0.179
o2_gr_e05 ,D,0.749,0.996,0.661,0.562
o2_gr_e06 ,D,0.689,0.979,0.584,0.685
o2_gr_e07 ,F,0.302,0.129,0.086,0.856
o2_gr_e09 ,D,0.706,0.924,0.671,0.547
o2_gr_e10 ,D,0.538,0.889,0.579,0.676
o2_gr_e11 ,E,0.136,0.687,0.101,0.542
o2_gr_e24 ,D,0.742,0.819,0.538,0.78
