File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1_gr_can ,Z,0.011,0.012,0.011,0.012,0.008,0.012,0.011,0.011,0.011,0.013,0.012,0.012,0.013,0.016,0.015,0.017
o1_gr_e01 ,B,0.318,0.044,0.065,0.311,0.025,0.026,0.05,0.086,0.013,0.028,0.066,0.102,0.027,0.068,0.118,0.965
o1_gr_e02 ,A,0.045,0.053,0.059,0.084,0.09,0.029,0.048,0.083,0.014,0.023,0.055,0.205,0.022,0.038,0.067,0.189
o1_gr_e03 ,C,0.026,0.065,0.108,0.825,0.022,0.039,0.09,0.644,0.016,0.029,0.079,0.595,0.034,0.052,0.081,0.417
o1_gr_e04 ,A,0.033,0.035,0.069,0.502,0.085,0.023,0.068,0.47,0.009,0.023,0.067,0.318,0.009,0.034,0.084,0.346
o1_gr_e05 ,B,0.372,0.034,0.088,0.539,0.084,0.025,0.071,0.617,0.013,0.026,0.078,0.858,0.019,0.052,0.111,0.982
o1_gr_e06 ,A,0.024,0.037,0.056,0.093,0.017,0.023,0.05,0.139,0.014,0.026,0.058,0.231,0.023,0.043,0.077,0.38
o1_gr_e07 ,C,0.05,0.053,0.123,1,0.025,0.037,0.12,1,0.019,0.033,0.107,0.817,0.043,0.052,0.081,0.456
o1_gr_e08 ,A,0.007,0.038,0.082,0.854,0.009,0.023,0.054,0.681,0.015,0.027,0.057,0.719,0.033,0.047,0.091,0.632
o1_gr_e09 ,B,0.029,0.047,0.061,0.289,0.016,0.023,0.048,0.112,0.012,0.032,0.078,0.645,0.023,0.057,0.308,1
o1_gr_e10 ,A,0.034,0.043,0.07,0.377,0.015,0.026,0.067,0.496,0.015,0.028,0.075,0.559,0.027,0.044,0.082,0.577
o1_gr_e11 ,C,0.214,0.046,0.106,1,0.042,0.034,0.107,1,0.013,0.035,0.1,0.831,0.026,0.05,0.094,0.566
o1_gr_e12 ,C,0.053,0.029,0.082,0.426,0.125,0.021,0.063,0.227,0.014,0.024,0.051,0.196,0.027,0.042,0.068,0.198
o2_gr_can ,Z,0.053,0.057,0.058,0.062,0.036,0.05,0.054,0.057,0.04,0.052,0.054,0.056,0.057,0.059,0.057,0.057
o2_gr_e01 ,D,1,1,1,1,0.717,0.673,0.422,0.539,0.039,0.183,0.21,0.394,0.979,1,1,1
o2_gr_e02 ,D,1,1,1,1,0.078,0.466,0.76,1,0.156,0.284,0.213,0.347,1,1,1,1
o2_gr_e03 ,F,1,0.878,0.168,1,0.716,0.125,0.152,1,0.306,0.081,0.179,1,1,0.414,0.178,1
o2_gr_e05 ,D,1,1,1,1,0.642,0.424,0.981,1,0.338,0.368,0.084,0.117,1,1,1,1
o2_gr_e06 ,D,1,1,1,1,0.472,0.369,0.926,0.983,0.117,0.285,0.273,0.269,1,1,1,1
o2_gr_e07 ,G,1,0.662,0.514,0.533,0.399,0.088,0.106,0.157,0.061,0.083,0.514,0.81,0.116,0.625,1,1
o2_gr_e09 ,D,1,1,1,1,0.549,0.356,0.852,0.828,0.359,0.384,0.085,0.114,1,1,1,1
o2_gr_e10 ,D,1,1,1,1,0.083,0.403,0.704,0.827,0.136,0.251,0.212,0.282,1,1,1,1
o2_gr_e11 ,F,0.925,0.653,0.541,1,0.171,0.098,0.214,1,0.284,0.109,0.29,1,1,0.481,0.139,1
o2_gr_e24 ,D,1,1,1,1,0.437,0.6,0.587,0.649,0.079,0.154,0.375,0.599,1,1,1,1
