File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o2_gr_can ,Z,0.052,0.057,0.058,0.059,0.063,0.046,0.052,0.054,0.055,0.058,0.028,0.044,0.053,0.053,0.057,0.051,0.056,0.056,0.055,0.057,0.057,0.06,0.058,0.057,0.057
o2_gr_e01 ,D,1,1,1,1,1,1,1,1,1,1,0.339,0.044,0.077,0.124,0.157,0.626,0.523,1,0.886,0.909,1,1,1,1,1
o2_gr_e02 ,D,1,1,1,1,1,0.1,0.644,1,1,1,0.173,0.048,0.066,0.091,0.398,0.771,0.675,0.788,0.698,0.88,1,1,1,1,1
o2_gr_e03 ,F,1,1,0.66,0.391,1,1,0.436,0.137,0.171,1,0.357,0.066,0.145,1,1,1,0.228,0.14,0.356,1,1,0.847,0.152,0.237,1
o2_gr_e05 ,D,1,1,1,1,1,1,1,1,1,1,0.295,0.049,0.07,0.332,0.502,0.962,0.95,0.764,0.397,0.333,1,1,1,1,1
o2_gr_e06 ,D,1,1,1,1,1,0.9,0.721,1,1,1,0.194,0.047,0.065,0.094,0.309,0.581,0.7,0.762,0.668,0.881,1,1,1,1,1
o2_gr_e07 ,G,1,0.936,0.665,0.575,0.657,1,0.112,0.095,0.12,0.157,0.313,0.058,0.088,0.139,0.487,0.101,0.082,0.111,0.948,1,0.255,0.336,1,1,1
o2_gr_e09 ,D,1,1,1,1,1,1,0.875,1,1,1,0.355,0.057,0.098,0.095,0.236,1,0.826,0.921,0.401,0.428,1,1,1,1,1
o2_gr_e10 ,D,1,1,1,1,1,0.103,0.854,1,1,1,0.152,0.067,0.068,0.095,0.259,0.695,0.577,0.814,0.789,0.857,1,1,1,1,1
o2_gr_e11 ,F,1,0.958,0.488,0.806,1,0.727,0.117,0.12,0.877,1,0.313,0.056,0.149,1,1,0.964,0.102,0.136,0.853,1,1,0.878,0.203,0.208,1
o2_gr_e24 ,D,1,1,1,1,1,0.951,0.938,1,1,1,0.116,0.048,0.064,0.081,0.125,0.581,0.455,0.894,1,1,1,1,1,1,1
