File,Class_GT,M1,M2,M3,M4,Class_GT_n
o1_gr_can,A,0.02,0.023,0.015,0.018,0
o1_gr_e01,B,0.034,0.074,0.028,0.072,1
o1_gr_e02,B,0.018,0.063,0.033,0.063,1
o1_gr_e03,B,0.024,0.073,0.02,0.042,1
o1_gr_e04,B,0.019,0.059,0.018,0.04,1
o1_gr_e05,B,0.018,0.061,0.023,0.05,1
o1_gr_e06,B,0.023,0.076,0.017,0.042,1
o1_gr_e07,B,0.035,0.073,0.029,0.089,1
o1_gr_e08,B,0.041,0.045,0.027,0.071,1
o1_gr_e09,B,0.034,0.041,0.027,0.07,1
o1_gr_e10,B,0.03,0.07,0.019,0.068,1
o1_gr_e11,B,0.025,0.094,0.035,0.115,1
o1_gr_e12,B,0.019,0.076,0.022,0.066,1
o2_gr_can,A,0.02,0.02,0.02,0.02,0
o2_gr_e01,D,0.074,0.185,0.108,0.128,3
o2_gr_e02,D,0.038,0.13,0.106,0.129,3
o2_gr_e03,D,0.064,0.156,0.119,0.125,3
o2_gr_e04,C,0.106,0.126,0.12,0.132,2
o2_gr_e05,C,0.121,0.139,0.084,0.149,2
o2_gr_e06,C,0.118,0.124,0.081,0.15,2
o2_gr_e07,C,0.115,0.107,0.119,0.133,2
o2_gr_e08,C,0.104,0.093,0.112,0.117,2
o2_gr_e09,C,0.114,0.105,0.117,0.125,2
o2_gr_e10,C,0.063,0.143,0.147,0.146,2
o2_gr_e11,C,0.067,0.153,0.147,0.15,2
o2_gr_e12,C,0.071,0.139,0.133,0.125,2
o3_gr_can,A,0.023,0.026,0.021,0.021,0
o3_gr_e01,C,0.06,0.082,0.056,0.078,2
o3_gr_e02,C,0.061,0.083,0.056,0.081,2
o3_gr_e03,C,0.054,0.086,0.056,0.079,2
o3_gr_e04,E,0.059,0.118,0.071,0.069,4
o3_gr_e05,C,0.047,0.08,0.069,0.085,2
o3_gr_e06,C,0.048,0.068,0.064,0.085,2
o3_gr_e07,E,0.054,0.108,0.055,0.076,4
o3_gr_e08,C,0.051,0.094,0.064,0.089,2
o3_gr_e09,E,0.05,0.112,0.062,0.093,4
o3_gr_e10,C,0.068,0.067,0.062,0.078,2
o3_gr_e11,C,0.065,0.064,0.057,0.071,2
o3_gr_e12,C,0.065,0.066,0.062,0.073,2
o4_gr_can,A,0.015,0.021,0.019,0.023,0
o4_gr_e01,B,0.029,0.046,0.029,0.058,1
o4_gr_e02,B,0.033,0.046,0.028,0.063,1
o4_gr_e03,B,0.026,0.053,0.026,0.051,1
o4_gr_e04,B,0.039,0.038,0.041,0.07,1
o4_gr_e05,B,0.032,0.038,0.039,0.069,1
o4_gr_e06,B,0.035,0.042,0.042,0.076,1
o4_gr_e07,B,0.035,0.043,0.041,0.078,1
o4_gr_e08,B,0.019,0.045,0.028,0.055,1
o4_gr_e09,B,0.032,0.044,0.037,0.076,1
o4_gr_e10,B,0.031,0.077,0.039,0.043,1
o4_gr_e11,B,0.029,0.069,0.033,0.053,1
o4_gr_e12,B,0.029,0.073,0.042,0.042,1
o5_gr_can,A,0.018,0.014,0.021,0.018,0
o5_gr_e01,C,0.057,0.088,0.052,0.084,2
o5_gr_e02,C,0.063,0.088,0.051,0.082,2
o5_gr_e03,C,0.057,0.091,0.06,0.089,2
o5_gr_e04,C,0.056,0.107,0.054,0.1,2
o5_gr_e05,C,0.048,0.101,0.054,0.096,2
o5_gr_e06,C,0.053,0.103,0.051,0.094,2
o5_gr_e07,E,0.09,0.062,0.068,0.165,4
o5_gr_e08,C,0.05,0.085,0.055,0.085,2
o5_gr_e09,C,0.056,0.097,0.06,0.102,2
o5_gr_e10,C,0.047,0.1,0.056,0.096,2
o5_gr_e11,C,0.055,0.102,0.054,0.095,2
o5_gr_e12,E,0.077,0.089,0.049,0.116,4
