File,Class_GT_n,label
o1_gr_can,0,3
o1_gr_e01,1,1
o1_gr_e02,1,1
o1_gr_e03,1,1
o1_gr_e04,1,1
o1_gr_e05,1,1
o1_gr_e06,1,1
o1_gr_e07,1,1
o1_gr_e08,1,1
o1_gr_e09,1,1
o1_gr_e10,1,1
o1_gr_e11,1,0
o1_gr_e12,1,1
o2_gr_can,0,3
o2_gr_e01,3,4
o2_gr_e02,3,4
o2_gr_e03,3,4
o2_gr_e04,2,2
o2_gr_e05,2,2
o2_gr_e06,2,2
o2_gr_e07,2,2
o2_gr_e08,2,2
o2_gr_e09,2,2
o2_gr_e10,2,4
o2_gr_e11,2,4
o2_gr_e12,2,4
o3_gr_can,0,3
o3_gr_e01,2,0
o3_gr_e02,2,0
o3_gr_e03,2,0
o3_gr_e04,4,0
o3_gr_e05,2,0
o3_gr_e06,2,0
o3_gr_e07,4,0
o3_gr_e08,2,0
o3_gr_e09,4,0
o3_gr_e10,2,0
o3_gr_e11,2,0
o3_gr_e12,2,0
o4_gr_can,0,3
o4_gr_e01,1,1
o4_gr_e02,1,1
o4_gr_e03,1,1
o4_gr_e04,1,1
o4_gr_e05,1,1
o4_gr_e06,1,1
o4_gr_e07,1,1
o4_gr_e08,1,1
o4_gr_e09,1,1
o4_gr_e10,1,1
o4_gr_e11,1,1
o4_gr_e12,1,1
o5_gr_can,0,3
o5_gr_e01,2,0
o5_gr_e02,2,0
o5_gr_e03,2,0
o5_gr_e04,2,0
o5_gr_e05,2,0
o5_gr_e06,2,0
o5_gr_e07,4,2
o5_gr_e08,2,0
o5_gr_e09,2,0
o5_gr_e10,2,0
o5_gr_e11,2,0
o5_gr_e12,4,0
