File,M1,M2,M3,M4
o1_gr_can,0.016,0.026,0.016,0.023
o1_gr_e01,0.014,0.083,0.03,0.078
o1_gr_e02,0.013,0.069,0.036,0.07
o1_gr_e03,0.024,0.085,0.021,0.06
o1_gr_e04,0.019,0.07,0.019,0.052
o1_gr_e05,0.016,0.072,0.023,0.053
o1_gr_e06,0.023,0.078,0.018,0.054
o1_gr_e07,0.02,0.081,0.032,0.096
o1_gr_e08,0.022,0.058,0.03,0.077
o1_gr_e09,0.013,0.055,0.03,0.076
o1_gr_e10,0.026,0.081,0.022,0.076
o1_gr_e11,0.027,0.111,0.038,0.128
o1_gr_e12,0.017,0.089,0.025,0.076
o2_gr_can,0.018,0.02,0.019,0.02
o2_gr_e01,0.074,0.177,0.08,0.12
o2_gr_e02,0.038,0.13,0.092,0.127
o2_gr_e03,0.064,0.156,0.105,0.122
o2_gr_e04,0.091,0.126,0.111,0.131
o2_gr_e05,0.107,0.139,0.066,0.148
o2_gr_e06,0.106,0.124,0.068,0.149
o2_gr_e07,0.1,0.107,0.107,0.131
o2_gr_e08,0.091,0.093,0.103,0.115
o2_gr_e09,0.1,0.105,0.106,0.123
o2_gr_e10,0.063,0.151,0.153,0.153
o2_gr_e11,0.067,0.159,0.144,0.153
o2_gr_e12,0.066,0.139,0.125,0.122
o3_gr_can,0.019,0.033,0.022,0.03
o3_gr_e01,0.056,0.098,0.061,0.102
o3_gr_e02,0.057,0.1,0.061,0.103
o3_gr_e03,0.052,0.103,0.063,0.103
o3_gr_e04,0.063,0.131,0.072,0.106
o3_gr_e05,0.043,0.103,0.073,0.108
o3_gr_e06,0.042,0.095,0.067,0.108
o3_gr_e07,0.059,0.124,0.059,0.105
o3_gr_e08,0.052,0.112,0.07,0.111
o3_gr_e09,0.058,0.127,0.067,0.115
o3_gr_e10,0.053,0.09,0.067,0.102
o3_gr_e11,0.057,0.084,0.061,0.094
o3_gr_e12,0.053,0.086,0.066,0.097
o4_gr_can,0.013,0.028,0.017,0.028
o4_gr_e01,0.02,0.066,0.034,0.073
o4_gr_e02,0.021,0.069,0.035,0.079
o4_gr_e03,0.026,0.065,0.027,0.064
o4_gr_e04,0.019,0.068,0.048,0.094
o4_gr_e05,0.02,0.074,0.045,0.094
o4_gr_e06,0.021,0.07,0.049,0.099
o4_gr_e07,0.018,0.077,0.048,0.1
o4_gr_e08,0.021,0.061,0.032,0.066
o4_gr_e09,0.018,0.074,0.044,0.093
o4_gr_e10,0.04,0.097,0.027,0.075
o4_gr_e11,0.03,0.09,0.034,0.079
o4_gr_e12,0.037,0.095,0.03,0.075
o5_gr_can,0.014,0.021,0.02,0.024
o5_gr_e01,0.052,0.103,0.06,0.106
o5_gr_e02,0.054,0.104,0.06,0.106
o5_gr_e03,0.045,0.111,0.06,0.116
o5_gr_e04,0.056,0.119,0.058,0.119
o5_gr_e05,0.052,0.112,0.06,0.112
o5_gr_e06,0.056,0.114,0.057,0.112
o5_gr_e07,0.04,0.127,0.072,0.188
o5_gr_e08,0.048,0.104,0.062,0.106
o5_gr_e09,0.05,0.122,0.07,0.129
o5_gr_e10,0.05,0.116,0.063,0.119
o5_gr_e11,0.057,0.115,0.061,0.115
o5_gr_e12,0.061,0.117,0.059,0.135
