File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9
o1_gr_can,A,0.021,0.022,0.02,0.021,0.023,0.018,0.023,0.023,0.022
o1_gr_e01,B,0.072,0.067,0.097,0.051,0.049,0.101,0.045,0.102,0.143
o1_gr_e02,A,0.056,0.062,0.09,0.038,0.059,0.096,0.04,0.064,0.101
o1_gr_e03,C,0.06,0.081,0.145,0.046,0.063,0.14,0.054,0.077,0.13
o1_gr_e04,A,0.069,0.057,0.127,0.056,0.061,0.118,0.035,0.067,0.122
o1_gr_e05,B,0.074,0.06,0.133,0.06,0.06,0.14,0.04,0.092,0.149
o1_gr_e06,A,0.055,0.065,0.102,0.045,0.06,0.105,0.041,0.067,0.117
o1_gr_e07,C,0.079,0.108,0.181,0.05,0.089,0.17,0.068,0.071,0.143
o1_gr_e08,A,0.039,0.056,0.09,0.04,0.057,0.091,0.048,0.073,0.092
o1_gr_e09,B,0.063,0.067,0.099,0.059,0.06,0.113,0.038,0.103,0.14
o1_gr_e10,A,0.065,0.066,0.118,0.042,0.059,0.122,0.052,0.07,0.122
o1_gr_e11,C,0.082,0.092,0.162,0.042,0.081,0.155,0.055,0.083,0.147
o1_gr_e12,C,0.066,0.057,0.118,0.059,0.058,0.099,0.055,0.067,0.103
o2_gr_can,A,0.04,0.043,0.045,0.037,0.044,0.044,0.044,0.043,0.044
o2_gr_e01,D,0.152,0.154,0.163,0.065,0.108,0.148,0.166,0.166,0.166
o2_gr_e02,D,1.059,1.442,1.442,0.486,0.571,0.886,1.442,1.442,1.442
o2_gr_e03,F,0.159,0.132,0.241,0.052,0.154,0.241,0.168,0.158,0.241
o2_gr_e05,D,0.288,0.345,0.345,0.139,0.156,0.197,0.345,0.345,0.338
o2_gr_e06,D,1.098,1.523,1.523,0.48,0.715,0.874,1.523,1.523,1.523
o2_gr_e07,G,0.076,0.1,0.162,0.057,0.158,0.194,0.14,0.202,0.202
o2_gr_e09,D,0.095,0.116,0.116,0.067,0.082,0.101,0.116,0.116,0.116
o2_gr_e10,D,1.469,1.917,2.015,0.606,0.76,0.991,2.015,2.015,2.015
o2_gr_e11,F,0.081,0.181,0.242,0.076,0.21,0.242,0.171,0.134,0.242
o2_gr_e24,D,0.091,0.098,0.1,0.048,0.076,0.092,0.101,0.101,0.101
