File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1_gr_can,A,0.022,0.021,0.021,0.021,0.019,0.022,0.022,0.015,0.023,0.023,0.021,0.02,0.024,0.024,0.023,0.023
o1_gr_e01,B,0.076,0.045,0.081,0.097,0.049,0.057,0.073,0.097,0.059,0.047,0.084,0.127,0.038,0.092,0.138,0.148
o1_gr_e02,A,0.061,0.047,0.072,0.091,0.042,0.046,0.068,0.096,0.045,0.047,0.074,0.104,0.048,0.053,0.083,0.107
o1_gr_e03,C,0.076,0.062,0.107,0.153,0.056,0.039,0.096,0.15,0.071,0.049,0.09,0.146,0.064,0.062,0.101,0.138
o1_gr_e04,A,0.076,0.046,0.082,0.134,0.042,0.051,0.08,0.13,0.064,0.047,0.084,0.124,0.05,0.047,0.096,0.13
o1_gr_e05,B,0.078,0.04,0.091,0.14,0.071,0.034,0.082,0.148,0.064,0.043,0.094,0.153,0.06,0.07,0.124,0.153
o1_gr_e06,A,0.052,0.049,0.076,0.106,0.037,0.055,0.073,0.107,0.06,0.044,0.076,0.119,0.049,0.057,0.091,0.128
o1_gr_e07,C,0.079,0.056,0.141,0.181,0.055,0.05,0.132,0.181,0.089,0.048,0.11,0.178,0.081,0.068,0.091,0.157
o1_gr_e08,A,0.045,0.038,0.072,0.095,0.04,0.039,0.066,0.095,0.048,0.044,0.076,0.094,0.054,0.063,0.086,0.095
o1_gr_e09,B,0.066,0.045,0.077,0.1,0.06,0.049,0.069,0.108,0.074,0.054,0.095,0.137,0.055,0.077,0.138,0.14
o1_gr_e10,A,0.064,0.055,0.075,0.126,0.045,0.053,0.081,0.127,0.051,0.043,0.088,0.129,0.066,0.056,0.096,0.13
o1_gr_e11,C,0.082,0.049,0.123,0.163,0.059,0.048,0.118,0.163,0.063,0.052,0.109,0.16,0.07,0.067,0.114,0.154
o1_gr_e12,C,0.073,0.033,0.082,0.126,0.068,0.045,0.065,0.109,0.067,0.053,0.076,0.104,0.068,0.055,0.087,0.113
o2_gr_can,A,0.041,0.042,0.044,0.045,0.033,0.041,0.043,0.044,0.042,0.043,0.044,0.044,0.046,0.043,0.043,0.045
o2_gr_e01,D,0.166,0.166,0.166,0.166,0.056,0.064,0.114,0.152,0.122,0.157,0.157,0.163,0.166,0.166,0.166,0.166
o2_gr_e02,D,1.06,1.442,1.442,1.442,0.382,0.59,0.686,0.947,1.09,1.074,1.101,1.305,1.442,1.442,1.442,1.442
o2_gr_e03,F,0.185,0.122,0.222,0.241,0.077,0.131,0.241,0.241,0.13,0.135,0.24,0.241,0.211,0.145,0.23,0.241
o2_gr_e05,D,0.335,0.345,0.345,0.345,0.071,0.119,0.244,0.263,0.312,0.247,0.241,0.221,0.345,0.345,0.345,0.345
o2_gr_e06,D,1.212,1.523,1.523,1.523,0.297,0.8,0.646,0.915,1.177,1.075,1.214,1.349,1.523,1.523,1.523,1.523
o2_gr_e07,G,0.097,0.083,0.116,0.167,0.038,0.064,0.13,0.192,0.062,0.118,0.202,0.202,0.149,0.202,0.202,0.202
o2_gr_e09,D,0.106,0.116,0.116,0.116,0.038,0.077,0.092,0.107,0.102,0.107,0.102,0.11,0.116,0.116,0.116,0.116
o2_gr_e10,D,1.844,2.015,2.015,2.015,0.42,0.452,0.564,1.155,1.378,1.535,1.6,1.702,2.015,2.015,2.015,2.015
o2_gr_e11,F,0.093,0.105,0.242,0.242,0.037,0.133,0.242,0.242,0.105,0.125,0.242,0.242,0.219,0.112,0.194,0.242
o2_gr_e24,D,0.097,0.101,0.101,0.101,0.048,0.057,0.077,0.091,0.073,0.094,0.1,0.101,0.101,0.101,0.101,0.101
