File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1_gr_can,A,0.022,0.023,0.021,0.022,0.022,0.018,0.023,0.021,0.021,0.019,0.019,0.022,0.02,0.014,0.018,0.023,0.024,0.022,0.022,0.024,0.023,0.024,0.022,0.022,0.023
o1_gr_e01,B,0.073,0.069,0.064,0.091,0.103,0.067,0.065,0.061,0.088,0.1,0.045,0.044,0.044,0.073,0.111,0.052,0.047,0.083,0.107,0.145,0.034,0.081,0.132,0.146,0.148
o1_gr_e02,A,0.058,0.06,0.058,0.078,0.099,0.052,0.058,0.064,0.073,0.099,0.015,0.035,0.044,0.074,0.103,0.051,0.062,0.062,0.087,0.108,0.032,0.043,0.065,0.088,0.109
o1_gr_e03,C,0.088,0.053,0.084,0.123,0.154,0.088,0.054,0.072,0.121,0.154,0.016,0.028,0.06,0.114,0.154,0.081,0.059,0.083,0.106,0.152,0.044,0.057,0.075,0.102,0.145
o1_gr_e04,A,0.072,0.065,0.055,0.103,0.138,0.052,0.075,0.057,0.1,0.136,0.045,0.038,0.049,0.094,0.131,0.065,0.05,0.06,0.099,0.132,0.025,0.036,0.071,0.11,0.133
o1_gr_e05,B,0.078,0.059,0.067,0.112,0.146,0.082,0.066,0.052,0.095,0.151,0.033,0.04,0.056,0.102,0.153,0.082,0.051,0.073,0.122,0.153,0.039,0.056,0.107,0.142,0.153
o1_gr_e06,A,0.05,0.064,0.058,0.087,0.111,0.037,0.069,0.06,0.084,0.115,0.027,0.042,0.046,0.081,0.122,0.06,0.055,0.061,0.092,0.128,0.036,0.045,0.071,0.103,0.131
o1_gr_e07,C,0.088,0.061,0.114,0.179,0.181,0.071,0.062,0.094,0.166,0.181,0.039,0.03,0.085,0.139,0.181,0.087,0.081,0.071,0.121,0.181,0.06,0.066,0.067,0.105,0.173
o1_gr_e08,A,0.047,0.035,0.062,0.081,0.098,0.042,0.043,0.05,0.076,0.097,0.036,0.034,0.047,0.077,0.098,0.047,0.045,0.068,0.083,0.096,0.047,0.057,0.075,0.088,0.097
o1_gr_e09,B,0.07,0.054,0.064,0.086,0.11,0.082,0.061,0.058,0.077,0.111,0.051,0.039,0.055,0.088,0.133,0.075,0.045,0.099,0.125,0.14,0.038,0.058,0.134,0.14,0.14
o1_gr_e10,A,0.06,0.073,0.058,0.095,0.129,0.056,0.066,0.062,0.096,0.13,0.02,0.037,0.056,0.102,0.131,0.059,0.055,0.074,0.104,0.131,0.048,0.058,0.071,0.107,0.131
o1_gr_e11,C,0.077,0.087,0.09,0.157,0.163,0.076,0.065,0.082,0.147,0.163,0.046,0.032,0.08,0.129,0.163,0.066,0.052,0.079,0.123,0.163,0.052,0.059,0.084,0.117,0.159
o1_gr_e12,C,0.077,0.047,0.054,0.102,0.133,0.081,0.067,0.044,0.082,0.121,0.044,0.054,0.041,0.069,0.107,0.071,0.068,0.062,0.089,0.111,0.056,0.046,0.07,0.083,0.119
o2_gr_can,A,0.042,0.044,0.042,0.044,0.046,0.032,0.042,0.042,0.044,0.046,0.035,0.042,0.041,0.043,0.044,0.044,0.044,0.043,0.044,0.045,0.046,0.044,0.04,0.041,0.046
o2_gr_e01,D,0.166,0.166,0.166,0.166,0.166,0.086,0.118,0.108,0.135,0.161,0.038,0.061,0.111,0.122,0.16,0.151,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166
o2_gr_e02,D,1.261,1.442,1.442,1.442,1.442,0.121,0.936,0.985,1.065,1.442,0.311,0.323,0.387,0.489,0.679,1.442,1.442,1.442,1.442,1.442,1.442,1.442,1.442,1.442,1.442
o2_gr_e03,F,0.216,0.12,0.139,0.241,0.241,0.117,0.092,0.183,0.241,0.241,0.06,0.092,0.197,0.241,0.241,0.169,0.091,0.17,0.241,0.241,0.225,0.123,0.171,0.241,0.241
o2_gr_e05,D,0.345,0.345,0.345,0.345,0.345,0.119,0.151,0.33,0.345,0.345,0.124,0.146,0.066,0.087,0.186,0.345,0.345,0.338,0.297,0.287,0.345,0.345,0.345,0.345,0.345
o2_gr_e06,D,1.444,1.523,1.523,1.523,1.523,0.118,0.744,1.281,1.205,1.444,0.377,0.536,0.31,0.279,0.719,1.482,1.523,1.523,1.523,1.523,1.523,1.523,1.523,1.523,1.523
o2_gr_e07,G,0.108,0.097,0.105,0.13,0.179,0.048,0.074,0.084,0.136,0.197,0.036,0.073,0.18,0.192,0.202,0.083,0.132,0.202,0.202,0.202,0.138,0.202,0.202,0.202,0.202
o2_gr_e09,D,0.114,0.116,0.116,0.116,0.116,0.047,0.092,0.099,0.108,0.114,0.047,0.079,0.067,0.086,0.104,0.116,0.116,0.116,0.113,0.115,0.116,0.116,0.116,0.116,0.116
o2_gr_e10,D,1.912,2.015,2.015,2.015,2.015,0.636,0.54,1.26,1.002,1.961,0.294,0.503,0.454,0.471,0.93,1.96,2.015,2.015,2.015,2.015,2.015,2.015,2.015,2.015,2.015
o2_gr_e11,F,0.102,0.094,0.195,0.242,0.242,0.048,0.116,0.242,0.242,0.242,0.042,0.138,0.242,0.242,0.242,0.159,0.104,0.187,0.242,0.242,0.227,0.149,0.122,0.242,0.242
o2_gr_e24,D,0.101,0.101,0.101,0.101,0.101,0.052,0.076,0.076,0.089,0.097,0.036,0.053,0.075,0.088,0.095,0.095,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101
