File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,Class_GT_n
o1_gr_can,Z,0.017,0.019,0.021,0.009,0.044,0.033,0.012,0.014,0.017,0
o1_gr_e01,A,0.048,0.043,0.132,0.011,0.044,0.127,0.029,0.053,0.088,1
o1_gr_e02,A,0.023,0.029,0.115,0.01,0.031,0.087,0.039,0.051,0.073,1
o1_gr_e03,B,0.019,0.047,0.09,0.01,0.027,0.063,0.024,0.027,0.042,2
o1_gr_e04,B,0.017,0.036,0.076,0.008,0.019,0.062,0.02,0.026,0.041,2
o1_gr_e05,B,0.015,0.03,0.073,0.008,0.02,0.077,0.029,0.025,0.053,2
o1_gr_e06,B,0.023,0.039,0.095,0.009,0.02,0.078,0.02,0.022,0.035,2
o1_gr_e07,C,0.012,0.045,0.083,0.016,0.052,0.108,0.024,0.071,0.162,3
o1_gr_e08,C,0.085,0.02,0.039,0.022,0.029,0.061,0.026,0.055,0.088,3
o1_gr_e09,C,0.045,0.034,0.035,0.012,0.028,0.057,0.023,0.056,0.085,3
o1_gr_e10,A,0.028,0.044,0.1,0.011,0.046,0.099,0.017,0.045,0.101,1
o1_gr_e11,A,0.018,0.05,0.117,0.013,0.068,0.186,0.024,0.069,0.169,1
o1_gr_e12,B,0.015,0.038,0.13,0.01,0.038,0.104,0.023,0.039,0.072,2
o2_gr_can,Z,0.04,0.025,0.009,0.009,0.046,0.01,0.009,0.014,0.01,0
o2_gr_e01,E,0.101,0.105,0.265,0.028,0.067,0.105,0.262,0.146,0.097,5
o2_gr_e02,E,0.112,0.049,0.176,0.018,0.054,0.11,0.28,0.221,0.123,5
o2_gr_e03,E,0.098,0.093,0.259,0.022,0.068,0.114,0.276,0.182,0.12,5
o2_gr_e04,D,0.28,0.28,0.28,0.031,0.077,0.076,0.28,0.28,0.273,4
o2_gr_e05,D,0.28,0.28,0.274,0.035,0.075,0.084,0.114,0.276,0.28,4
o2_gr_e06,D,0.28,0.28,0.278,0.034,0.074,0.068,0.133,0.274,0.28,4
o2_gr_e07,D,0.278,0.228,0.106,0.036,0.064,0.082,0.28,0.248,0.196,4
o2_gr_e08,D,0.28,0.26,0.098,0.051,0.057,0.068,0.265,0.234,0.166,4
o2_gr_e09,D,0.28,0.28,0.098,0.034,0.054,0.074,0.276,0.228,0.169,4
o2_gr_e10,D,0.047,0.122,0.245,0.019,0.061,0.1,0.28,0.28,0.238,4
o2_gr_e11,D,0.055,0.171,0.261,0.017,0.056,0.101,0.28,0.28,0.255,4
o2_gr_e12,D,0.08,0.222,0.277,0.033,0.085,0.074,0.28,0.28,0.259,4
o3_gr_can,Z,0.064,0.055,0.021,0.023,0.053,0.018,0.062,0.068,0.016,0
o3_gr_e01,D,0.15,0.171,0.148,0.026,0.041,0.05,0.111,0.144,0.119,4
o3_gr_e02,D,0.158,0.163,0.153,0.027,0.045,0.053,0.131,0.156,0.128,4
o3_gr_e03,D,0.136,0.17,0.147,0.027,0.041,0.049,0.146,0.146,0.118,4
o3_gr_e04,E,0.059,0.133,0.23,0.029,0.055,0.07,0.199,0.142,0.082,5
o3_gr_e05,D,0.076,0.128,0.141,0.031,0.036,0.047,0.164,0.183,0.191,4
o3_gr_e06,D,0.119,0.134,0.1,0.032,0.037,0.044,0.165,0.181,0.172,4
o3_gr_e07,E,0.056,0.117,0.159,0.022,0.042,0.067,0.157,0.161,0.082,5
o3_gr_e08,D,0.102,0.144,0.133,0.028,0.048,0.06,0.139,0.182,0.133,4
o3_gr_e09,E,0.047,0.084,0.148,0.036,0.041,0.086,0.143,0.121,0.101,5
o3_gr_e10,D,0.191,0.164,0.097,0.03,0.043,0.048,0.131,0.13,0.123,4
o3_gr_e11,D,0.149,0.15,0.103,0.03,0.042,0.045,0.124,0.148,0.11,4
o3_gr_e12,D,0.183,0.163,0.078,0.031,0.04,0.046,0.141,0.138,0.11,4
o4_gr_can,Z,0.037,0.035,0.05,0.029,0.039,0.045,0.051,0.041,0.046,0
o4_gr_e01,A,0.052,0.06,0.091,0.013,0.032,0.081,0.03,0.052,0.094,1
o4_gr_e02,A,0.049,0.057,0.085,0.012,0.036,0.096,0.027,0.057,0.108,1
o4_gr_e03,A,0.027,0.048,0.095,0.01,0.034,0.086,0.016,0.039,0.099,1
o4_gr_e04,C,0.072,0.061,0.039,0.03,0.029,0.054,0.043,0.073,0.119,3
o4_gr_e05,C,0.063,0.06,0.04,0.024,0.028,0.048,0.041,0.069,0.105,3
o4_gr_e06,C,0.052,0.051,0.043,0.02,0.033,0.059,0.043,0.079,0.126,3
o4_gr_e07,A,0.075,0.056,0.045,0.014,0.034,0.064,0.042,0.071,0.1,1
o4_gr_e08,A,0.018,0.051,0.067,0.012,0.031,0.066,0.032,0.056,0.083,1
o4_gr_e09,A,0.053,0.052,0.051,0.015,0.038,0.067,0.038,0.07,0.105,1
o4_gr_e10,B,0.026,0.07,0.135,0.039,0.036,0.066,0.072,0.033,0.046,2
o4_gr_e11,B,0.074,0.047,0.121,0.024,0.038,0.086,0.036,0.045,0.077,2
o4_gr_e12,B,0.025,0.065,0.133,0.028,0.037,0.076,0.068,0.047,0.062,2
o5_gr_can,Z,0.018,0.059,0.008,0.047,0.061,0.011,0.047,0.015,0.015,0
o5_gr_e01,D,0.142,0.155,0.149,0.024,0.04,0.051,0.106,0.105,0.094,4
o5_gr_e02,D,0.153,0.172,0.129,0.026,0.042,0.055,0.097,0.111,0.093,4
o5_gr_e03,D,0.128,0.176,0.14,0.023,0.038,0.049,0.166,0.134,0.103,4
o5_gr_e04,D,0.069,0.136,0.227,0.021,0.044,0.062,0.064,0.132,0.221,4
o5_gr_e05,D,0.044,0.125,0.209,0.02,0.044,0.065,0.08,0.2,0.206,4
o5_gr_e06,D,0.052,0.141,0.22,0.021,0.047,0.066,0.086,0.181,0.172,4
o5_gr_e07,C,0.183,0.12,0.057,0.054,0.041,0.074,0.069,0.193,0.24,3
o5_gr_e08,D,0.096,0.12,0.118,0.022,0.038,0.053,0.095,0.131,0.093,4
o5_gr_e09,D,0.095,0.093,0.114,0.019,0.044,0.075,0.068,0.104,0.161,4
o5_gr_e10,D,0.06,0.138,0.18,0.019,0.043,0.063,0.061,0.094,0.173,4
o5_gr_e11,D,0.059,0.15,0.207,0.022,0.048,0.065,0.058,0.086,0.148,4
o5_gr_e12,D,0.171,0.134,0.088,0.03,0.046,0.067,0.044,0.092,0.219,4
