File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1_gr_can,Z,0.024,0.021,0.019,0.021,0.009,0.018,0.053,0.024,0.01,0.025,0.054,0.053,0.011,0.025,0.012,0.017
o1_gr_e01,A,0.052,0.019,0.07,0.175,0.059,0.022,0.067,0.176,0.013,0.028,0.067,0.171,0.029,0.044,0.067,0.125
o1_gr_e02,A,0.051,0.009,0.048,0.17,0.02,0.015,0.045,0.127,0.015,0.023,0.05,0.129,0.042,0.05,0.059,0.08
o1_gr_e03,B,0.022,0.031,0.069,0.114,0.011,0.017,0.047,0.089,0.012,0.02,0.035,0.06,0.026,0.028,0.03,0.041
o1_gr_e04,B,0.017,0.03,0.051,0.14,0.024,0.013,0.035,0.073,0.014,0.024,0.025,0.062,0.018,0.031,0.027,0.045
o1_gr_e05,B,0.016,0.022,0.044,0.119,0.008,0.012,0.038,0.091,0.012,0.024,0.029,0.085,0.033,0.032,0.028,0.053
o1_gr_e06,B,0.026,0.031,0.055,0.107,0.01,0.014,0.043,0.097,0.011,0.05,0.026,0.078,0.022,0.025,0.022,0.037
o1_gr_e07,C,0.009,0.031,0.061,0.106,0.018,0.03,0.068,0.115,0.027,0.036,0.081,0.178,0.022,0.051,0.098,0.222
o1_gr_e08,C,0.087,0.075,0.04,0.054,0.029,0.025,0.033,0.055,0.011,0.024,0.051,0.099,0.027,0.043,0.077,0.094
o1_gr_e09,C,0.062,0.026,0.055,0.041,0.024,0.013,0.031,0.05,0.022,0.022,0.049,0.082,0.023,0.043,0.077,0.113
o1_gr_e10,A,0.029,0.037,0.059,0.174,0.017,0.024,0.072,0.173,0.044,0.023,0.062,0.141,0.017,0.031,0.062,0.128
o1_gr_e11,A,0.018,0.031,0.073,0.184,0.012,0.027,0.097,0.247,0.014,0.035,0.105,0.247,0.022,0.05,0.096,0.206
o1_gr_e12,B,0.017,0.018,0.065,0.232,0.01,0.018,0.066,0.18,0.013,0.019,0.057,0.11,0.024,0.031,0.051,0.101
o2_gr_can,Z,0.028,0.01,0.011,0.009,0.008,0.012,0.039,0.011,0.008,0.011,0.01,0.009,0.02,0.011,0.011,0.01
o2_gr_e01,E,0.207,0.078,0.173,0.28,0.043,0.045,0.117,0.219,0.115,0.069,0.07,0.091,0.28,0.264,0.167,0.104
o2_gr_e02,E,0.152,0.087,0.073,0.246,0.017,0.026,0.077,0.167,0.133,0.045,0.075,0.109,0.28,0.269,0.165,0.14
o2_gr_e03,E,0.162,0.096,0.118,0.28,0.034,0.043,0.111,0.201,0.127,0.081,0.084,0.106,0.28,0.273,0.211,0.13
o2_gr_e04,D,0.28,0.28,0.28,0.28,0.082,0.116,0.134,0.048,0.072,0.182,0.167,0.101,0.28,0.28,0.28,0.28
o2_gr_e05,D,0.28,0.28,0.28,0.28,0.131,0.114,0.146,0.077,0.051,0.077,0.206,0.113,0.195,0.28,0.28,0.28
o2_gr_e06,D,0.28,0.28,0.28,0.28,0.123,0.137,0.148,0.054,0.055,0.078,0.228,0.153,0.233,0.28,0.28,0.28
