File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1_gr_can,Z,0.033,0.022,0.021,0.018,0.022,0.05,0.066,0.129,0.099,0.047,0.015,0.011,0.098,0.061,0.044,0.018,0.03,0.1,0.061,0.044,0.018,0.013,0.043,0.011,0.048
o1_gr_e01,A,0.061,0.048,0.04,0.088,0.222,0.126,0.058,0.043,0.084,0.217,0.015,0.015,0.043,0.081,0.207,0.016,0.023,0.046,0.077,0.196,0.029,0.041,0.056,0.075,0.157
o1_gr_e02,A,0.074,0.007,0.027,0.063,0.201,0.096,0.094,0.027,0.071,0.194,0.007,0.021,0.03,0.058,0.151,0.02,0.023,0.036,0.06,0.156,0.044,0.05,0.055,0.064,0.096
o1_gr_e03,B,0.023,0.023,0.05,0.083,0.154,0.037,0.076,0.033,0.065,0.159,0.008,0.066,0.025,0.051,0.084,0.017,0.037,0.022,0.041,0.068,0.027,0.029,0.029,0.033,0.069
o1_gr_e04,B,0.016,0.025,0.04,0.06,0.21,0.094,0.082,0.031,0.048,0.152,0.006,0.095,0.016,0.04,0.087,0.056,0.045,0.016,0.033,0.092,0.018,0.029,0.032,0.03,0.068
o1_gr_e05,B,0.016,0.02,0.033,0.052,0.168,0.072,0.073,0.022,0.051,0.102,0.006,0.056,0.018,0.046,0.091,0.017,0.03,0.014,0.039,0.091,0.034,0.035,0.029,0.033,0.087
o1_gr_e06,B,0.028,0.028,0.042,0.07,0.138,0.023,0.09,0.026,0.067,0.129,0.006,0.095,0.016,0.049,0.1,0.014,0.066,0.028,0.03,0.094,0.023,0.026,0.027,0.023,0.1
o1_gr_e07,C,0.039,0.022,0.047,0.071,0.152,0.096,0.05,0.045,0.076,0.158,0.043,0.022,0.052,0.089,0.182,0.062,0.027,0.062,0.098,0.232,0.021,0.038,0.076,0.11,0.25
o1_gr_e08,C,0.125,0.074,0.072,0.077,0.087,0.124,0.095,0.035,0.062,0.058,0.013,0.028,0.028,0.049,0.091,0.029,0.02,0.041,0.066,0.13,0.028,0.036,0.061,0.087,0.152
o1_gr_e09,C,0.074,0.045,0.101,0.046,0.079,0.087,0.096,0.077,0.03,0.053,0.007,0.035,0.025,0.045,0.094,0.014,0.019,0.041,0.063,0.127,0.024,0.035,0.063,0.086,0.165
o1_gr_e10,A,0.029,0.038,0.044,0.069,0.218,0.084,0.02,0.039,0.087,0.246,0.008,0.023,0.042,0.092,0.208,0.066,0.017,0.039,0.068,0.181,0.04,0.024,0.049,0.07,0.17
o1_gr_e11,A,0.018,0.023,0.046,0.087,0.232,0.061,0.072,0.048,0.103,0.25,0.009,0.039,0.06,0.132,0.25,0.016,0.025,0.063,0.114,0.25,0.022,0.039,0.074,0.112,0.246
o1_gr_e12,B,0.018,0.022,0.034,0.079,0.25,0.044,0.097,0.034,0.091,0.25,0.007,0.058,0.034,0.085,0.206,0.024,0.016,0.032,0.066,0.144,0.026,0.028,0.043,0.057,0.13
o2_gr_can,Z,0.036,0.019,0.011,0.011,0.008,0.082,0.029,0.04,0.068,0.01,0.007,0.031,0.059,0.011,0.01,0.082,0.011,0.01,0.047,0.008,0.035,0.011,0.011,0.01,0.01
o2_gr_e01,E,0.28,0.179,0.148,0.28,0.28,0.064,0.056,0.099,0.157,0.28,0.012,0.022,0.053,0.095,0.129,0.242,0.189,0.092,0.08,0.088,0.28,0.28,0.269,0.207,0.128
o2_gr_e02,E,0.19,0.134,0.146,0.087,0.275,0.086,0.029,0.039,0.098,0.235,0.013,0.021,0.052,0.097,0.153,0.28,0.233,0.121,0.086,0.111,0.28,0.28,0.251,0.148,0.186
o2_gr_e03,E,0.219,0.187,0.093,0.255,0.28,0.049,0.05,0.081,0.146,0.271,0.013,0.026,0.059,0.101,0.122,0.28,0.214,0.118,0.1,0.108,0.28,0.28,0.28,0.229,0.182
o2_gr_e04,D,0.28,0.28,0.28,0.28,0.28,0.263,0.231,0.214,0.28,0.272,0.018,0.025,0.029,0.058,0.057,0.273,0.28,0.28,0.265,0.133,0.28,0.28,0.28,0.28,0.28
o2_gr_e05,D,0.28,0.28,0.28,0.28,0.28,0.28,0.264,0.28,0.28,0.251,0.012,0.031,0.034,0.047,0.082,0.068,0.094,0.243,0.272,0.225,0.267,0.28,0.28,0.28,0.28
o2_gr_e06,D,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.197,0.014,0.031,0.041,0.088,0.074,0.072,0.093,0.205,0.28,0.262,0.28,0.28,0.28,0.28,0.28
o2_gr_e07,D,0.28,0.28,0.28,0.275,0.206,0.28,0.263,0.194,0.086,0.095,0.013,0.024,0.036,0.058,0.077,0.253,0.235,0.166,0.136,0.126,0.28,0.28,0.28,0.28,0.271
o2_gr_e08,D,0.28,0.28,0.28,0.274,0.175,0.28,0.263,0.198,0.079,0.082,0.013,0.021,0.033,0.054,0.064,0.244,0.168,0.13,0.123,0.106,0.28,0.28,0.28,0.275,0.244
o2_gr_e09,D,0.28,0.28,0.28,0.28,0.192,0.28,0.28,0.246,0.094,0.087,0.013,0.019,0.034,0.045,0.069,0.243,0.166,0.17,0.132,0.115,0.28,0.28,0.28,0.262,0.238
o2_gr_e10,D,0.039,0.078,0.28,0.28,0.28,0.027,0.059,0.116,0.14,0.199,0.012,0.024,0.046,0.071,0.09,0.28,0.28,0.28,0.239,0.137,0.28,0.28,0.28,0.28,0.28
o2_gr_e11,D,0.07,0.151,0.28,0.28,0.28,0.027,0.075,0.138,0.148,0.213,0.012,0.019,0.041,0.068,0.088,0.28,0.28,0.28,0.234,0.139,0.28,0.28,0.28,0.28,0.28
o2_gr_e12,D,0.207,0.28,0.28,0.28,0.28,0.059,0.086,0.179,0.254,0.258,0.011,0.027,0.06,0.051,0.063,0.28,0.25,0.243,0.196,0.105,0.28,0.28,0.28,0.28,0.28
o3_gr_can,Z,0.117,0.094,0.111,0.12,0.021,0.061,0.099,0.031,0.103,0.02,0.015,0.122,0.077,0.125,0.018,0.057,0.098,0.062,0.078,0.016,0.105,0.121,0.122,0.077,0.016
o3_gr_e01,D,0.24,0.24,0.24,0.24,0.24,0.059,0.073,0.081,0.082,0.084,0.011,0.019,0.029,0.035,0.044,0.058,0.068,0.075,0.079,0.082,0.24,0.24,0.231,0.208,0.209
o3_gr_e02,D,0.24,0.24,0.24,0.24,0.24,0.063,0.078,0.082,0.083,0.081,0.013,0.022,0.032,0.038,0.046,0.055,0.075,0.08,0.083,0.088,0.24,0.236,0.236,0.222,0.215
o3_gr_e03,D,0.24,0.24,0.24,0.24,0.24,0.058,0.064,0.078,0.08,0.083,0.013,0.02,0.03,0.036,0.043,0.06,0.073,0.076,0.079,0.078,0.24,0.24,0.227,0.204,0.206
o3_gr_e04,E,0.085,0.166,0.24,0.24,0.24,0.037,0.063,0.107,0.123,0.218,0.016,0.026,0.045,0.061,0.07,0.157,0.076,0.072,0.071,0.069,0.24,0.24,0.24,0.226,0.153
o3_gr_e05,D,0.158,0.187,0.211,0.229,0.24,0.036,0.045,0.056,0.072,0.071,0.014,0.023,0.041,0.047,0.049,0.078,0.089,0.118,0.123,0.055,0.24,0.24,0.24,0.24,0.24
o3_gr_e06,D,0.216,0.216,0.199,0.205,0.199,0.044,0.068,0.057,0.079,0.068,0.016,0.021,0.054,0.065,0.042,0.086,0.085,0.081,0.078,0.059,0.24,0.24,0.24,0.24,0.24
o3_gr_e07,E,0.188,0.219,0.204,0.217,0.236,0.038,0.055,0.079,0.096,0.11,0.058,0.017,0.032,0.047,0.071,0.09,0.07,0.074,0.074,0.067,0.24,0.24,0.24,0.226,0.146
o3_gr_e08,D,0.24,0.235,0.211,0.226,0.209,0.048,0.06,0.07,0.08,0.086,0.01,0.021,0.033,0.042,0.054,0.072,0.081,0.091,0.096,0.091,0.24,0.24,0.24,0.24,0.232
o3_gr_e09,E,0.179,0.164,0.161,0.166,0.232,0.028,0.038,0.068,0.095,0.118,0.224,0.012,0.034,0.063,0.096,0.098,0.069,0.081,0.079,0.091,0.24,0.24,0.227,0.207,0.138
o3_gr_e10,D,0.24,0.24,0.24,0.24,0.179,0.112,0.089,0.067,0.07,0.063,0.016,0.024,0.03,0.035,0.041,0.073,0.077,0.081,0.083,0.08,0.24,0.24,0.211,0.215,0.206
o3_gr_e11,D,0.24,0.24,0.24,0.192,0.201,0.071,0.074,0.072,0.066,0.06,0.015,0.023,0.036,0.032,0.041,0.064,0.072,0.075,0.077,0.072,0.24,0.24,0.226,0.226,0.188
o3_gr_e12,D,0.24,0.24,0.24,0.24,0.195,0.094,0.077,0.07,0.07,0.073,0.015,0.022,0.035,0.032,0.04,0.07,0.075,0.076,0.075,0.069,0.24,0.235,0.217,0.204,0.194
o4_gr_can,Z,0.074,0.057,0.046,0.057,0.049,0.012,0.038,0.017,0.068,0.026,0.069,0.017,0.058,0.088,0.034,0.068,0.016,0.044,0.074,0.024,0.077,0.03,0.048,0.077,0.045
o4_gr_e01,A,0.072,0.078,0.1,0.086,0.115,0.037,0.019,0.03,0.056,0.087,0.019,0.017,0.04,0.057,0.11,0.02,0.028,0.042,0.07,0.111,0.027,0.045,0.058,0.066,0.116
o4_gr_e02,A,0.085,0.073,0.092,0.062,0.121,0.016,0.018,0.062,0.042,0.09,0.008,0.033,0.042,0.051,0.136,0.013,0.029,0.046,0.062,0.13,0.024,0.045,0.061,0.074,0.147
o4_gr_e03,A,0.06,0.066,0.058,0.086,0.12,0.009,0.023,0.038,0.051,0.103,0.005,0.026,0.04,0.048,0.126,0.018,0.021,0.035,0.048,0.107,0.012,0.029,0.054,0.074,0.122
o4_gr_e04,C,0.078,0.079,0.09,0.083,0.068,0.065,0.065,0.021,0.051,0.047,0.04,0.054,0.025,0.038,0.058,0.024,0.036,0.056,0.07,0.077,0.053,0.062,0.091,0.124,0.156
o4_gr_e05,C,0.079,0.086,0.078,0.087,0.067,0.04,0.042,0.031,0.028,0.045,0.014,0.054,0.029,0.037,0.053,0.024,0.035,0.052,0.065,0.085,0.048,0.058,0.087,0.107,0.144
o4_gr_e06,C,0.085,0.063,0.061,0.084,0.071,0.042,0.019,0.034,0.05,0.053,0.035,0.032,0.03,0.044,0.064,0.025,0.039,0.061,0.078,0.109,0.043,0.065,0.1,0.121,0.16
o4_gr_e07,A,0.106,0.067,0.089,0.107,0.069,0.087,0.012,0.024,0.036,0.053,0.031,0.022,0.032,0.05,0.07,0.021,0.035,0.054,0.071,0.087,0.043,0.063,0.081,0.095,0.13
o4_gr_e08,A,0.029,0.064,0.058,0.075,0.086,0.009,0.02,0.031,0.05,0.06,0.009,0.022,0.044,0.061,0.091,0.018,0.029,0.04,0.054,0.074,0.066,0.055,0.072,0.081,0.11
o4_gr_e09,A,0.1,0.084,0.066,0.073,0.074,0.033,0.015,0.028,0.042,0.057,0.027,0.019,0.036,0.056,0.083,0.019,0.037,0.056,0.074,0.109,0.036,0.059,0.077,0.093,0.14
o4_gr_e10,B,0.065,0.043,0.079,0.117,0.16,0.031,0.029,0.058,0.078,0.146,0.034,0.025,0.034,0.053,0.094,0.078,0.037,0.032,0.041,0.054,0.106,0.026,0.067,0.06,0.084
o4_gr_e11,B,0.121,0.04,0.065,0.106,0.148,0.075,0.019,0.047,0.073,0.141,0.019,0.036,0.035,0.056,0.107,0.03,0.026,0.037,0.05,0.096,0.064,0.043,0.075,0.052,0.089
o4_gr_e12,B,0.071,0.04,0.073,0.117,0.16,0.018,0.028,0.056,0.073,0.142,0.029,0.031,0.034,0.053,0.107,0.087,0.041,0.028,0.058,0.055,0.114,0.037,0.066,0.109,0.077
o5_gr_can,Z,0.015,0.044,0.074,0.083,0.006,0.055,0.102,0.085,0.076,0.009,0.025,0.103,0.104,0.058,0.012,0.112,0.131,0.06,0.06,0.015,0.024,0.077,0.024,0.024,0.014
o5_gr_e01,D,0.24,0.24,0.24,0.24,0.228,0.055,0.064,0.077,0.08,0.076,0.012,0.019,0.031,0.038,0.047,0.055,0.061,0.071,0.072,0.075,0.24,0.24,0.224,0.167,0.177
o5_gr_e02,D,0.24,0.24,0.24,0.229,0.213,0.053,0.065,0.084,0.084,0.081,0.013,0.021,0.032,0.041,0.053,0.05,0.062,0.067,0.071,0.076,0.24,0.224,0.202,0.155,0.147
o5_gr_e03,D,0.24,0.24,0.24,0.24,0.221,0.05,0.057,0.068,0.082,0.068,0.011,0.019,0.029,0.036,0.046,0.055,0.063,0.079,0.077,0.078,0.24,0.24,0.23,0.192,0.193
o5_gr_e04,D,0.154,0.221,0.24,0.24,0.24,0.039,0.06,0.092,0.111,0.164,0.012,0.019,0.035,0.047,0.057,0.038,0.059,0.079,0.108,0.078,0.14,0.156,0.24,0.24,0.24
o5_gr_e05,D,0.099,0.177,0.24,0.24,0.24,0.028,0.05,0.08,0.101,0.14,0.01,0.018,0.034,0.05,0.063,0.059,0.074,0.121,0.164,0.084,0.2,0.24,0.24,0.24,0.24
o5_gr_e06,D,0.12,0.2,0.24,0.24,0.24,0.034,0.058,0.09,0.104,0.151,0.012,0.02,0.036,0.051,0.062,0.055,0.069,0.064,0.125,0.073,0.217,0.24,0.24,0.24,0.24
o5_gr_e07,C,0.24,0.163,0.148,0.168,0.101,0.24,0.029,0.071,0.062,0.065,0.119,0.015,0.034,0.063,0.088,0.075,0.088,0.17,0.24,0.24,0.066,0.235,0.24,0.24,0.24
o5_gr_e08,D,0.199,0.208,0.197,0.179,0.169,0.043,0.052,0.061,0.066,0.072,0.012,0.02,0.03,0.047,0.053,0.056,0.07,0.078,0.079,0.078,0.234,0.24,0.24,0.225,0.205
o5_gr_e09,D,0.166,0.185,0.165,0.176,0.166,0.059,0.042,0.062,0.077,0.094,0.083,0.019,0.036,0.054,0.078,0.048,0.07,0.087,0.096,0.097,0.142,0.235,0.227,0.224,0.236
o5_gr_e10,D,0.148,0.176,0.24,0.24,0.24,0.032,0.05,0.078,0.09,0.1,0.011,0.017,0.033,0.046,0.058,0.036,0.053,0.079,0.089,0.078,0.068,0.134,0.215,0.24,0.24
o5_gr_e11,D,0.152,0.22,0.24,0.24,0.24,0.038,0.063,0.091,0.1,0.138,0.013,0.021,0.037,0.049,0.061,0.032,0.049,0.068,0.086,0.088,0.062,0.083,0.17,0.226,0.24
o5_gr_e12,D,0.24,0.235,0.235,0.207,0.156,0.086,0.08,0.078,0.073,0.072,0.012,0.023,0.034,0.05,0.067,0.024,0.045,0.083,0.106,0.205,0.043,0.085,0.223,0.24,0.24
