File,GT,Pred_2x2,Succ_2x2,Pred_3x3,Succ_3x3,Pred_4x4,Succ_4x4,Pred_5x5,Succ_5x5
o1_gr_can,Z,Z,1,A,0,B,0,B,0
o1_gr_e01,A,A,1,A,1,A,1,A,1
o1_gr_e02,A,A,1,A,1,A,1,A,1
o1_gr_e03,B,A,0,A,0,B,1,B,1
o1_gr_e04,B,A,0,A,0,B,1,B,1
o1_gr_e05,B,A,0,A,0,B,1,B,1
o1_gr_e06,B,A,0,A,0,B,1,B,1
o1_gr_e07,C,A,0,A,0,A,0,A,0
o1_gr_e08,C,A,0,A,0,B,0,B,0
o1_gr_e09,C,A,0,A,0,B,0,B,0
o1_gr_e10,A,A,1,A,1,A,1,A,1
o1_gr_e11,A,A,1,A,1,A,1,A,1
o1_gr_e12,B,A,0,A,0,A,0,A,0
o2_gr_can,Z,Z,1,A,0,B,0,B,0
o2_gr_e01,E,"['D', 'E']",0,"['D', 'E']",0,D,0,E,1
o2_gr_e02,E,"['D', 'E']",0,"['D', 'E']",0,D,0,E,1
o2_gr_e03,E,"['D', 'E']",0,"['D', 'E']",0,D,0,E,1
o2_gr_e04,D,D,1,D,1,D,1,D,1
o2_gr_e05,D,D,1,D,1,D,1,D,1
o2_gr_e06,D,D,1,D,1,D,1,D,1
o2_gr_e07,D,D,1,D,1,D,1,D,1
o2_gr_e08,D,D,1,D,1,D,1,D,1
o2_gr_e09,D,D,1,D,1,D,1,D,1
o2_gr_e10,D,"['D', 'E']",0,"['D', 'E']",0,D,1,D,1
o2_gr_e11,D,"['D', 'E']",0,"['D', 'E']",0,D,1,D,1
o2_gr_e12,D,"['D', 'E']",0,"['D', 'E']",0,D,1,D,1
o3_gr_can,Z,Z,1,A,0,B,0,B,0
o3_gr_e01,D,D,1,D,1,D,1,D,1
o3_gr_e02,D,D,1,D,1,D,1,D,1
o3_gr_e03,D,D,1,D,1,D,1,D,1
o3_gr_e04,E,D,0,D,0,D,0,D,0
o3_gr_e05,D,D,1,D,1,D,1,D,1
o3_gr_e06,D,D,1,D,1,D,1,D,1
o3_gr_e07,E,D,0,D,0,D,0,D,0
o3_gr_e08,D,D,1,D,1,D,1,D,1
o3_gr_e09,E,D,0,D,0,D,0,D,0
o3_gr_e10,D,D,1,D,1,D,1,D,1
o3_gr_e11,D,D,1,D,1,D,1,D,1
o3_gr_e12,D,D,1,D,1,D,1,D,1
o4_gr_can,Z,Z,1,A,0,B,0,B,0
o4_gr_e01,A,A,1,A,1,B,0,B,0
o4_gr_e02,A,A,1,A,1,B,0,B,0
o4_gr_e03,A,A,1,A,1,B,0,B,0
o4_gr_e04,C,A,0,A,0,B,0,B,0
o4_gr_e05,C,A,0,A,0,B,0,B,0
o4_gr_e06,C,A,0,A,0,B,0,B,0
o4_gr_e07,A,A,1,A,1,B,0,B,0
o4_gr_e08,A,A,1,A,1,B,0,B,0
o4_gr_e09,A,A,1,A,1,B,0,B,0
o4_gr_e10,B,A,0,A,0,B,1,B,1
o4_gr_e11,B,A,0,A,0,B,1,B,1
o4_gr_e12,B,A,0,A,0,B,1,B,1
o5_gr_can,Z,Z,1,A,0,B,0,B,0
o5_gr_e01,D,D,1,D,1,D,1,D,1
o5_gr_e02,D,D,1,D,1,D,1,D,1
o5_gr_e03,D,D,1,D,1,D,1,D,1
o5_gr_e04,D,D,1,D,1,D,1,D,1
o5_gr_e05,D,D,1,D,1,D,1,D,1
o5_gr_e06,D,D,1,D,1,D,1,D,1
o5_gr_e07,C,D,0,D,0,D,0,D,0
o5_gr_e08,D,D,1,D,1,D,1,D,1
o5_gr_e09,D,D,1,D,1,D,1,D,1
o5_gr_e10,D,D,1,D,1,D,1,D,1
o5_gr_e11,D,D,1,D,1,D,1,D,1
o5_gr_e12,D,D,1,D,1,D,1,D,1
Total,-,-,63.077,-,55.385,-,61.538,-,66.154
