File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,Class_GT_n
o1_gr_can,Z,0.264,0.271,0.253,0.214,0.226,0.247,0.178,0.246,0.196,0.472,0.179,0.314,0.21,0.327,0.331,0.296,0.173,0.308,0.216,0.415,0.225,0.171,0.225,0.404,0.425,0.403,0.253,0.428,0.322,0.378,0.121,0.248,0.152,0.187,0.374,0.378,0.245,0.436,0.322,0.377,0.037,0.123,0.115,0.131,0.232,0.236,0.158,0.321,0.208,0.289,0.091,0.233,0.176,0.186,0.405,0.412,0.238,0.445,0.343,0.58,0.154,0.205,0.126,0.275,0.411,0.428,0.244,0.404,0.29,0.628,0.091,0.115,0.172,0.291,0.3,0.281,0.171,0.261,0.188,0.408,0.121,0.17,0.265,0.418,0.402,0.285,0.138,0.164,0.227,0.637,0.156,0.102,0.111,0.119,0.17,0.102,0.093,0.12,0.151,0.324,0
o1_gr_e01,A,0.181,0.07,0.227,0.213,0.305,0.601,1,0.982,1,1,0.142,0.08,0.087,0.11,0.173,0.375,0.638,0.684,1,1,0.297,0.206,0.191,0.149,0.367,0.491,0.944,1,1,1,0.285,0.22,0.211,0.186,0.33,0.527,0.94,1,1,1,0.062,0.123,0.188,0.126,0.276,0.376,0.565,0.833,1,1,0.077,0.117,0.191,0.328,0.421,0.884,0.707,0.981,1,1,0.188,0.156,0.216,0.237,0.618,0.555,1,1,1,1,0.207,0.314,0.256,0.29,0.305,0.548,0.587,0.768,1,1,0.375,0.317,0.377,0.402,0.735,0.634,1,1,1,1,0.179,0.23,0.268,0.215,0.323,0.34,0.412,0.489,0.636,1,1
o1_gr_e02,A,0.435,0.291,0.168,0.076,0.277,0.313,0.618,0.6,1,1,0.143,0.158,0.073,0.04,0.145,0.233,0.458,0.752,1,1,0.213,0.234,0.181,0.119,0.275,0.305,0.676,1,1,1,0.203,0.213,0.211,0.163,0.239,0.321,0.577,1,1,1,0.054,0.069,0.162,0.131,0.196,0.329,0.4,0.739,0.862,1,0.087,0.169,0.294,0.158,0.365,0.42,0.668,1,0.899,1,0.164,0.237,0.221,0.227,0.394,0.432,0.676,1,1,1,0.206,0.241,0.293,0.291,0.38,0.48,0.507,0.747,0.781,1,0.393,0.588,0.439,0.34,0.595,0.603,0.835,0.938,0.8,1,0.332,0.299,0.415,0.279,0.423,0.37,0.398,0.554,0.44,1,1
o1_gr_e03,B,0.359,0.281,0.26,0.219,0.224,0.401,0.628,0.556,1,1,0.353,0.221,0.312,0.281,0.242,0.391,0.555,0.848,0.772,1,0.213,0.146,0.25,0.427,0.317,0.403,0.617,0.957,1,1,0.272,0.194,0.272,0.182,0.323,0.382,0.558,0.869,0.817,1,0.098,0.058,0.179,0.146,0.222,0.294,0.438,0.61,0.62,1,0.125,0.059,0.254,0.249,0.256,0.359,0.505,0.684,0.602,1,0.265,0.167,0.275,0.148,0.343,0.311,0.422,0.546,0.739,1,0.332,0.133,0.166,0.284,0.256,0.213,0.379,0.526,0.378,1,0.39,0.287,0.445,0.395,0.29,0.269,0.729,0.371,0.575,1,0.52,0.22,0.222,0.287,0.226,0.266,0.307,0.336,0.419,0.656,2
o1_gr_e04,B,0.209,0.173,0.251,0.256,0.261,0.382,0.41,0.413,1,1,0.175,0.142,0.188,0.359,0.231,0.328,0.544,0.531,1,1,0.255,0.158,0.221,0.191,0.341,0.346,0.489,0.712,1,1,0.221,0.127,0.223,0.277,0.176,0.448,0.496,0.754,1,1,0.075,0.054,0.156,0.172,0.131,0.203,0.308,0.493,0.604,1,0.122,0.059,0.248,0.247,0.179,0.201,0.3,0.509,0.744,1,0.253,0.125,0.248,0.2,0.174,0.21,0.333,0.422,0.755,1,0.202,0.11,0.164,0.213,0.22,0.175,0.252,0.308,0.463,1,0.213,0.162,0.278,0.446,0.353,0.389,0.377,0.353,0.65,1,0.455,0.119,0.21,0.415,0.3,0.312,0.261,0.282,0.37,1,2
o1_gr_e05,B,0.292,0.202,0.223,0.207,0.287,0.341,0.46,0.816,0.84,1,0.149,0.17,0.151,0.192,0.244,0.419,0.436,0.431,1,1,0.148,0.219,0.248,0.152,0.28,0.283,0.548,0.752,0.699,1,0.171,0.172,0.199,0.16,0.209,0.326,0.571,0.657,0.637,1,0.046,0.059,0.145,0.111,0.151,0.253,0.315,0.429,0.512,1,0.088,0.108,0.261,0.166,0.297,0.218,0.401,0.673,0.602,1,0.147,0.2,0.211,0.144,0.218,0.199,0.318,0.517,0.519,1,0.183,0.297,0.3,0.209,0.168,0.161,0.241,0.35,0.715,1,0.291,0.429,0.433,0.27,0.319,0.414,0.347,0.402,0.624,1,0.363,0.281,0.338,0.283,0.375,0.241,0.219,0.195,0.325,1,2
o1_gr_e06,B,0.279,0.254,0.296,0.237,0.232,0.325,0.42,0.574,1,1,0.331,0.234,0.357,0.325,0.262,0.379,0.52,0.481,0.711,1,0.25,0.16,0.248,0.223,0.27,0.348,0.593,0.629,1,1,0.214,0.167,0.265,0.299,0.178,0.332,0.431,0.451,0.925,1,0.061,0.048,0.163,0.176,0.135,0.225,0.348,0.405,0.614,1,0.164,0.059,0.251,0.23,0.17,0.193,0.312,0.516,0.689,1,0.199,0.157,0.264,0.252,0.151,0.247,0.203,0.345,0.66,1,0.187,0.121,0.171,0.179,0.135,0.168,0.148,0.252,0.394,1,0.388,0.257,0.479,0.431,0.297,0.241,0.183,0.287,0.358,1,0.512,0.177,0.241,0.275,0.374,0.268,0.261,0.205,0.343,1,2
o1_gr_e07,C,0.114,0.082,0.244,0.408,0.672,0.655,1,0.597,1,1,0.137,0.086,0.167,0.229,0.441,0.434,0.629,0.624,0.752,1,0.246,0.132,0.246,0.279,0.534,0.65,0.745,1,0.963,1,0.348,0.298,0.245,0.388,0.397,0.587,0.785,1,1,1,0.126,0.197,0.193,0.188,0.38,0.452,0.645,0.732,0.996,1,0.164,0.369,0.31,0.341,0.495,0.709,0.838,1,1,1,0.383,0.386,0.242,0.332,0.447,0.755,0.972,1,1,1,0.186,0.237,0.187,0.294,0.528,0.525,0.763,0.898,1,1,0.327,0.294,0.398,0.47,0.578,1,1,1,1,1,0.129,0.274,0.184,0.254,0.307,0.415,0.574,1,1,1,3
o1_gr_e08,C,0.432,0.501,0.428,0.412,0.988,0.501,0.51,1,0.899,1,0.097,0.127,0.117,0.203,0.202,0.234,0.249,0.483,0.303,0.789,0.152,0.189,0.158,0.321,0.215,0.364,0.452,0.431,0.436,0.895,0.172,0.158,0.135,0.285,0.26,0.245,0.558,0.568,0.579,1,0.056,0.06,0.108,0.187,0.19,0.274,0.463,0.502,0.514,1,0.085,0.113,0.193,0.221,0.309,0.361,0.608,0.844,0.726,1,0.233,0.269,0.187,0.278,0.305,0.405,0.695,0.831,0.859,1,0.144,0.172,0.18,0.255,0.341,0.468,0.584,0.746,0.651,1,0.305,0.562,0.279,0.392,0.485,0.757,0.913,0.92,1,1,0.229,0.196,0.191,0.207,0.271,0.382,0.378,0.507,0.916,1,3
o1_gr_e09,C,0.367,0.213,0.305,0.452,0.697,0.736,0.606,0.516,1,0.863,0.173,0.189,0.216,0.125,0.199,0.321,0.254,0.255,0.436,0.373,0.177,0.241,0.261,0.207,0.21,0.477,0.31,0.427,0.42,0.783,0.14,0.174,0.222,0.17,0.21,0.422,0.28,0.414,0.581,0.819,0.06,0.066,0.159,0.132,0.187,0.239,0.33,0.419,0.618,1,0.083,0.155,0.265,0.164,0.291,0.369,0.452,0.621,0.676,1,0.203,0.259,0.21,0.231,0.331,0.436,0.599,0.786,0.726,1,0.128,0.146,0.175,0.207,0.324,0.465,0.582,0.896,0.724,1,0.346,0.476,0.389,0.304,0.509,0.553,0.816,0.896,1,1,0.169,0.186,0.179,0.186,0.285,0.399,0.415,0.556,0.892,1,3
o1_gr_e10,A,0.465,0.344,0.292,0.457,0.605,0.487,0.465,0.767,1,1,0.182,0.247,0.291,0.417,0.346,0.396,0.509,0.678,1,1,0.266,0.273,0.271,0.311,0.431,0.559,0.737,0.691,1,1,0.274,0.32,0.167,0.315,0.332,0.482,0.529,0.672,1,1,0.068,0.158,0.145,0.194,0.245,0.442,0.577,0.675,1,1,0.09,0.131,0.209,0.283,0.323,0.475,0.63,0.818,1,1,0.244,0.261,0.195,0.248,0.369,0.416,0.496,0.624,1,1,0.161,0.198,0.134,0.203,0.405,0.477,0.539,0.655,0.844,1,0.342,0.287,0.175,0.376,0.499,0.67,0.918,1,1,1,0.293,0.149,0.156,0.239,0.334,0.45,0.615,0.837,1,1,1
o1_gr_e11,A,1,0.144,0.23,0.26,0.286,0.454,0.646,0.736,1,1,0.248,0.171,0.177,0.287,0.334,0.426,0.473,0.694,1,1,0.3,0.239,0.28,0.353,0.43,0.53,0.548,1,1,1,0.26,0.222,0.313,0.346,0.383,0.516,0.514,1,1,1,0.084,0.062,0.225,0.174,0.222,0.336,0.684,1,1,1,0.167,0.11,0.354,0.253,0.325,0.646,0.816,1,1,1,0.275,0.219,0.209,0.3,0.433,0.57,0.758,1,1,1,0.17,0.156,0.25,0.23,0.346,0.444,0.855,1,1,1,0.259,0.204,0.43,0.399,0.614,1,1,1,1,1,0.292,0.213,0.198,0.268,0.369,0.568,0.849,0.853,1,1,1
o1_gr_e12,B,0.322,0.231,0.254,0.164,0.182,0.293,0.495,1,1,1,0.211,0.15,0.215,0.153,0.18,0.306,0.535,0.803,1,1,0.187,0.262,0.252,0.229,0.276,0.464,0.596,0.768,1,1,0.144,0.245,0.243,0.228,0.287,0.439,0.727,0.871,1,1,0.044,0.084,0.175,0.147,0.194,0.326,0.481,0.638,1,1,0.09,0.138,0.284,0.225,0.292,0.412,0.856,0.823,1,1,0.211,0.259,0.289,0.166,0.339,0.407,0.564,0.673,1,1,0.246,0.175,0.148,0.169,0.238,0.391,0.394,0.496,0.732,1,0.287,0.508,0.471,0.284,0.429,0.667,0.531,0.748,0.915,1,0.341,0.184,0.215,0.22,0.281,0.336,0.47,0.531,0.889,1,2
o2_gr_can,Z,0.155,0.13,0.13,0.14,0.142,0.145,0.126,0.149,0.115,0.046,0.086,0.095,0.131,0.153,0.127,0.165,0.143,0.116,0.162,0.036,0.128,0.161,0.219,0.171,0.136,0.192,0.31,0.16,0.136,0.061,0.101,0.123,0.117,0.142,0.2,0.219,0.221,0.217,0.199,0.046,0.072,0.107,0.209,0.22,0.214,0.218,0.206,0.111,0.16,0.045,0.065,0.116,0.125,0.217,0.22,0.206,0.111,0.135,0.116,0.054,0.062,0.146,0.126,0.098,0.131,0.109,0.157,0.14,0.126,0.051,0.104,0.153,0.107,0.185,0.141,0.205,0.176,0.146,0.217,0.08,0.07,0.11,0.14,0.199,0.2,0.11,0.097,0.165,0.156,0.059,0.063,0.12,0.093,0.188,0.108,0.131,0.17,0.162,0.159,0.062,0
o2_gr_e01,E,1,1,1,1,1,1,1,1,1,1,1,1,1,0.895,0.589,1,1,1,1,1,0.69,0.65,0.705,0.485,0.565,0.436,1,1,1,1,0.253,0.285,0.333,0.336,0.312,0.364,0.89,1,1,1,0.094,0.119,0.154,0.244,0.247,0.368,0.646,0.889,1,1,0.167,0.171,0.188,0.263,0.305,0.373,0.347,0.542,0.848,1,1,1,1,1,0.609,0.472,0.422,0.555,0.799,0.737,1,1,1,1,1,0.836,0.577,0.936,0.644,0.567,1,1,1,1,1,1,1,1,1,0.814,1,1,1,1,1,1,1,1,1,1,5
o2_gr_e02,E,1,1,1,1,1,1,1,1,1,1,1,0.453,0.629,0.547,0.397,0.557,0.258,1,1,1,0.949,0.542,0.366,0.422,0.389,0.35,0.336,1,1,1,0.312,0.312,0.277,0.416,0.368,0.221,0.428,0.943,1,1,0.118,0.103,0.213,0.173,0.259,0.303,0.793,1,1,1,0.297,0.144,0.21,0.256,0.277,0.386,0.636,0.919,0.895,1,1,1,1,0.977,0.892,0.707,0.727,0.758,0.994,1,1,1,1,1,1,1,1,0.956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
o2_gr_e03,E,1,1,1,1,1,1,1,1,1,1,1,1,1,0.857,0.918,0.399,1,1,1,1,0.507,0.639,0.616,0.565,0.453,0.608,1,1,1,1,0.235,0.296,0.361,0.279,0.311,0.379,1,1,1,1,0.102,0.144,0.208,0.359,0.278,0.498,0.833,0.952,1,1,0.151,0.183,0.238,0.367,0.33,0.344,0.556,0.615,0.764,1,1,1,1,1,1,1,0.573,0.623,0.882,1,1,1,1,1,1,1,0.787,0.807,0.671,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
o2_gr_e04,D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.091,0.152,0.186,0.499,0.34,0.259,0.523,0.493,0.416,0.172,0.124,0.176,0.31,0.36,0.57,0.447,0.596,0.789,1,0.233,1,1,1,1,1,1,1,1,1,0.468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
