File,Class_GT_n,label
o1_gr_can,0,4
o1_gr_e01,1,1
o1_gr_e02,1,1
o1_gr_e03,2,4
o1_gr_e04,2,4
o1_gr_e05,2,4
o1_gr_e06,2,4
o1_gr_e07,3,1
o1_gr_e08,3,4
o1_gr_e09,3,4
o1_gr_e10,1,1
o1_gr_e11,1,1
o1_gr_e12,2,1
o2_gr_can,0,4
o2_gr_e01,5,5
o2_gr_e02,5,3
o2_gr_e03,5,5
o2_gr_e04,4,0
o2_gr_e05,4,0
o2_gr_e06,4,2
o2_gr_e07,4,5
o2_gr_e08,4,5
o2_gr_e09,4,5
o2_gr_e10,4,0
o2_gr_e11,4,0
o2_gr_e12,4,5
o3_gr_can,0,4
o3_gr_e01,4,3
o3_gr_e02,4,3
o3_gr_e03,4,3
o3_gr_e04,5,5
o3_gr_e05,4,3
o3_gr_e06,4,3
o3_gr_e07,5,3
o3_gr_e08,4,3
o3_gr_e09,5,3
o3_gr_e10,4,3
o3_gr_e11,4,3
o3_gr_e12,4,3
o4_gr_can,0,4
o4_gr_e01,1,1
o4_gr_e02,1,1
o4_gr_e03,1,1
o4_gr_e04,3,1
o4_gr_e05,3,1
o4_gr_e06,3,1
o4_gr_e07,1,1
o4_gr_e08,1,1
o4_gr_e09,1,1
o4_gr_e10,2,1
o4_gr_e11,2,1
o4_gr_e12,2,1
o5_gr_can,0,4
o5_gr_e01,4,3
o5_gr_e02,4,3
o5_gr_e03,4,3
o5_gr_e04,4,3
o5_gr_e05,4,3
o5_gr_e06,4,3
o5_gr_e07,3,2
o5_gr_e08,4,3
o5_gr_e09,4,3
o5_gr_e10,4,3
o5_gr_e11,4,3
o5_gr_e12,4,3
