File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,Class_GT_n
o1_gr_can,Z,0.043,0.042,0.039,0.049,0.02,0.03,0.042,0.05,0.022,0.035,0.043,0.058,0.024,0.035,0.024,0.04,0
o1_gr_e01,A,0.02,0.036,0.106,0.469,0.025,0.038,0.103,0.47,0.027,0.05,0.111,0.434,0.047,0.057,0.092,0.266,1
o1_gr_e02,A,0.033,0.018,0.069,0.386,0.02,0.032,0.076,0.247,0.03,0.043,0.087,0.256,0.058,0.07,0.09,0.182,1
o1_gr_e03,B,0.049,0.047,0.084,0.257,0.022,0.037,0.077,0.191,0.025,0.036,0.064,0.129,0.05,0.05,0.056,0.086,2
o1_gr_e04,B,0.031,0.047,0.07,0.265,0.018,0.03,0.063,0.165,0.02,0.032,0.044,0.132,0.033,0.057,0.055,0.091,2
o1_gr_e05,B,0.033,0.037,0.067,0.23,0.017,0.027,0.065,0.139,0.026,0.031,0.049,0.135,0.056,0.054,0.045,0.115,2
o1_gr_e06,B,0.044,0.047,0.076,0.182,0.02,0.031,0.064,0.149,0.023,0.03,0.042,0.15,0.044,0.049,0.039,0.085,2
o1_gr_e07,C,0.021,0.063,0.106,0.228,0.031,0.055,0.107,0.259,0.039,0.063,0.129,0.501,0.037,0.061,0.12,1,3
o1_gr_e08,C,0.028,0.047,0.061,0.099,0.016,0.035,0.062,0.116,0.025,0.044,0.086,0.202,0.039,0.054,0.091,0.218,3
o1_gr_e09,C,0.037,0.038,0.062,0.085,0.019,0.03,0.055,0.108,0.026,0.04,0.079,0.174,0.036,0.048,0.091,0.245,3
o1_gr_e10,A,0.049,0.063,0.086,0.43,0.028,0.041,0.093,0.467,0.027,0.042,0.086,0.312,0.037,0.047,0.111,0.262,1
o1_gr_e11,A,0.037,0.048,0.088,0.541,0.025,0.047,0.098,1,0.029,0.053,0.114,1,0.039,0.061,0.139,0.828,1
o1_gr_e12,B,0.037,0.032,0.073,1,0.02,0.037,0.089,0.517,0.029,0.038,0.087,0.244,0.046,0.047,0.076,0.199,2
o2_gr_can,Z,0.021,0.023,0.024,0.012,0.02,0.029,0.034,0.013,0.018,0.022,0.024,0.014,0.018,0.023,0.02,0.016,0
