File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,Class_GT_n
o1_gr_can,Z,0.063,0.061,0.068,0.054,0.071,0.045,0.054,0.099,0.079,0.091,0.023,0.037,0.075,0.064,0.078,0.033,0.049,0.086,0.062,0.079,0.034,0.043,0.047,0.031,0.068,0
o1_gr_e01,A,0.027,0.036,0.084,0.205,1.783,0.063,0.049,0.112,0.262,1.483,0.022,0.048,0.108,0.187,1.118,0.052,0.065,0.12,0.208,0.88,0.065,0.076,0.113,0.159,0.501,1
o1_gr_e02,A,0.054,0.019,0.065,0.149,0.895,0.055,0.041,0.078,0.202,0.778,0.02,0.044,0.08,0.162,0.44,0.055,0.067,0.107,0.178,0.46,0.097,0.092,0.121,0.152,0.284,1
o1_gr_e03,B,0.074,0.067,0.079,0.16,0.517,0.05,0.065,0.094,0.181,0.49,0.02,0.05,0.073,0.139,0.249,0.052,0.051,0.07,0.117,0.192,0.081,0.08,0.067,0.097,0.157,2
o1_gr_e04,B,0.044,0.066,0.075,0.118,1.04,0.045,0.058,0.079,0.15,0.454,0.018,0.049,0.047,0.098,0.26,0.04,0.052,0.05,0.084,0.237,0.048,0.079,0.087,0.079,0.172,2
o1_gr_e05,B,0.049,0.05,0.08,0.126,0.482,0.046,0.048,0.072,0.161,0.26,0.017,0.039,0.057,0.11,0.212,0.052,0.053,0.047,0.089,0.267,0.085,0.083,0.084,0.069,0.215,2
o1_gr_e06,B,0.069,0.077,0.075,0.125,0.45,0.05,0.065,0.072,0.135,0.413,0.017,0.05,0.047,0.102,0.278,0.041,0.053,0.043,0.062,0.261,0.072,0.084,0.075,0.059,0.177,2
o1_gr_e07,C,0.027,0.064,0.134,0.174,0.472,0.057,0.074,0.135,0.224,0.523,0.046,0.062,0.125,0.207,0.735,0.068,0.066,0.14,0.234,2.841,0.057,0.075,0.123,0.244,100,3
o1_gr_e08,C,0.046,0.056,0.084,0.111,0.166,0.042,0.051,0.068,0.126,0.171,0.019,0.042,0.071,0.145,0.249,0.049,0.057,0.096,0.177,0.371,0.07,0.064,0.106,0.148,0.487,3
o1_gr_e09,C,0.055,0.056,0.093,0.088,0.15,0.045,0.053,0.073,0.088,0.155,0.02,0.043,0.068,0.111,0.245,0.043,0.054,0.098,0.175,0.348,0.062,0.062,0.105,0.154,0.555,3
o1_gr_e10,A,0.07,0.09,0.112,0.148,1.423,0.072,0.065,0.114,0.167,12.654,0.025,0.05,0.092,0.17,1.204,0.053,0.049,0.106,0.145,0.665,0.061,0.056,0.117,0.213,0.562,1
o1_gr_e11,A,0.057,0.06,0.093,0.159,2.741,0.064,0.083,0.122,0.202,100,0.024,0.06,0.093,0.28,100,0.049,0.065,0.114,0.259,100,0.061,0.077,0.144,0.255,12.768,1
o1_gr_e12,B,0.055,0.047,0.063,0.168,100,0.052,0.061,0.096,0.189,100,0.02,0.049,0.078,0.17,1.145,0.057,0.046,0.086,0.132,0.445,0.073,0.069,0.098,0.14,0.347,2
o2_gr_can,Z,0.03,0.035,0.036,0.033,0.017,0.032,0.039,0.045,0.054,0.02,0.024,0.046,0.054,0.033,0.018,0.03,0.03,0.035,0.039,0.023,0.024,0.036,0.032,0.035,0.022,0
o2_gr_e01,E,100,0.559,0.44,100,100,0.105,0.112,0.112,0.375,100,0.033,0.054,0.087,0.142,0.435,1.732,0.716,0.177,0.151,0.17,100,100,6.043,0.905,0.426,5
o2_gr_e02,E,0.384,0.249,0.234,0.23,14.352,0.113,0.093,0.084,0.146,1.499,0.039,0.054,0.081,0.206,0.522,100,0.89,0.367,0.226,0.358,100,100,2.329,0.51,0.715,5
o2_gr_e03,E,0.91,0.556,0.25,2.65,100,0.1,0.109,0.114,0.332,7.741,0.038,0.072,0.093,0.181,0.421,100,1.025,0.407,0.179,0.211,100,100,100,1.322,0.691,5
o2_gr_e04,D,100,100,100,100,100,1.864,0.743,0.735,100,5.538,0.036,0.078,0.093,0.152,0.08,8.064,100,100,4.483,0.37,100,100,100,100,100,4
o2_gr_e05,D,100,100,100,100,100,100,2.471,100,100,2.221,0.033,0.063,0.107,0.155,0.133,0.109,0.163,1.837,8.01,1.222,4.934,100,100,100,100,4
o2_gr_e06,D,100,100,100,100,100,100,100,100,100,0.555,0.033,0.066,0.127,0.167,0.123,0.113,0.183,0.89,100,3.775,100,100,100,100,100,4
o2_gr_e07,D,100,100,100,12.051,0.902,100,3.888,0.734,0.172,0.149,0.033,0.058,0.115,0.145,0.107,0.737,1.492,0.593,0.34,0.28,100,100,100,100,7.666,4
o2_gr_e08,D,100,100,100,11.29,0.631,100,1.52,0.422,0.168,0.132,0.04,0.058,0.1,0.126,0.088,1.757,0.6,0.448,0.3,0.227,100,100,100,13.404,1.875,4
o2_gr_e09,D,100,100,100,100,0.755,100,100,0.925,0.281,0.12,0.035,0.055,0.104,0.133,0.092,1.26,0.59,0.616,0.339,0.225,100,100,100,3.781,1.614,4
o2_gr_e10,D,0.127,0.236,100,100,100,0.066,0.099,0.173,0.269,0.832,0.037,0.075,0.113,0.134,0.128,100,100,100,1.599,0.327,100,100,100,100,100,4
o2_gr_e11,D,0.178,0.405,100,100,100,0.073,0.087,0.321,0.477,1.008,0.035,0.051,0.101,0.144,0.123,100,100,100,1.457,0.331,100,100,100,100,100,4
o2_gr_e12,D,0.787,100,100,100,100,0.09,0.13,0.667,2.607,3.042,0.037,0.073,0.134,0.153,0.079,100,2.116,1.682,0.76,0.25,100,100,100,100,100,4
