File,GT,Pred_2x2,Succ_2x2,Pred_3x3,Succ_3x3,Pred_4x4,Succ_4x4,Pred_5x5,Succ_5x5,Pred_10x10,Succ_10x10
o1_gr_can,Z,Z,1,D,0,A,0,A,0,Z,1
o1_gr_e01,A,A,1,D,0,A,1,B,0,B,0
o1_gr_e02,A,A,1,D,0,A,1,B,0,B,0
o1_gr_e03,B,Z,0,D,0,A,0,A,0,B,1
o1_gr_e04,B,Z,0,D,0,A,0,B,1,B,1
o1_gr_e05,B,Z,0,D,0,A,0,A,0,B,1
o1_gr_e06,B,Z,0,D,0,A,0,A,0,B,1
o1_gr_e07,C,A,0,D,0,A,0,B,0,B,0
o1_gr_e08,C,Z,0,D,0,A,0,A,0,B,0
o1_gr_e09,C,Z,0,D,0,A,0,A,0,B,0
o1_gr_e10,A,A,1,D,0,A,1,B,0,B,0
o1_gr_e11,A,A,1,D,0,A,1,B,0,B,0
o1_gr_e12,B,A,0,D,0,A,0,B,1,B,1
o2_gr_can,Z,Z,1,D,0,A,0,A,0,Z,1
o2_gr_e01,E,D,0,E,1,E,1,"['D', 'E']",0,"['D', 'E']",0
o2_gr_e02,E,D,0,E,1,E,1,"['D', 'E']",0,"['D', 'E']",0
o2_gr_e03,E,D,0,E,1,E,1,"['D', 'E']",0,"['D', 'E']",0
o2_gr_e04,D,D,1,D,1,D,1,D,1,D,1
o2_gr_e05,D,D,1,D,1,D,1,D,1,D,1
o2_gr_e06,D,"['C', 'D']",0,D,1,D,1,D,1,D,1
o2_gr_e07,D,D,1,D,1,D,1,D,1,D,1
o2_gr_e08,D,D,1,D,1,D,1,D,1,D,1
o2_gr_e09,D,D,1,D,1,D,1,D,1,D,1
o2_gr_e10,D,D,1,D,1,D,1,"['D', 'E']",0,"['D', 'E']",0
o2_gr_e11,D,D,1,D,1,D,1,"['D', 'E']",0,"['D', 'E']",0
o2_gr_e12,D,D,1,D,1,D,1,"['D', 'E']",0,"['D', 'E']",0
o3_gr_can,Z,Z,1,D,0,A,0,A,0,Z,1
o3_gr_e01,D,D,1,D,1,D,1,D,1,D,1
o3_gr_e02,D,D,1,D,1,D,1,D,1,D,1
o3_gr_e03,D,D,1,D,1,D,1,D,1,D,1
o3_gr_e04,E,D,0,E,1,E,1,D,0,"['D', 'E']",0
o3_gr_e05,D,D,1,D,1,D,1,D,1,"['D', 'E']",0
o3_gr_e06,D,D,1,D,1,D,1,D,1,D,1
o3_gr_e07,E,D,0,D,0,E,1,D,0,"['D', 'E']",0
o3_gr_e08,D,D,1,D,1,D,1,D,1,D,1
o3_gr_e09,E,D,0,D,0,E,1,D,0,"['D', 'E']",0
o3_gr_e10,D,D,1,D,1,D,1,D,1,D,1
o3_gr_e11,D,D,1,D,1,D,1,D,1,D,1
o3_gr_e12,D,D,1,D,1,D,1,D,1,D,1
o4_gr_can,Z,Z,1,D,0,A,0,A,0,Z,1
o4_gr_e01,A,A,1,D,0,A,1,A,1,A,1
o4_gr_e02,A,A,1,D,0,A,1,A,1,A,1
o4_gr_e03,A,A,1,D,0,A,1,A,1,A,1
o4_gr_e04,C,A,0,D,0,A,0,A,0,A,0
o4_gr_e05,C,A,0,D,0,A,0,A,0,A,0
o4_gr_e06,C,A,0,D,0,A,0,A,0,A,0
o4_gr_e07,A,A,1,D,0,A,1,A,1,A,1
o4_gr_e08,A,A,1,D,0,A,1,A,1,A,1
o4_gr_e09,A,A,1,D,0,A,1,A,1,A,1
o4_gr_e10,B,A,0,D,0,A,0,B,1,A,0
o4_gr_e11,B,A,0,D,0,A,0,B,1,A,0
o4_gr_e12,B,A,0,D,0,A,0,B,1,A,0
o5_gr_can,Z,Z,1,D,0,A,0,A,0,Z,1
o5_gr_e01,D,D,1,D,1,D,1,D,1,D,1
o5_gr_e02,D,D,1,D,1,D,1,D,1,D,1
o5_gr_e03,D,D,1,D,1,D,1,D,1,D,1
o5_gr_e04,D,D,1,D,1,D,1,D,1,D,1
o5_gr_e05,D,D,1,D,1,D,1,D,1,"['D', 'E']",0
o5_gr_e06,D,D,1,D,1,D,1,D,1,"['D', 'E']",0
o5_gr_e07,C,"['C', 'D']",0,D,0,C,1,D,0,D,0
o5_gr_e08,D,D,1,D,1,D,1,D,1,D,1
o5_gr_e09,D,D,1,D,1,D,1,D,1,D,1
o5_gr_e10,D,D,1,D,1,D,1,D,1,D,1
o5_gr_e11,D,D,1,D,1,D,1,D,1,D,1
o5_gr_e12,D,D,1,D,1,D,1,D,1,D,1
Total,-,-,66.154,-,50.769,-,70.769,-,56.923,-,60
Success Z,-,-,1,-,0,-,0,-,0,-,1
Success A,-,-,1,-,0,-,1,-,0.6,-,0.6
Success B,-,-,0,-,0,-,0,-,0.625,-,0.625
Success C,-,-,0,-,0,-,0.167,-,0,-,0
Success D,-,-,0.966,-,1,-,1,-,0.897,-,0.793
Success E,-,-,0,-,0.5,-,0.75,-,0,-,0
